Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;11.0;10.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.1000003815;6;23.0;
4;1;11.0;10.0;4;20.0;1;9.0;11.5;6;23.0;
5;1;12.0;10.0;4;20.0;1;9.60000038147;11.5;6;23.0;
6;1;13.0;10.0;3;20.0;1;10.6000003815;11.5;6;23.0;
7;1;14.0;10.0;3;20.3999996185;1;11.6000003815;11.5;6;23.0;
8;1;14.1800003052;10.1999998093;3;20.7264003754;1;11.8999996185;11.5;6;23.4599990845;
9;1;14.3268795013;10.3632001877;3;21.8194274902;1;12.0380001068;11.7299995422;6;23.8212833405;
10;1;14.8187427521;10.9097137451;3;22.7316036224;1;12.1463851929;11.9106416702;6;24.0;
11;1;15.8187427521;11.3658018112;3;23.4745616913;2;12.2000007629;12.1999998093;5;26.2000007629;
12;1;16.8187427521;11.7372808456;3;24.0673980713;2;14.4463853836;12.6000003815;5;27.1776003838;
13;1;17.8187427521;12.0336990356;4;24.5325260162;2;16.4463844299;13.0788002014;5;27.9412999153;
14;1;18.8187427521;12.2662630081;4;24.892534256;2;18.4463844299;13.4505519867;5;28.5263124704;
15;1;19.8187427521;12.446267128;4;25.0;2;19.4645595551;13.7328653336;5;28.9682797194;
16;1;20.8187427521;12.5;4;25.0;2;20.4707298279;13.943564415;5;29.1018965244;
17;1;21.8187427521;12.5;4;25.0;2;21.4769535065;14.0;6;29.1228116751;
18;1;22.8187427521;12.5;5;25.0;2;22.4832286835;14.0;6;29.1438889503;
19;1;23.25;12.5;5;25.0;2;22.7431659698;14.0;6;29.1651208401;
20;1;23.25;12.5;6;25.0;2;22.7495365143;14.0;7;29.1864993572;
21;1;23.25;12.5;6;25.0;2;22.7559490204;14.0;7;29.2080165148;
22;1;23.25;12.5;6;25.0;2;22.7624053955;14.0;6;29.2296639681;
23;1;23.25;12.5;7;25.0;2;22.7688980103;14.0;7;29.2514331341;
24;1;23.25;12.5;7;25.0;3;22.775428772;14.0;6;29.2733153105;
25;1;23.25;12.5;7;25.0;3;22.781993866;14.0;6;29.2953014374;
26;1;23.25;12.5;7;25.0;3;22.7885894775;14.0;6;29.3173824549;
27;1;23.25;12.5;7;25.0;3;22.7952136993;14.0;7;29.3395489454;
28;1;23.25;12.5;7;25.0;3;22.801864624;14.0;8;29.3617914915;
29;1;23.25;12.5;7;25.0;3;22.8085365295;14.0;8;29.3841004372;
30;1;23.25;12.5;7;25.0;3;22.3999996185;14.6920499802;8;29.4064661264;
31;1;23.25;12.5;7;25.0;3;22.8219394684;14.0;9;29.428878665;
32;1;23.25;12.5;7;25.0;3;22.3999996185;14.7144393921;9;29.4513280392;
33;1;23.25;12.5;7;25.0;3;22.3999996185;14.7256641388;9;29.4738043547;
34;1;23.25;12.5;7;25.0;3;22.8421401978;14.0;9;29.4962974787;
35;1;23.25;12.5;7;25.0;3;22.8488883972;14.0;10;29.5187973976;
36;1;23.25;12.5;8;25.0;3;22.3999996185;14.7593984604;10;29.5412938595;
37;1;23.25;12.5;9;25.0;3;22.3999996185;14.770647049;10;29.5637768507;
38;1;23.25;12.5;9;25.0;3;22.8691329956;14.0;11;29.5862361193;
39;1;23.25;13.5;10;25.0;3;22.875869751;14.0;11;29.6086617708;
40;1;23.25;14.5;10;25.0;3;22.882598877;14.0;11;29.6310436726;
41;1;23.25;15.5;10;25.0;3;22.8893127441;14.0;12;29.6533719301;
42;1;23.25;16.5;11;25.0;3;22.8960113525;16.0;12;29.6756366491;
43;1;23.25;17.5;11;25.0;3;22.9026908875;18.0;13;29.6978281736;
44;1;23.25;17.5;11;25.0;3;22.9093475342;20.0;13;29.7199368477;
45;1;23.25;17.5;12;25.0;3;22.9159812927;22.0;15;29.7419531345;
46;1;23.25;17.5;11;25.0;3;22.9225845337;24.0;15;29.7638677359;
47;1;23.25;17.5;8;25.0;4;22.9291591644;24.0;14;29.7856714725;
48;1;23.25;17.5;8;25.0;4;22.9357013702;24.0;15;29.8073554039;
49;1;23.25;17.5;8;25.0;4;22.9422073364;24.0;16;29.8289107084;
50;1;23.25;17.5;8;25.0;4;22.9486732483;24.0;16;29.8503289223;
51;1;23.25;17.5;9;25.0;4;22.9550971985;24.0;16;29.8716015816;
52;1;23.25;17.5;9;25.0;5;22.961479187;24.0;12;58.6427206993;
53;1;23.25;17.5;8;25.0;6;23.3999996185;25.9463615417;9;60.6761791706;
54;1;23.25;17.5;9;25.0;6;24.9741039276;26.0;10;62.2312467098;
55;1;23.25;17.5;9;25.0;6;25.3999996185;27.9672336578;10;63.3671392202;
56;1;23.25;17.5;9;25.0;6;26.9865226746;28.0;11;64.168722868;
57;1;23.25;17.5;10;25.0;6;27.3999996185;29.9877548218;11;64.7212760448;
58;1;23.25;17.5;9;25.0;6;28.3999996185;29.9978733063;11;64.75;
59;1;23.25;17.5;7;25.0;6;29.3999996185;30.0;11;65.75;
60;1;23.25;17.5;8;25.0;6;31.3999996185;31.0;13;65.7899999619;
61;1;23.25;17.5;9;25.0;7;33.4000015259;32.0;12;65.8311839104;
62;1;23.25;17.5;9;25.0;7;34.4000015259;33.0;12;65.8735535145;
63;1;23.25;17.5;9;25.0;7;35.4000015259;34.0;13;65.9171074629;
64;1;23.25;17.5;9;25.0;7;36.4000015259;35.0;13;65.961841464;
65;1;23.25;17.5;8;26.0;7;36.8250007629;35.6059188843;13;68.1796228886;
66;1;23.7000007629;18.0;8;26.7800006866;7;37.4765625;35.6288757324;13;71.1825677156;
67;1;24.0510005951;18.3899993896;8;27.3745174408;7;38.9557800293;35.3649864197;14;74.3296968937;
68;1;24.3185329437;18.6872596741;8;27.8194847107;7;39.9623527527;37.9318885803;14;75.8509449959;
69;1;24.5187683105;18.9097423553;9;28.0;7;41.9920806885;38.3582687378;14;76.5721781254;
70;1;24.5999984741;19.0;8;28.0;7;41.5353660583;40.6752090454;15;76.9628722668;
71;1;24.5999984741;19.0;8;28.0;7;41.5999984741;41.8869552612;18;77.144200325;
72;1;24.5999984741;19.0;9;28.0;7;39.5999984741;43.9430732727;18;77.331617713;
73;1;24.5999984741;19.0;9;28.0;7;38.5999984741;45.6658096313;18;77.5251076221;
74;1;24.5999984741;19.0;10;28.0;7;37.5999984741;46.7625541687;20;77.724622488;
75;1;24.5999984741;19.0;10;28.0;7;36.5999984741;47.8623123169;21;77.9300817251;
76;1;22.5999984741;20.0;11;28.0;7;35.5999984741;48.9650421143;22;78.1286838055;
77;1;23.5999984741;19.0;10;28.0;7;34.5999984741;50.0643424988;24;78.3233116865;
78;2;22.5999984741;21.0;9;29.0;7;33.5999984741;51.161655426;24;78.5237199068;
79;2;22.5999984741;23.0;9;29.1000000238;7;32.5999984741;52.2618598938;24;78.7296879292;
80;2;21.5999984741;25.0;10;29.2088999748;7;31.6000003815;53.3648452759;24;78.9409558773;
81;2;20.5999984741;27.0;8;29.3272645473;7;30.6000003815;54.4704780579;25;79.1572244167;
82;2;19.5999984741;29.0;8;29.4556473494;7;29.6000003815;55.5786132812;24;79.3781559467;
83;2;18.5999984741;30.0;9;29.5945794582;8;29.6000003815;56.6890792847;23;79.6033751965;
84;2;17.5999984741;31.0;9;29.7445563078;8;29.6000003815;54.0;26;79.8324711323;
85;2;16.5999984741;32.0;10;29.9060227871;8;29.6000003815;58.0;28;80.064999342;
86;2;15.5999984741;33.0;11;30.0793559551;8;29.6000003815;60.0325012207;27;80.300483942;
87;2;14.5999984741;34.0;11;30.2648479939;8;29.6000003815;61.1502418518;24;80.5384223461;
88;2;14.0;35.0;12;30.4626858234;8;29.6000003815;62.2692108154;25;80.778288126;
89;2;15.0;33.0;12;30.6729331017;8;29.6000003815;63.3891448975;25;82.0195360184;
90;2;14.0;34.0;14;30.8955099583;8;30.6000003815;65.509765625;25;82.2841060162;
91;2;14.0;35.0;14;31.1301763058;8;31.6000003815;67.6307983398;26;82.5492047071;
92;2;15.0;33.0;13;31.3765156269;8;31.6000003815;69.7519683838;26;82.8142514229;
93;2;14.0;34.0;14;31.633923769;8;31.9204978943;71.8729629517;27;83.0786664486;
94;3;14.0;35.0;15;31.9016013145;8;31.6000003815;73.9935150146;27;83.3418754339;
95;3;15.0;33.0;14;32.1785526276;8;31.6000003815;75.6709365845;28;83.6033158302;
96;3;14.0;34.0;13;32.4635906219;8;31.6000003815;76.8016586304;32;83.8624401093;
97;3;14.0;35.0;11;32.7553491592;8;32.2750015259;78.7287063599;32;84.1187229156;
98;3;15.0;33.0;11;33.0523042679;8;32.6311950684;79.0769882202;32;84.3716638088;
99;3;14.0;34.0;10;33.3527998924;8;32.2750015259;81.0851669312;32;84.6207914352;
100;3;14.0;35.0;9;33.6550831795;8;32.6459503174;81.3939971924;34;84.8656672239;
