Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;11.0;10.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;11.0;10.0;6;20.0;1;8.0;12.1000003815;6;23.0;
4;1;11.0;10.0;6;20.0;1;9.0;11.5;6;23.0;
5;1;12.0;10.0;6;20.0;2;9.60000038147;11.6999998093;5;24.0;
6;1;13.0;10.0;6;20.0;2;10.9000005722;11.5;5;24.1124999523;
7;1;14.0;10.0;6;20.3999996185;2;11.9337501526;11.5;5;24.2364046574;
8;1;14.1800003052;10.1999998093;5;20.7264003754;2;12.2709207535;11.5;5;24.844940424;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;12.4534826279;11.7299995422;5;25.3705487251;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;12.6111650467;11.9106416702;5;25.7305408716;
11;2;16.8187427521;11.3658018112;3;24.4745616913;2;12.719162941;12.0;5;27.1818068027;
12;2;18.8187427521;11.7372808456;3;25.1173980236;2;14.7409267426;12.6000003815;5;28.4221744537;
13;2;20.2912425995;12.0336990356;3;25.6345009804;2;16.7409267426;13.0788002014;5;29.482388258;
14;2;20.5355262756;12.2662630081;3;26.0484842062;2;18.7409267426;13.4505519867;5;30.3998434544;
15;2;20.721818924;12.446267128;3;26.2119446993;2;20.0266189575;13.7328653336;5;31.2119448185;
16;2;20.795375824;12.5;3;26.269973278;2;21.1438293457;13.943564415;5;31.7545545101;
17;2;22.7731285095;12.5;2;26.3300433159;2;22.2727508545;14.0;6;32.2237029076;
18;2;23.8001613617;12.5;1;26.3921557665;2;23.4134960175;14.0;6;32.7316579819;
19;2;24.8281116486;12.5;2;26.4563041925;2;23.8194961548;14.0;6;33.2766666412;
20;2;25.8569774628;12.5;2;26.5224741697;2;23.9829998016;14.0;6;33.8556928635;
21;2;25.9351139069;12.5;2;26.5906432867;2;24.1567077637;14.0;7;34.4643516541;
22;2;25.9657897949;12.5;2;26.6607804298;4;24.3393058777;14.0;5;35.0969305038;
23;2;25.9973506927;12.5;2;26.7328453064;4;24.5290794373;14.0;5;35.7465176582;
24;2;26.0297813416;12.5;3;26.8067884445;4;24.7239551544;14.0;6;36.4052410126;
25;3;26.0630550385;12.5;3;26.8825509548;4;22.7239551544;15.0;6;37.0646123886;
26;3;26.0971488953;12.5;3;26.9600640535;4;23.7239551544;14.0;6;37.7159395218;
27;3;26.1320285797;12.5;3;27.0392494202;4;24.7239551544;14.0;6;38.3507852554;
28;3;26.1676616669;12.5;3;27.120018959;4;25.505235672;14.0;6;38.961400032;
29;3;26.2040081024;12.5;3;27.2022752762;4;25.688419342;14.0;6;39.5411043167;
30;3;25.25;13.3809099197;3;27.2859115601;4;23.8623313904;15.0;6;41.0845632553;
31;3;25.25;13.4143648148;3;27.3708124161;4;24.0253677368;16.0;6;41.6279382706;
32;3;25.25;13.4483251572;3;27.4568536282;4;24.1763801575;17.0;6;42.1301007271;
33;3;25.25;13.4827413559;3;27.5439035892;4;23.1763801575;16.5405921936;6;42.5901768208;
34;3;25.25;13.5175609589;3;27.6318233013;4;22.5134468079;16.0;6;43.0085572004;
35;3;25.25;13.5527296066;4;27.7204678059;4;22.526512146;17.0;6;43.3866690397;
36;3;25.25;13.5881872177;4;27.8096864223;4;22.0159988403;18.0;6;43.7267277241;
37;3;26.25;15.5881872177;4;27.8993241787;4;21.1180171967;19.0;6;44.0314910412;
38;3;26.5546951294;17.5881881714;4;27.989222765;4;20.8094482422;20.0;7;44.3040411472;
39;3;26.5951499939;19.5881881714;4;28.079221487;4;20.8912124634;21.0;7;44.5475977659;
40;3;26.6356506348;21.5;4;28.1691586971;4;21.5435676575;21.0;7;44.7028282881;
41;4;26.6761207581;22.5;4;28.258872509;4;22.5750007629;23.0;7;44.7543625832;
42;4;26.7164916992;22.5;4;28.348202467;4;24.026309967;25.0;9;44.8069496155;
43;4;26.756690979;22.5;4;28.4369900227;4;25.0420837402;27.0;9;44.8605561256;
44;4;26.7966461182;22.5;4;28.5250804424;4;26.0581665039;29.0;9;44.9151450396;
45;4;26.8362865448;22.5;5;28.6123232841;4;26.5750007629;29.832572937;8;44.97067523;
46;4;26.8755455017;22.5;5;28.6985738277;4;27.5750007629;29.8603382111;8;45.0271017551;
47;4;26.914358139;22.5;5;28.7836937904;4;29.1081314087;29.0;8;45.0843759775;
48;4;26.9526615143;22.5;6;28.867552042;4;28.9749984741;29.9171886444;9;45.1424454451;
49;4;26.990398407;22.5;6;28.9500255585;4;29.5427322388;29.0;9;45.2012542486;
50;4;27.0275115967;22.5;6;29.0310001373;4;29.5603752136;29.0;10;45.2607431412;
51;4;27.063949585;22.5;6;29.110370636;4;28.9749984741;30.0;10;45.3208494186;
52;4;27.0996665955;22.5;9;29.1880412102;4;29.5962562561;29.0;10;45.3815076351;
53;5;27.1346187592;22.5;8;29.2639269829;4;28.9749984741;30.0;10;45.4426498413;
54;5;27.1687679291;22.5;8;29.3379516602;4;29.6327934265;29.0;11;45.5042052269;
55;5;27.2020778656;22.5;9;29.4100503922;5;28.9749984741;30.0;10;46.5661010742;
56;5;27.2345218658;22.5;9;29.4801678658;6;31.6698303223;31.0;9;47.6482629776;
57;5;27.2660751343;22.5;9;29.5482587814;6;32.9749984741;33.0;10;47.7708106041;
58;5;27.2967166901;22.5;9;29.6142878532;6;34.0191841125;35.0;10;47.8948451281;
59;5;27.3264293671;22.5;9;29.6782283783;6;33.7259216309;37.0;11;48.0202838182;
60;6;27.3552017212;22.5;6;63.8336286545;6;34.081741333;39.0;11;48.1470404863;
61;6;29.8751335144;25.0;6;67.7066807747;7;32.9749984741;41.1345024109;11;48.2750256062;
62;6;32.2950057983;27.3899993896;8;70.6490812302;7;33.3385505676;39.0;12;50.4833321571;
63;6;33.6301574707;29.6872596741;8;72.7822817564;7;34.4145126343;40.9174842834;12;52.2883534431;
64;6;34.8965759277;31.9097423553;8;74.141564846;7;34.4472732544;41.8117599487;12;54.7501136065;
65;6;36.042388916;34.0;8;74.8974410295;7;36.7690849304;42.2095146179;11;56.0150706768;
66;6;37.10521698;34.665145874;10;75.1083048582;7;36.6763648987;45.2733001709;11;56.8995734453;
67;6;38.1661643982;34.7028579712;10;75.3179564476;7;36.8367919922;47.1390304565;12;57.5307273865;
68;6;37.1661643982;36.7028579712;10;75.5262070894;7;38.442943573;45.6257171631;13;59.1299566031;
69;6;37.5999984741;38.7028579712;10;75.7328965664;8;36.4744529724;49.6366577148;12;59.6232938766;
70;6;38.5999984741;40.7028579712;10;75.9378913641;8;35.9176483154;54.2816505432;12;60.0821216106;
71;6;39.5999984741;42.7028579712;11;76.1410807371;8;35.9176483154;54.4820709229;14;60.5547145605;
72;6;40.5999984741;44.7028579712;11;76.3423733711;8;33.9176483154;57.6103591919;14;61.0406854153;
73;6;41.5999984741;45.9629058838;12;76.5416953564;8;33.5999984741;60.7440872192;14;61.5395708084;
74;6;42.5999984741;47.0117645264;12;76.7389843464;8;33.5999984741;62.7697868347;15;62.0508270264;
75;6;43.5999984741;47.7080154419;11;76.9341878891;10;34.3723983765;62.7380828857;13;63.5738288164;
76;6;45.5999984741;45.759803772;11;77.1272578239;10;35.4123687744;63.1095924377;14;64.1078664064;
77;6;45.5999984741;46.8129615784;11;77.3181490898;10;34.5999984741;65.9475708008;14;64.6521452665;
78;6;46.5999984741;47.8674163818;12;77.506814003;10;32.5999984741;69.8260726929;15;65.2057855129;
79;7;50.5999984741;46.9230804443;11;78.667914629;10;34.5378570557;70.4530792236;16;65.7678204775;
80;7;52.5999984741;48.9798583984;11;78.9334908724;11;35.5999984741;71.616065979;15;66.3372018337;
81;7;55.3474998474;51.0376472473;11;79.2216320038;11;33.5999984741;71.6360244751;15;67.9128009081;
82;7;58.4585037231;50.0963287354;13;79.5344218016;11;35.5999984741;74.7092895508;17;68.5334128141;
83;7;59.5845222473;52.1557846069;13;79.8740184307;11;35.7143516541;77.4210662842;17;69.1589492559;
84;7;61.3271331787;53.2158813477;13;80.2426017523;11;34.7593231201;79.5274887085;18;69.7880783081;
85;7;63.4879302979;51.2764816284;13;80.6423003674;11;33.5999984741;82.6358032227;19;70.4194169044;
86;7;62.6684799194;51.3374481201;15;81.0750966072;12;33.5999984741;83.7456665039;18;72.0515406132;
87;7;62.870262146;51.3986282349;17;81.5427081585;12;33.5999984741;87.0369644165;19;72.6079975963;
88;7;63.0945854187;52.1854705811;17;82.0464470387;12;36.5999984741;89.5604324341;20;73.1698231101;
89;7;62.8924942017;52.27110672;17;82.587059021;12;37.5999984741;90.0583724976;22;73.7348069549;
90;7;62.1646766663;52.3564186096;20;83.1645526886;12;37.5999984741;93.3257751465;23;74.3008335233;
91;7;61.4613227844;52.7952957153;20;83.7780275345;12;39.5999984741;93.7081604004;24;74.8658901453;
92;7;60.7820358276;53.8793449402;20;84.4255218506;12;42.1107139587;92.5686569214;25;76.4280779362;
93;7;60.1257286072;54.9624633789;21;85.1038942337;12;42.1517219543;95.8035507202;25;76.9606189728;
94;8;59.4905281067;56.0444602966;20;86.5597205162;12;43.1917190552;99.0355834961;25;77.4512301683;
95;8;59.1922607422;57.3078269958;20;88.0509147644;12;42.8999977112;103.643318176;26;77.9091296196;
96;8;58.9073791504;58.5815353394;20;89.563835144;12;42.1796722412;106.912567139;27;78.3637292981;
97;8;58.6285934448;59.8638877869;20;91.0837550163;12;43.17420578;107.178672791;28;78.8134564161;
98;8;58.3481636047;61.1529121399;20;92.5954089165;12;43.8999977112;107.069381714;29;79.2569009066;
99;8;58.0582046509;62.4464111328;20;96.0836019516;12;45.8999977112;108.317108154;31;79.6928171217;
100;8;59.7510490417;65.7420043945;20;98.6138300896;12;45.5608711243;106.952354431;32;80.120118618;
