Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.0;10.0;4;20.0;2;6.0;14.5;3;21.0;
2;1;11.0;10.0;5;20.0;2;7.15000009537;13.0;3;21.0800000429;
3;1;11.0;10.0;6;20.0;2;8.16199970245;12.0;3;21.165536046;
4;1;11.0;10.0;6;20.0;2;8.17483043671;11.0;3;21.2568495274;
5;2;12.4499998093;10.0;5;21.0;2;8.18852710724;10.0;3;21.3541692495;
6;2;13.4499998093;10.0;5;21.0900000334;2;9.0;10.6770849228;3;21.4577066898;
7;2;14.4905004501;10.0;5;21.5980186462;2;9.5;10.7288532257;3;21.5676511526;
8;2;14.7191085815;10.1999998093;5;22.0418490171;2;9.5;10.7838258743;3;22.099840641;
9;2;14.9188308716;10.3632001877;5;23.3017349243;2;9.59000015259;11.0499200821;3;22.5673309565;
10;2;15.4857807159;10.9097137451;5;24.3994617462;2;9.66343975067;11.283665657;3;22.9815050364;
11;2;17.4857807159;11.3658018112;5;25.3481024504;2;9.72283363342;11.4907522202;3;24.2721579075;
12;2;19.4857807159;11.7372808456;5;26.1681330204;2;9.95943069458;12.1360788345;3;25.4070909023;
13;2;20.7640724182;12.0336990356;5;26.8832330704;2;11.7228336334;12.7035455704;3;26.4009931087;
14;2;21.097454071;12.2662630081;5;27.5170819759;2;13.7228336334;13.2004966736;3;27.2747313976;
15;2;21.382686615;12.446267128;5;27.923101902;2;15.7228336334;13.6373653412;3;28.0513114929;
16;2;21.5653953552;12.5;5;28.2468910217;2;16.7228336334;14.0256557465;5;28.7529191971;
17;2;23.6627426147;12.5;5;28.5960328579;3;17.7228336334;14.3764591217;4;29.1781930923;
18;2;24.8198566437;12.5;5;28.9701628685;3;18.7228336334;14.5890960693;4;29.5885672569;
19;2;25.9882144928;12.5;5;29.3683638573;3;19.625;14.7942838669;4;30.0204172134;
20;2;27.1674041748;12.5;5;29.7891087532;3;20.625;12.7942838669;4;30.4712295532;
21;2;27.4050979614;12.5;7;30.2302284241;3;19.625;13.7942838669;6;30.9378581047;
22;2;27.603603363;12.5;7;30.6889076233;3;19.625;14.7942838669;6;31.4165768623;
23;2;27.8100090027;12.5;6;31.1617178917;3;19.625;15.7942838669;7;31.9031729698;
24;2;28.0227737427;12.5;6;31.6446905136;3;19.625;16.6419029236;7;32.3930792809;
25;2;28.2401103973;12.5;6;32.1334280968;3;19.625;16.9358482361;7;32.8815340996;
26;2;28.4600429535;12.5;6;32.6232500076;3;20.625;14.9358482361;8;33.3637628555;
27;3;28.6804618835;12.5;5;33.1093654633;3;19.625;15.9358482361;9;33.8351640701;
28;4;28.8992137909;12.5;4;41.1244516373;4;19.625;16.9358482361;7;48.4432430267;
29;4;30.1141777039;12.5;4;41.9633150101;4;20.625;17.9358482361;7;49.7083625793;
30;4;31.3233413696;13.5;4;42.7742338181;4;19.625;19.9358482361;7;50.8759469986;
31;4;31.5248966217;14.5;4;43.5513858795;4;19.625;21.9358482361;7;51.9385728836;
32;4;31.7172775269;15.5;4;44.2899570465;4;19.625;23.9358482361;7;52.8935899734;
33;4;31.8992156982;16.0833473206;4;44.9862346649;4;19.625;25.9358482361;8;53.7424259186;
34;4;32.0697669983;16.2102546692;4;45.637629509;4;21.5633907318;24.6146240234;7;54.4896860123;
35;4;32.2283096313;19.2102546692;4;46.24264431;4;22.661693573;23.8939399719;6;55.1421947479;
36;4;32.3745269775;22.2102546692;4;46.8007917404;4;23.7448158264;23.1487159729;6;55.7081127167;
37;4;32.5083885193;25.2102546692;5;47.3124761581;4;24.8144283295;23.3795890808;6;56.1962022781;
38;4;32.6301040649;28.2102546692;5;47.7788543701;4;25.8722553253;23.5875587463;7;56.5265388489;
39;4;32.7400856018;31.2102546692;4;48.2016868591;4;25.8999996185;23.7738838196;8;56.7111129761;
40;4;32.8388977051;31.8127670288;4;48.583190918;5;25.8999996185;23.9400024414;8;56.8749446869;
41;4;32.9272155762;31.8868637085;4;48.925901413;5;25.8999996185;24.0874500275;8;57.0;
42;4;33.0057830811;31.9541072845;5;50.2325534821;5;25.8999996185;24.2000007629;10;57.0;
43;4;34.0753936768;33.0148925781;5;50.4541227818;5;25.8999996185;24.2000007629;10;57.0;
44;4;35.0999984741;34.0696487427;5;50.5605909824;5;25.8999996185;27.2000007629;10;57.0;
45;4;35.0999984741;35.0999984741;5;50.591766119;5;25.8999996185;30.2000007629;11;57.0;
