Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;6;32.0;
3;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;6;32.0;
4;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;6;32.0;
5;1;12.0;10.0;4;20.0;2;12.6999998093;16.0;5;33.0;
6;1;13.0;10.0;5;20.0;2;13.6999998093;16.0;5;32.8543994427;
7;2;14.0;10.0;4;20.3999996185;2;14.7331199646;15.8719997406;5;32.8475782871;
8;3;14.6300001144;10.1999998093;3;21.7264003754;2;14.8542728424;15.8028001785;5;32.6470202208;
9;3;14.7768793106;10.3632001877;2;22.8594274521;2;14.7941055298;15.6349201202;5;33.2208163738;
10;3;15.2867431641;10.9097137451;2;23.8127875328;2;16.9463253021;15.8360004425;5;33.3897733688;
11;3;17.2867431641;11.3658018112;2;24.5981152058;2;18.9463253021;15.8360004425;5;33.5742591619;
12;3;19.2867431641;11.7372808456;2;25.2345055342;2;20.9463253021;15.8360004425;5;33.7750489712;
13;3;20.3439407349;12.0336990356;2;25.7443674803;2;22.1125946045;15.8360004425;5;33.9928102493;
14;3;20.5849647522;12.2662630081;2;26.1502821445;2;23.1779232025;15.8360004425;5;34.2280657291;
15;3;20.7676277161;12.446267128;2;26.3048160076;2;24.2484989166;15.8360004425;6;34.4811553955;
16;3;20.8371677399;12.5;2;26.3530313969;2;24.3443470001;15.8360004425;6;34.7521951199;
17;3;22.8105049133;12.5;2;26.4023760557;2;24.4256591797;15.8360004425;7;35.0410373211;
18;3;23.8327102661;12.5;2;26.4528282881;2;24.5123119354;15.8360004425;7;35.3472342491;
19;3;24.8554134369;12.5;2;26.5043625832;2;24.6041698456;15.8360004425;7;35.670006752;
20;3;25.8786048889;12.5;2;26.5569496155;3;23.630903244;15.8360004425;7;42.4326748848;
21;3;25.9506263733;12.5;2;26.6105561256;4;23.5514411926;16.8360004425;6;43.2715234756;
22;3;25.9747505188;12.5;2;26.6651450396;4;24.5514411926;17.1487464905;6;44.1256952286;
23;3;25.9993152618;12.5;2;26.72067523;4;25.5514411926;18.1487464905;6;44.9882326126;
24;3;26.0243034363;12.5;2;26.7771017551;4;27.5514411926;16.1487464905;6;45.8518681526;
25;3;26.0496959686;12.5;2;26.8343759775;4;27.5514411926;17.1487464905;6;46.7092680931;
26;3;26.0754699707;12.5;2;26.8924454451;4;28.530670166;18.1487464905;6;47.553278923;
27;3;26.101600647;12.5;2;26.9512542486;4;28.7358894348;18.8639526367;7;48.377163887;
28;3;26.1280651093;12.5;2;27.0107431412;4;28.9326095581;19.041847229;7;49.1748075485;
29;3;26.1548347473;12.5;2;27.0708494186;4;29.1194267273;19.2177963257;7;49.9408841133;
30;3;25.25;13.3283395767;3;27.1315076351;4;28.2952442169;18.2177963257;7;50.6709718704;
31;3;25.25;12.5;2;27.1926498413;4;28.4592952728;18.2177963257;6;51.361618042;
32;3;25.25;12.5;2;27.2542052269;4;27.8915100098;18.8360004425;7;52.0103492737;
33;3;25.25;12.5;2;27.3161010742;4;27.1224517822;19.8360004425;7;53.6156454086;
34;3;25.25;12.5;2;27.3782629967;4;25.2496414185;22.295999527;7;54.2914425135;
35;3;25.25;12.5;2;27.4406147003;4;28.3648872375;25.2960014343;8;54.9351658821;
36;3;25.25;12.5;3;27.5030794144;4;28.096824646;28.2960014343;8;55.5485634804;
37;5;26.25;15.5;2;28.5655794144;4;29.1898155212;31.2960014343;11;56.1339412928;
38;5;27.25;18.5;3;28.7180365324;4;30.2727165222;34.0246047974;11;56.6864857674;
39;5;27.25;21.5;4;28.8774914742;4;31.8034152985;35.5482559204;11;57.1932609081;
40;5;27.25;24.5;4;29.0442484617;4;32.9055213928;36.5360031128;14;57.5739369392;
41;5;27.831281662;27.5;4;29.2185988426;4;32.4014434814;38.4815368652;14;57.9524049759;
42;5;27.8819007874;27.5;4;29.4008147717;4;32.4014434814;39.5752410889;14;58.3300156593;
43;5;27.9362182617;27.5;4;29.5911408663;4;32.4014434814;40.6761207581;16;58.708053112;
44;5;27.9943771362;27.5;3;30.7897855043;4;33.4014434814;38.7842903137;16;59.0876677036;
45;5;29.0565013885;28.5;3;31.046911478;4;33.2019271851;38.5359992981;17;59.3612241745;
46;5;30.1226959229;29.5;3;31.3146002293;4;33.273979187;39.5359992981;19;59.643488884;
47;5;30.1930408478;30.5;3;31.592916131;4;33.4014434814;38.5359992981;19;59.9404895306;
48;5;30.2675819397;31.5;3;31.8818405867;4;32.4014434814;40.2890090942;19;60.2512745857;
49;4;27.25;27.5;4;29.5606968403;5;32.4014434814;41.431968689;18;63.0108859539;
50;4;27.25;27.5;4;29.6770143509;7;34.4014396667;40.580696106;17;63.5294718742;
51;4;27.25;27.5;5;29.7944532633;7;34.4014396667;42.7344818115;17;64.0663325787;
52;4;27.25;27.5;5;29.9129601717;7;34.4014396667;44.8924789429;18;64.6191117764;
53;4;27.25;27.5;5;30.0324782133;7;35.4014396667;44.0537414551;19;65.1851255894;
54;5;27.25;27.5;5;30.152946353;7;34.4014396667;45.89453125;19;65.761412859;
55;6;27.25;27.5;4;30.2742986679;7;34.4014396667;47.0372314453;19;68.0166316032;
56;6;27.25;27.5;4;30.3964643478;7;35.8235549927;45.7355155945;19;69.9019124508;
57;6;27.25;27.5;4;30.5193674564;8;36.1432991028;45.0852584839;18;71.4975614548;
58;6;27.25;27.5;5;30.6429264545;8;35.383556366;47.312210083;19;72.5893387794;
59;6;27.25;27.5;5;31.8987381458;8;36.4877128601;46.309513092;19;73.4622616768;
60;6;27.7000007629;28.0;5;32.9406023026;8;35.5447998047;47.9924659729;19;74.1303877831;
61;6;28.0510005951;28.3899993896;5;33.8027071953;8;33.5447998047;50.1328735352;19;74.7867722511;
