Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;11.0;10.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;11.0;10.0;5;20.0;1;11.3999996185;16.0;4;31.7439994812;
3;1;11.0;10.0;5;20.0;1;11.3487997055;15.8719997406;4;31.5135993958;
4;2;11.3000001907;10.0;4;21.0;1;11.3027200699;15.7567996979;4;31.3062400818;
5;2;12.4499998093;10.0;4;21.0900000334;1;12.3027200699;15.6531200409;4;31.1196155548;
6;2;13.4905004501;10.0;4;21.1871190071;1;13.3027200699;15.5598077774;4;30.9516544342;
7;2;14.5342035294;10.0;4;21.7036092281;1;14.2854967117;15.4758272171;4;30.8924884796;
8;2;14.7666244507;10.1999998093;4;22.1564130783;1;14.2677469254;15.4462442398;4;30.8392391205;
9;2;14.9703855515;10.3632001877;4;23.4291926622;1;14.2517719269;15.4196195602;4;32.1347236633;
10;2;15.5431365967;10.9097137451;4;24.540822506;1;16.2677459717;16.0673618317;4;33.0683250427;
11;2;17.5431365967;11.3658018112;4;25.5043385029;1;17.2677459717;16.5341625214;5;33.72032547;
12;2;19.5431365967;11.7372808456;4;26.3401436806;2;18.2677459717;16.860162735;6;34.0400009155;
13;2;20.8414783478;12.0336990356;5;27.0718023777;2;19.2677459717;17.0200004578;7;34.0400009155;
14;2;21.9614181519;12.2662630081;5;27.7228300571;2;20.2677459717;17.0200004578;7;34.0400009155;
15;2;23.092376709;12.446267128;5;28.1464314461;2;21.2677459717;17.0200004578;7;34.0400009155;
16;2;24.2346363068;12.5;5;28.4879314899;2;22.2119998932;17.0200004578;8;34.0400009155;
17;2;25.3883113861;12.5;5;28.8545851707;2;22.2119998932;17.0200004578;8;34.0400009155;
18;2;26.5533065796;12.5;5;29.2456488609;2;22.2119998932;17.0200004578;8;34.0400009155;
19;2;27.1605415344;12.5;6;29.659784317;2;22.2119998932;17.0200004578;8;34.0400009155;
20;2;27.3469028473;12.5;6;30.0950183868;2;22.2119998932;17.0200004578;9;34.0400009155;
21;2;25.3469028473;13.5;6;30.5487289429;2;22.2119998932;17.0200004578;8;34.0400009155;
22;2;25.25;13.8871822357;6;31.0176672935;2;22.2119998932;17.0200004578;8;34.0400009155;
23;2;25.25;14.8871822357;6;31.4980173111;2;22.2119998932;17.0200004578;8;34.0400009155;
24;2;25.25;15.0992069244;6;31.9854974747;2;22.2119998932;17.0200004578;8;34.0400009155;
25;2;23.25;16.2941989899;6;32.4754953384;2;22.2119998932;17.0200004578;8;34.0400009155;
26;2;24.25;15.4901981354;7;32.9632344246;2;22.2119998932;17.0200004578;8;34.0400009155;
27;2;22.25;16.6852931976;7;33.4439563751;2;22.2119998932;17.0200004578;8;34.0400009155;
28;3;22.25;15.6852941513;6;33.9131059647;2;22.2119998932;17.0200004578;9;34.0400009155;
29;3;20.25;17.6852931976;6;34.3665065765;2;22.2119998932;17.0200004578;10;34.0400009155;
30;3;19.25;19.6852931976;6;34.8005027771;2;20.2119998932;18.0200004578;10;34.0400009155;
31;3;19.25;18.6852931976;5;35.2120742798;2;19.2119998932;19.0200004578;10;34.0400009155;
32;3;17.25;20.6852931976;5;35.5988998413;2;18.2119998932;20.0200004578;11;34.0400009155;
33;3;16.25;22.6852931976;6;35.9593791962;2;17.2119998932;21.0200004578;11;34.0400009155;
34;3;15.25;24.685295105;6;36.2926120758;2;16.2119998932;22.0200004578;11;34.0400009155;
35;3;15.25;23.685295105;6;36.5983467102;2;15.2119998932;23.0200004578;11;34.0400009155;
36;3;15.25;22.685295105;6;36.8768987656;2;14.2119998932;24.0200004578;11;34.0400009155;
37;3;14.0;24.685295105;6;37.1290569305;2;13.2119998932;25.0200004578;11;34.0400009155;
38;3;15.0;23.3516235352;7;37.3559846878;2;12.2119998932;26.0200004578;12;34.0400009155;
39;3;16.0;22.4423942566;7;38.5591192245;2;12.0;27.0200004578;12;34.0400009155;
40;3;18.0;24.4423942566;7;38.9100807905;2;12.0;28.0200004578;14;34.0400009155;
41;4;20.0;26.4423942566;7;39.2675065994;2;12.0;29.0200004578;14;34.0400009155;
42;4;21.6151103973;28.4423942566;8;39.5942704678;2;12.0;30.0200004578;15;34.0400009155;
