Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;2;9.0;10.1999998093;4;21.0;1;8.0;10.0;5;20.0;
5;2;9.19999980927;10.0;4;21.0900000334;1;8.0;10.0;5;20.0;
6;2;10.3269996643;10.0;4;21.1871190071;1;9.0;10.0;5;20.0;
7;2;11.3561353683;10.0;4;21.2917383909;1;9.5;10.0;5;20.0;
8;2;11.3875217438;10.0;4;21.817143321;1;9.5;10.0;5;20.3999996185;
9;2;11.5451431274;10.1999998093;4;22.2793469429;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.683804512;10.3632001877;4;22.6900259256;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.8070077896;10.4951858521;4;23.9506295919;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;12.1851892471;11.0209560394;4;25.0538563728;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;14.1851892471;11.4571752548;5;26.0146684647;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;16.1851882935;11.8107032776;5;26.8543052673;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;17.4138870239;12.0916318893;5;27.5962526798;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;18.5046653748;12.3113050461;5;28.2632865906;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;19.6030311584;12.4808797836;5;28.6547400951;2;16.7228336334;12.6808795929;3;26.0;
18;2;20.7089958191;12.5;5;29.0328326225;2;18.7228336334;12.5;3;26.1699999571;
19;2;21.8224239349;12.5;5;29.4347915649;2;19.625;12.5;3;26.3669109344;
20;2;22.8304367065;12.5;6;29.8589887619;2;19.625;12.5;3;26.5942704678;
21;2;22.9576969147;12.5;6;30.3031497002;2;19.625;12.5;5;26.8558222055;
22;2;21.5;13.5;6;30.7643566132;2;19.625;12.5;5;27.1554293633;
23;2;22.5;12.5;6;31.2390885353;2;19.625;12.5;6;27.4969480038;
24;2;21.5;13.5;7;31.7232985497;2;19.625;12.5;6;27.8840510845;
25;3;22.5;12.5;6;32.2125329971;2;19.625;12.5;6;28.3200027943;
26;3;23.5;12.5;6;32.7020812035;2;19.625;12.5;6;28.8073790073;
27;3;21.8106231689;13.5;6;33.1871519089;2;19.625;12.5;6;29.3477458954;
28;3;20.9561462402;14.5;6;33.6630582809;2;19.625;12.5;6;29.9413113594;
29;3;20.0989170074;15.5;6;34.1254005432;2;19.625;12.5;6;30.586581707;
30;3;19.2376213074;16.5;6;34.570227623;2;17.625;13.5;6;31.2800674438;
31;3;18.3710670471;17.5;6;34.9941673279;2;18.625;13.5;6;32.0160870552;
32;3;17.498249054;18.5;6;35.3945169449;2;17.625;13.5;6;32.7867279053;
33;3;17.1183547974;19.5;6;35.7692890167;2;17.625;13.5;7;33.5820074081;
34;3;17.2307853699;20.5;6;36.1172132492;2;18.625;14.5;7;34.3902606964;
35;3;17.3351631165;21.5;6;36.4376983643;2;17.625;13.5;7;35.1987380981;
36;3;17.4313087463;22.5;7;36.7307662964;2;17.625;13.5;7;35.9943685532;
37;3;18.5192298889;24.0;6;37.9969644547;2;16.625;13.5;8;36.7645931244;
38;3;19.5990905762;25.0;6;38.2772674561;2;16.625;14.5;7;37.4981632233;
39;3;18.5990905762;23.5;7;38.5341620445;2;16.8120880127;15.5;7;38.1857919693;
40;3;16.5990905762;25.5;7;38.7691814899;2;15.812087059;14.5;7;38.8205833435;
41;3;17.5990905762;24.5;7;38.9840039015;2;16.0;14.5;7;39.3982028961;
42;3;17.0;23.5;7;39.18037498;2;17.0;15.5;7;39.9167966843;
43;3;17.0;23.5;7;39.2577478886;2;16.0;14.5;7;40.3767118454;
44;3;18.0;24.5;7;39.3048160076;2;16.0;14.5;7;40.780087471;
45;3;17.0;23.5;8;39.3530313969;2;17.0;15.5;8;41.1303920746;
46;3;18.0;24.5;8;39.4023760557;2;17.6293373108;16.5;8;41.4319667816;
47;3;19.0;25.5;8;39.4528282881;2;17.6971931458;17.5;8;41.6896247864;
48;3;20.0;26.5;10;39.5043625832;2;17.7551651001;18.5;8;41.9083213806;
49;3;21.0;27.5;10;39.5569496155;2;18.8043727875;18.5;8;42.0;
50;3;22.4670848846;28.5;10;39.6105561256;2;19.8250007629;19.5;6;42.0;
51;3;23.4831676483;29.5;11;39.6651450396;2;20.8250007629;20.5;6;42.0;
52;3;23.5;31.332572937;11;39.72067523;2;21.8250007629;21.5;6;42.0;
53;4;23.5;32.3603363037;9;39.7771017551;2;22.8250007629;22.5;6;42.0;
54;4;24.0331306458;32.5;9;39.8343759775;2;23.4500007629;22.5;6;42.0;
55;4;23.5;34.4171867371;9;39.8924454451;2;23.4500007629;22.5;6;42.0;
56;4;25.0677337646;31.5;9;39.9512542486;2;23.4500007629;22.5;6;42.0;
57;4;24.0853767395;32.5;11;40.0107431412;2;23.4500007629;22.5;7;42.0;
58;4;23.5;34.5;11;40.0708494186;2;23.4500007629;22.5;7;42.0;
59;4;25.1212539673;31.5;11;40.1315076351;3;23.4500007629;22.5;6;42.0;
60;4;23.5;33.5;11;40.1926498413;3;23.4500007629;22.5;6;42.0;
61;4;24.1577949524;33.5;12;41.2542052269;3;23.4500007629;22.5;7;42.0;
62;5;25.5;33.5;11;41.3461010456;4;23.4500007629;22.5;5;42.0;
63;5;26.1948299408;34.5;9;41.4388539791;4;23.4500007629;22.5;4;42.0;
64;5;26.2134780884;36.5;9;41.5323808193;4;23.4500007629;22.5;3;42.0;
