Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;2;8.0;10.1999998093;4;21.0;1;8.0;10.0;5;20.0;
4;2;9.19999980927;10.0;4;21.0599999428;1;8.0;10.0;5;20.0;
5;2;9.21199989319;10.0;4;21.1229639053;1;8.0;10.0;5;20.0;
6;2;10.336889267;10.0;3;21.1889609098;1;9.0;10.0;5;20.0;
7;2;11.3566884995;10.0;2;21.2580518723;1;9.5;10.0;5;20.0;
8;2;11.377415657;10.0;2;21.7428686619;1;9.5;10.0;5;20.3999996185;
9;2;11.522860527;10.1999998093;2;22.1586660147;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.647600174;10.3632001877;2;22.5167047977;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.7550115585;10.4951858521;2;23.6975815296;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;12.1092748642;11.0209560394;2;24.7081744671;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;14.1092748642;11.4571752548;3;25.5624349117;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;16.1092739105;11.8107032776;3;26.2807190418;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;17.241809845;12.0916318893;3;26.8858177662;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;18.2915363312;12.3113050461;3;27.4000668526;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;19.3440666199;12.4808797836;3;27.6226844788;1;12.6163959503;12.4808797836;5;25.0;
18;2;20.3993797302;12.5;2;27.8161680698;1;14.3148164749;12.5;5;25.0;
19;2;20.6125736237;12.5;2;28.018476963;1;15.3148164749;12.5;6;25.0;
20;2;21.5;12.5;2;28.2292125225;1;16.3148155212;12.5;6;25.0;
21;2;21.5;12.5;2;28.447855711;1;17.3148155212;12.5;6;25.0;
22;2;21.5;12.5;2;28.6737642288;1;17.625;12.5;6;25.0;
23;2;21.5;12.5;2;28.9061751366;1;17.625;12.5;6;25.0;
24;2;21.5;12.5;5;29.1442108154;1;17.625;12.5;6;25.0;
25;2;21.5;12.5;5;29.3868870735;1;17.625;12.5;7;25.0;
26;2;21.5;12.5;5;29.6331281662;1;17.625;12.5;7;25.0;
27;2;21.5;12.5;5;29.8817820549;1;17.625;12.5;7;25.0;
28;2;21.5;12.5;5;30.1316423416;1;17.625;12.5;7;25.0;
29;3;21.5;12.5;5;30.3814692497;1;17.625;12.5;7;25.0;
30;3;21.5;12.5;6;30.6300139427;1;17.625;12.5;7;25.0;
31;3;21.5;12.5;6;30.8760447502;1;17.625;12.5;7;25.0;
32;3;21.5;12.5;6;31.1183700562;1;17.625;12.5;7;25.0;
33;3;21.5;12.5;6;31.3558626175;2;18.625;13.0;6;26.0;
34;3;21.5;12.5;6;31.5874791145;2;19.625;13.0;5;26.0499999523;
35;3;21.5;12.5;6;31.8122782707;2;19.625;12.5;5;26.1019749641;
36;3;21.5;12.5;6;32.0294346809;2;19.625;12.5;5;26.1559499502;
37;3;21.5;12.5;6;32.2382488251;2;19.625;12.5;4;26.2119446993;
38;3;21.5;12.5;6;33.4381513596;3;19.625;12.5;3;26.269973278;
39;3;22.5;12.5;6;33.6587054729;3;19.625;12.5;5;26.3300433159;
40;3;23.5;12.5;6;33.8701956272;3;19.625;12.5;5;26.3921557665;
41;3;23.5;12.5;7;34.0724318027;3;19.625;12.5;5;26.4563041925;
42;3;23.5;12.5;8;34.2653391361;3;19.625;12.5;6;26.5224741697;
43;3;23.5;15.5;8;34.4489468336;3;19.625;12.5;6;26.5906432867;
44;3;23.5;18.5;8;34.6233745813;3;19.625;12.5;6;26.6607804298;
45;3;23.5;21.5;9;34.7888231277;3;19.625;12.5;6;26.7328453064;
46;3;23.5;24.5;10;34.9455587864;3;19.625;12.5;6;26.8067884445;
47;3;23.5;27.5;10;35.0939018726;3;19.625;12.5;5;26.8825509548;
48;3;23.5;27.5;11;35.2342133522;3;19.625;12.5;4;26.9600640535;
49;3;23.5;27.5;11;35.3609591722;3;19.625;12.5;4;27.0392494202;
50;3;23.5;27.5;12;35.3968753815;3;19.625;14.5;5;27.120018959;
51;3;23.5;27.5;12;35.4332377911;3;19.625;16.5;5;27.2022752762;
52;3;23.5;27.5;12;35.4700255394;3;19.625;18.5;5;27.2859115601;
53;3;23.5;27.5;13;35.5072168112;3;19.625;20.5;5;27.3708124161;
54;4;23.5;27.5;12;35.5447884798;3;19.625;22.5;5;27.4568536282;
55;4;23.5;27.5;12;35.5827163458;3;19.625;22.5;6;27.5439035892;
56;4;23.5;27.5;12;35.6209751368;3;19.625;22.5;6;27.6318233013;
57;4;23.5;27.5;12;35.6595385075;3;19.625;22.5;7;27.7204678059;
58;4;23.5;27.5;12;35.6983793974;3;19.625;22.5;7;27.8096864223;
59;4;23.5;27.5;12;35.7374696732;3;19.625;22.5;7;27.8993241787;
60;4;23.5;27.5;12;36.7767804861;3;20.2773475647;22.5;7;27.989222765;
61;4;24.5;28.5;13;36.8562822342;3;20.2975749969;22.5;8;28.079221487;
62;4;25.5;29.5;13;36.9371286631;3;20.3178253174;22.5;10;28.1691586971;
63;4;25.5;30.5;14;37.0192908049;3;20.338060379;22.5;10;28.258872509;
64;4;25.5;31.5;14;37.1027359962;3;20.3582458496;22.5;10;28.348202467;
65;4;25.5;32.5;14;37.1874285936;3;20.3783454895;22.5;11;28.4369900227;
66;4;25.5;32.5;15;37.2733290195;4;20.3983230591;22.5;8;43.5250804424;
67;4;25.5;32.5;15;37.3603947163;4;21.4181423187;23.5;8;44.3623232841;
