Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;4;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;4;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;9.66343975067;10.8632001877;5;21.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;9.72283363342;10.9951858521;5;23.0819120407;
12;1;11.6125736237;11.0209560394;5;22.9143505096;2;9.95943069458;11.5409564972;4;23.99553442;
13;1;13.2971115112;11.4571752548;5;23.6214065552;2;11.7228336334;11.9977674484;4;24.7449600697;
14;1;14.2971115112;11.8107032776;5;24.1832637787;2;13.7228336334;12.3724803925;4;25.3503712416;
15;1;15.2971115112;12.0916318893;5;24.6226100922;2;15.7228336334;12.6751852036;4;25.8344515562;
16;1;16.2971115112;12.3113050461;5;24.9617595673;2;16.7228336334;12.9172258377;4;26.2195074558;
17;1;17.2971115112;12.4808797836;5;25.0;2;17.7228336334;13.1097536087;4;26.3048160076;
18;1;18.2971115112;12.5;5;25.0;2;18.7228336334;13.1524076462;5;26.3530313969;
19;1;19.2971115112;12.5;6;25.0;2;19.625;13.1765155792;5;26.4023760557;
20;1;19.5;12.5;7;25.0;2;19.625;13.2011880875;5;26.4528282881;
