Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;2;9.0;10.1999998093;4;21.0;1;8.0;11.0;5;20.0;
5;2;9.19999980927;10.0;4;21.0900000334;1;8.0;10.0;5;20.0;
6;2;10.3269996643;10.0;4;21.1871190071;2;9.0;10.3000001907;4;21.0;
7;2;11.3561353683;10.0;4;21.2917383909;2;9.72500038147;10.0;4;21.0900000334;
8;2;11.3875217438;10.0;4;21.817143321;2;9.74524974823;10.0;4;21.5980186462;
9;2;11.5451431274;10.1999998093;4;22.2793469429;2;9.85955429077;10.1999998093;4;22.0418490171;
10;2;11.683804512;10.3632001877;4;22.6900259256;2;9.95941543579;10.3632001877;4;22.4332156181;
11;2;11.8070077896;10.4951858521;4;23.9506295919;2;10.0474739075;10.4951858521;4;23.6659361124;
12;2;12.1851892471;11.0209560394;4;25.0538563728;2;10.3248357773;11.0209560394;3;24.7393633127;
13;2;14.1851892471;11.4571752548;5;26.0146684647;2;12.1334619522;11.4571752548;3;25.6686143875;
14;2;16.1851882935;11.8107032776;5;26.8543052673;2;14.1334609985;11.8107032776;3;26.4751701355;
15;2;17.4138870239;12.0916318893;5;27.5962526798;2;15.7228336334;12.7792034149;3;27.1828548908;
16;2;18.5046653748;12.3113050461;5;28.2632865906;2;16.7228336334;13.0793781281;3;27.8148901463;
17;2;19.6030311584;12.4808797836;5;28.6547400951;2;18.3647880554;12.4808797836;3;28.1711652279;
18;2;20.7089958191;12.5;5;29.0328326225;2;18.7228336334;13.4513492584;4;28.5145654678;
19;2;21.8224239349;12.5;5;29.4347915649;2;19.625;13.5543699265;4;28.8830828667;
