Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;6.0;12.1999998093;3;21.0;1;9.0;10.0;4;20.0;
2;2;7.19999980927;11.0;3;21.0599999428;1;9.0;10.0;5;20.0;
3;2;8.21199989319;10.0;3;21.1229639053;1;9.0;10.0;4;20.0;
4;2;9.22459316254;10.0;3;21.1889609098;1;9.0;10.0;4;20.0;
5;2;9.23779201508;10.0;3;21.2580518723;1;10.0;10.0;3;20.0;
6;2;10.377415657;10.0;3;21.3302885294;1;11.0;10.0;3;20.0;
7;2;11.3990869522;10.0;3;21.4057120085;1;11.0;10.0;3;20.3999996185;
8;2;11.421713829;10.0;3;21.8984082937;1;11.1199998856;10.1999998093;3;20.7264003754;
9;2;11.5695228577;10.1999998093;3;22.3222295046;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;11.6966686249;10.3632001877;3;22.688400507;1;11.2971115112;10.4951858521;3;22.0419120789;
11;2;11.806520462;10.4951858521;3;23.8809107542;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;12.164273262;11.0209560394;3;24.9034298658;1;11.8743057251;11.4571752548;3;23.6214065552;
13;2;14.8488111496;11.4571752548;3;25.7698295116;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;16.8488121033;11.8107032776;3;26.500371933;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;17.9922447205;12.0916318893;3;27.1177392006;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;19.0456504822;12.3113050461;4;27.6441450119;1;16.6125736237;12.4808797836;4;25.0;
17;3;20.1018276215;12.4808797836;3;27.878672123;1;17.6125736237;12.5;4;25.0;
18;3;21.1607131958;12.5;3;28.0836718082;1;18.6125736237;12.5;4;25.0;
19;3;22.2222137451;12.5;3;28.2969486713;1;19.5;12.5;5;25.0;
20;3;22.4890842438;12.5;4;28.5179448128;1;19.5;12.5;6;25.0;
21;3;22.5553836823;12.5;4;28.7459800243;1;19.5;12.5;7;25.0;
22;3;22.6237945557;12.5;5;28.9802544117;1;19.5;12.5;7;25.0;
23;3;22.6940765381;12.5;5;29.2198557854;1;19.5;12.5;7;25.0;
24;3;22.7659568787;12.5;5;29.4637694359;1;19.5;12.5;8;25.0;
25;3;22.8391304016;12.5;5;29.7108941078;1;19.5;12.5;8;25.0;
26;3;21.5;13.5;5;29.9600582123;1;19.5;12.5;8;25.0;
27;3;20.5;13.5;5;30.2100424767;1;19.5;12.5;8;25.0;
28;3;20.5;13.5;5;30.4596014023;1;19.5;12.5;7;25.0;
29;3;21.5;14.5;5;30.7074890137;1;19.5;12.5;7;25.0;
30;3;20.5;13.5;5;30.952483654;1;19.5;12.5;6;25.0;
31;3;20.2857456207;14.5;5;31.1934113503;1;19.5;12.5;6;25.0;
32;3;19.3580226898;15.5;5;31.429169178;2;20.5;12.5;5;26.0;
33;3;18.4287509918;16.5;5;31.6587438583;2;21.5;12.5;5;26.0499999523;
34;3;17.4976234436;17.5;5;31.8812294006;2;21.5;12.5;4;27.3519749641;
35;3;16.5643692017;18.5;6;32.0958390236;2;19.5;13.5;5;28.3903249502;
