Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;9.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;10.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.0;1;11.0;10.0;5;20.3999996185;
8;1;11.0;10.0;5;20.3999996185;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;11.1199998856;10.1999998093;5;20.7264003754;1;11.2179203033;10.3632001877;5;20.9903717041;
10;1;11.2179203033;10.3632001877;5;20.9903717041;1;11.2971115112;10.4951858521;5;22.0419120789;
11;1;11.2971115112;10.4951858521;5;22.0419120789;1;11.6125736237;11.0209560394;5;22.9143505096;
12;1;11.6125736237;11.0209560394;6;22.9143505096;1;11.8743057251;11.4571752548;5;23.6214065552;
13;1;13.2971115112;11.4571752548;6;23.6214065552;1;13.6125736237;11.8107032776;6;24.1832637787;
14;1;14.2971115112;11.8107032776;6;24.1832637787;1;14.6125736237;12.0916318893;6;24.6226100922;
15;2;16.2971115112;12.4916315079;5;25.6226100922;1;15.6125736237;12.3113050461;6;24.9617595673;
16;2;18.2971115112;12.7113046646;5;25.9617595673;1;16.6125736237;12.4808797836;6;25.0;
17;2;19.5971107483;12.4808797836;5;26.0;1;17.6125736237;12.5;6;25.0;
18;2;20.5971107483;12.5;5;26.0;1;18.6125736237;12.5;6;25.0;
19;2;21.5971107483;12.5;6;26.0;1;19.5;12.5;7;25.0;
20;2;21.7999992371;12.5;5;26.0;1;19.5;12.5;7;25.0;
21;2;21.7999992371;12.5;5;26.0;1;19.5;12.5;7;25.0;
22;2;21.7999992371;12.5;6;26.0;1;19.5;12.5;7;25.0;
23;2;21.7999992371;12.5;6;26.0;1;19.5;12.5;7;25.0;
24;2;21.7999992371;12.5;6;26.0;2;19.5;12.5;6;25.0;
25;2;21.5;13.0;6;26.0;2;19.5;12.5;7;25.0;
26;2;21.5;13.0;7;26.0;2;19.5;12.5;7;25.0;
27;2;21.5;13.0;7;26.0;2;19.5;12.5;6;25.0;
28;2;19.7999992371;13.5;7;26.0;2;19.5;12.5;6;25.0;
29;2;18.7999992371;14.5;7;26.0;2;19.5;12.5;6;25.0;
30;2;17.7999992371;15.5;7;26.0;2;19.5;12.5;6;25.0;
31;2;16.7999992371;16.5;7;26.0;2;19.5;12.5;6;25.0;
32;2;15.8000001907;17.5;7;26.0;2;19.5;12.5;6;25.0;
33;2;14.8000001907;18.5;7;26.0;2;19.5;12.5;6;25.0;
34;2;14.3000001907;19.5;7;26.0;2;19.5;12.5;6;25.0;
35;2;14.3000001907;20.5;8;26.0;2;19.5;12.5;6;25.0;
36;2;14.3000001907;21.5;8;26.0;2;19.5;12.5;7;25.0;
37;2;14.3000001907;22.5;8;26.0;2;19.5;12.5;7;25.0;
38;2;14.3000001907;23.5;8;26.0;2;19.5;12.5;7;25.0;
39;2;14.3000001907;24.5;9;26.0;2;19.5;12.5;7;25.0;
40;2;15.3000001907;22.5;9;26.0;2;19.5;12.5;8;25.0;
41;2;14.3000001907;23.5;10;26.0;2;19.5;12.5;8;25.0;
42;2;14.3000001907;24.5;10;26.0;2;19.5;12.5;9;25.0;
43;2;15.3000001907;22.5;11;26.0;2;19.5;12.5;9;25.0;
44;2;14.3000001907;23.5;11;26.0;2;19.5;12.5;9;25.0;
