Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;9.0;10.0;4;20.0;1;10.0;10.0;4;20.0;
6;1;10.0;10.0;4;20.0;2;11.3000001907;10.0;3;21.0;
7;1;11.0;10.0;4;20.0;2;11.3000001907;10.0;3;21.3999996185;
8;1;11.0;10.0;4;20.3999996185;2;11.4200000763;10.1999998093;3;21.7264003754;
9;1;11.1199998856;10.1999998093;4;20.7264003754;2;11.5179204941;10.3632001877;3;21.9903717041;
10;1;11.2179203033;10.3632001877;4;20.9903717041;2;11.597111702;10.4951858521;3;23.0719120502;
11;1;11.2971115112;10.4951858521;4;22.0419120789;2;11.9215736389;11.0209560394;3;23.9749414921;
12;1;11.6125736237;11.0209560394;5;22.9143505096;2;13.9215736389;11.4571752548;3;24.7131726742;
13;1;13.2971115112;11.4571752548;5;23.6214065552;2;15.9215736389;11.8107032776;4;25.3067810535;
14;2;15.2971115112;12.0107030869;4;25.1832637787;2;16.94962883;12.0916318893;3;25.7784451246;
15;2;17.2971115112;12.0916318893;4;25.7126101255;2;17.9593238831;12.3113050461;3;26.1504684687;
16;2;18.6241111755;12.3113050461;4;26.1488785744;2;18.6125736237;12.4808797836;3;26.2221269608;
17;2;19.6532478333;12.4808797836;4;26.2917383909;2;19.6125736237;12.5;3;26.2560760975;
18;2;20.684633255;12.5;4;26.4042263031;2;20.989397049;12.5;3;26.2905418873;
19;2;21.7183799744;12.5;4;26.5249304771;2;21.8871631622;12.5;4;26.3255085945;
20;2;21.9574794769;12.5;4;26.6541694403;2;21.8976516724;12.5;5;26.3609591722;
21;2;21.9962501526;12.5;6;26.7922235727;2;21.9082870483;12.5;5;26.3968753815;
22;2;21.5;13.0376672745;6;26.9393253326;2;21.9190635681;12.5;5;26.4332377911;
23;2;22.0817985535;12.5;6;27.0956480503;2;21.5;12.9299716949;5;26.4700255394;
24;2;22.1286945343;12.5;7;27.261295557;2;21.5;12.9410076141;5;26.5072168112;
25;2;19.5;14.1783885956;7;27.4362905025;2;21.9521656036;12.5;5;26.5447884798;
26;2;18.5;15.230887413;7;27.6205644608;2;21.9634361267;12.5;6;26.5827163458;
27;2;17.5;16.2861690521;7;27.8139474392;2;21.5;13.2913579941;6;26.6209751368;
28;2;16.5;17.9069728851;7;28.016159296;2;21.9862918854;12.5;7;26.6595385075;
29;2;15.5;19.0080795288;7;28.2268030643;2;21.9978618622;12.5;7;26.6983793974;
30;2;14.5;20.113401413;7;28.445360899;2;20.009513855;13.5;7;26.7374696732;
31;2;14.0;21.2226810455;8;28.6711919308;2;19.0212402344;14.5;7;26.7767804861;
32;2;14.0;22.3355960846;8;28.9035346508;2;18.033033371;15.5;7;26.8162822723;
33;2;14.0;23.4517669678;8;29.141512394;2;17.044883728;16.5;7;26.8559447527;
34;2;14.0;24.5707569122;8;29.3841423988;2;16.0567836761;17.5;7;26.8957372904;
35;2;14.0;25.6920719147;8;29.6303496361;2;15.0687217712;18.5;7;26.9356285334;
36;2;14.0;26.8151741028;8;29.8789830208;2;14.5806884766;19.5;8;26.9755871296;
37;2;15.0;24.939491272;7;30.1288366318;2;14.5926761627;20.5;8;27.015581131;
38;2;15.0;23.939491272;7;30.3786706924;2;14.6046743393;21.5;8;27.0555787086;
