Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;6;20.0;2;8.0;11.3000001907;5;21.0;
5;1;9.0;10.0;6;20.0;2;8.14999961853;10.0;5;21.0900000334;
6;1;10.0;10.0;6;20.0;2;9.24524974823;10.0;5;21.1871190071;
7;1;11.0;10.0;6;20.0;2;9.76710128784;10.0;5;21.2917383909;
8;1;11.0;10.0;6;20.3999996185;2;9.79064083099;10.0;5;21.817143321;
9;1;11.1199998856;10.1999998093;6;20.7264003754;2;9.90885734558;10.1999998093;5;22.2793469429;
10;1;11.2179203033;10.3632001877;6;20.9903717041;2;10.0128526688;10.3632001877;5;22.6900259256;
11;1;11.2971115112;10.4951858521;6;22.0419120789;2;10.1052560806;10.4951858521;5;23.9506295919;
12;1;11.6125736237;11.0209560394;6;22.9143505096;2;10.3888921738;11.0209560394;5;25.0538563728;
13;2;13.6125736237;11.6571750641;5;24.6214065552;2;12.2042226791;11.4571752548;4;26.0146684647;
14;2;15.6125736237;11.8107032776;5;25.2032637596;2;14.2042226791;11.8107032776;4;26.8543052673;
15;2;16.5609798431;12.0916318893;5;25.6628060341;2;16.2042217255;12.0916318893;4;27.5962526798;
16;2;16.6988430023;12.3113050461;5;26.0223413706;2;17.3919029236;12.3113050461;4;28.2632865906;
17;2;16.8067016602;12.4808797836;4;26.0811508894;2;18.4656772614;12.4808797836;4;28.6547400951;
18;2;16.824344635;12.5;4;26.1018965244;2;19.5451507568;12.5;5;29.0328326225;
19;2;18.8190956116;12.5;5;26.1228116751;2;19.625;13.5;5;29.4347915649;
