Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;9.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;10.0;10.0;4;20.0;1;9.14999961853;10.5;5;21.0;
7;1;11.0;10.0;4;20.0;1;9.72500038147;10.5;5;21.0;
8;1;11.0;10.0;4;20.3999996185;1;9.72500038147;10.5;5;21.4200000763;
9;1;11.1199998856;10.1999998093;4;20.7264003754;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.8956489563;10.8792181015;5;22.0;
11;1;11.2971115112;10.4951858521;4;22.0419120789;1;9.94999980927;11.0;5;23.5400009155;
12;1;11.6125736237;11.0209560394;5;22.9143505096;2;10.296500206;11.970000267;5;25.8252849579;
13;1;13.2971115112;11.4571752548;5;23.6214065552;2;12.1750001907;12.4126424789;5;27.021669507;
14;1;14.2971115112;11.8107032776;5;24.1832637787;2;14.1750001907;12.9308347702;5;28.0170379877;
15;2;16.2971115112;12.2916316986;4;25.6226100922;2;16.1749992371;13.3366470337;5;28.8480272293;
16;2;18.2971115112;12.3113050461;4;26.0917595625;2;17.2996768951;13.6469516754;5;29.5537353754;
17;2;19.6361122131;12.4808797836;4;26.2754310369;2;18.3536891937;13.879781723;5;30.0669906139;
18;2;20.6797409058;12.5;4;26.4377241135;2;19.4150733948;14.0;5;30.375654459;
19;2;21.728427887;12.5;5;26.6183350086;2;20.4845237732;14.0;5;30.7230784893;
20;2;21.9855003357;12.5;5;26.8187118769;2;20.9126911163;14.0;5;31.1118502617;
21;2;22.0456142426;12.5;5;27.0402543545;2;21.0001659393;14.0;5;31.544028759;
22;2;22.1120758057;12.5;5;27.2842636108;2;21.0974063873;14.0;5;32.0209121704;
23;2;22.1852798462;12.5;5;27.5518820286;2;21.2047042847;14.0;6;32.5427899361;
24;2;22.2655639648;12.5;6;27.8440244198;2;20.2999992371;15.0;6;33.1086950302;
25;3;22.3532066345;12.5;5;28.1613030434;2;21.2999992371;14.0;6;33.7161855698;
26;3;22.4483909607;12.5;5;28.5039470196;2;21.5861415863;14.0;6;34.3611893654;
27;3;22.5511837006;12.5;5;28.871723175;2;21.7312660217;14.0;6;35.0379443169;
28;3;21.5;13.5;5;29.263862133;2;21.8835372925;14.0;6;35.7390680313;
29;3;21.5;14.5;5;29.6789975166;2;22.0412902832;14.0;6;36.4557781219;
30;3;22.5;12.5;5;30.1151270866;2;22.2025489807;14.0;7;37.1782588959;
31;3;21.034538269;13.5;5;30.5695996284;2;22.36510849;14.0;7;37.8961582184;
32;3;20.170879364;14.5;5;31.0391392708;3;23.5266342163;14.5;6;39.5991659164;
33;3;19.3117408752;15.5;5;31.5199065208;3;22.6848106384;15.0;6;40.4376012087;
34;3;18.4559726715;16.5;5;32.007601738;3;22.0984592438;16.0;6;41.266694665;
35;3;17.6022796631;17.5;5;32.4976010323;3;21.2850055695;17.0;6;42.082408905;
36;3;16.7492790222;18.5;6;32.9851250648;3;20.4685401917;18.0;6;42.8826862574;
37;3;16.3955383301;19.5;6;33.465420723;3;19.6486034393;19.0;6;43.6674602032;
38;3;16.5396270752;20.5;7;33.9339466095;3;19.5251789093;20.0;7;44.4384758472;
39;3;15.5396261215;19.5;7;34.3865451813;3;19.6986579895;21.0;7;45.1989505291;
40;3;15.5396261215;19.5;7;34.8195896149;3;19.8697624207;22.0;7;45.9531121254;
41;3;16.5396270752;20.5;7;35.2300891876;3;20.0394496918;23.0;7;46.7056746483;
42;3;17.069026947;21.5;8;36.6157541275;3;20.208776474;24.0;8;47.4612827301;
43;3;18.1847267151;23.0;8;37.1450175047;3;20.3787879944;25.0;8;48.2239727974;
44;3;19.2925052643;23.5;8;37.6739206314;3;20.5503940582;26.0;8;48.9966840744;
45;3;19.8021774292;24.5;9;38.2057769299;3;20.7242546082;29.0;8;49.7161855698;
46;3;20.4834518433;24.5;9;38.7446686029;3;21.8861427307;29.0;8;50.3611893654;
47;3;21.5666542053;25.5;9;39.2952675819;3;23.0312690735;30.0;9;51.0379443169;
48;3;22.6419525146;26.5;9;39.8626067638;3;22.6000003815;31.0;9;51.7390680313;
49;3;23.7096977234;27.5;9;40.4518067837;3;24.6000003815;32.0;9;52.4557781219;
50;3;24.7703266144;28.5;9;41.0677597523;3;26.5025501251;31.0;10;53.1782588959;
51;3;25.8243274689;28.5;9;41.7147686481;3;27.6651077271;30.0;10;53.8961582184;
52;3;27.8722171783;27.5;10;42.3477458954;3;28.1266365051;29.0;10;54.5991659164;
53;3;28.7043228149;27.5;10;42.9413113594;4;29.2848129272;30.0;10;56.2776012421;
54;3;28.8823928833;27.5;11;43.586581707;5;30.4374599457;31.0;9;57.0829507113;
55;3;27.3999996185;28.5;11;44.2800674438;5;30.5826644897;32.0;9;57.8720289469;
56;3;28.3999996185;27.5;12;45.0160870552;5;28.5826644897;34.0;10;58.6426382065;
57;3;29.3999996185;27.5;12;45.7867279053;5;29.5826644897;34.0;10;59.3946415186;
58;3;29.7360191345;27.5;12;46.5820074081;5;30.5826644897;34.8970870972;10;60.1298120022;
59;3;27.7360191345;28.5;13;47.3902606964;5;31.0641345978;35.0334968567;11;60.8515264988;
60;3;28.7360191345;27.5;13;48.1987380981;5;31.6915931702;34.0;12;61.564340353;
61;4;30.7360191345;28.5;12;49.9943685532;5;29.1570701599;35.0;12;62.273496151;
62;4;29.7360191345;30.5;13;50.7845931053;5;28.1570701599;35.5559234619;15;62.9843993187;
63;4;28.7360191345;31.5;13;51.5383591652;5;27.8999996185;35.7720146179;15;63.7020950317;
64;4;28.7360191345;33.5;13;52.2463737726;5;26.8047046661;35.0;15;65.4307789803;
65;4;28.8360176086;35.5;14;52.9017342329;5;26.92212677;37.0;15;66.1486949921;
66;4;29.6461753845;36.5;12;53.5000994205;5;27.0494556427;39.0;16;67.2981690168;
67;4;29.8194618225;37.5;12;54.0396083593;6;26.2941398621;41.0;12;98.6077878475;
68;4;29.9750385284;38.5;11;54.5206007957;6;23.0079994202;46.0;14;104.402593136;
69;4;28.9750385284;37.5;13;56.7965095043;7;22.0;49.0;13;109.25422442;
70;5;28.9750385284;36.5;12;58.7202327251;7;23.0;53.0;14;112.926813126;
71;5;25.9750385284;38.3899993896;12;60.3249951601;7;24.0;57.0;14;115.778003812;
72;5;25.9750385284;40.6872596741;10;61.6507712603;7;25.0;60.9621429443;16;117.883276343;
73;6;25.9750385284;37.6872596741;10;62.5907132626;7;26.0;63.4124908447;16;119.33299005;
74;6;26.9750385284;37.6872596741;11;63.2394350767;7;27.0;65.85496521;18;120.273923635;
75;6;27.9750385284;37.6872596741;11;63.7894916534;7;28.0;68.2817993164;18;121.17303884;
76;6;25.9750385284;38.6872596741;10;64.1424461603;7;29.0;70.6861190796;19;122.019223928;
77;6;23.9750385284;39.6872596741;10;64.3395489454;8;30.0;74.0096130371;18;122.804558396;
78;6;21.9750385284;40.6872596741;11;64.3617914915;8;31.0;77.6816940308;18;123.524469376;
79;6;22.0;42.6872596741;11;65.3841004372;8;32.0;79.7315673828;18;124.177539825;
80;5;23.5;45.6872596741;11;65.4464660883;9;33.0;83.7315673828;25;124.765047789;
81;4;22.5;43.6872596741;13;64.0811839104;10;34.0;86.7315673828;17;126.696825385;
82;4;22.5;46.6872596741;14;64.1235535145;10;36.0;90.9315643311;19;127.187156796;
83;4;22.5;49.6872596741;15;64.1671074629;10;39.0;92.9315643311;20;128.625772953;
84;4;22.5;52.6872596741;15;64.211841464;10;41.0;95.9315567017;20;129.058627725;
85;4;22.5;54.6872596741;15;64.2577478886;10;42.0;101.931556702;21;129.439666152;
86;4;22.5;56.6872596741;16;64.3048160076;12;43.0;107.931564331;19;129.622967482;
87;4;22.5;53.6872596741;16;64.3530313969;12;45.0;109.245445251;20;129.808820367;
88;4;21.5;54.6872596741;16;64.4023760557;12;46.0;110.44543457;21;129.996940613;
