Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;2;7.0;11.1999998093;4;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;2;8.19999980927;10.0;3;21.0900000334;
4;1;7.55000019073;10.3000001907;5;17.0;2;9.21800041199;10.0;3;21.1871190071;
5;1;7.55000019073;9.30000019073;5;17.0;2;9.23742389679;10.0;2;21.2917383909;
6;1;8.55000019073;8.5;4;17.0;2;10.3875217438;10.0;1;21.4042263031;
7;1;8.82499980927;8.5;4;17.0;2;11.4212675095;10.0;1;21.5249304771;
8;1;8.82499980927;8.5;4;17.0;2;11.4574794769;10.0;1;22.0694183111;
9;1;8.82499980927;8.5;4;17.3400001526;2;11.6208257675;10.1999998093;1;22.5515855551;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;11.7654762268;10.3632001877;1;22.983014226;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;11.8949041367;10.4951858521;1;24.2738182545;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;12.2821455002;11.0209560394;1;25.4089095592;
13;1;9.22696018219;9.39324569702;5;19.5780620575;2;14.2821455002;11.4571752548;2;26.4029755592;
14;1;11.0206890106;9.78903102875;5;20.2480106354;2;16.2821464539;11.8107032776;2;27.276881218;
15;1;12.0206890106;10.1240053177;5;20.8052330017;2;17.5406589508;12.0916318893;2;28.0536293983;
16;1;13.0206890106;10.4026165009;5;21.2618598938;2;18.6418800354;12.3113050461;2;28.755402565;
17;1;14.0206890106;10.6309299469;5;21.6314201355;2;18.6125736237;12.4808797836;2;29.1808357239;
18;1;15.0206890106;10.8157100677;5;21.9274635315;2;19.6125736237;12.5;2;29.5913586617;
19;1;16.0206890106;10.9637317657;5;22.0;2;20.6125736237;12.5;2;30.0233430862;
20;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;3;30.4742712975;
21;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;3;30.9409928322;
22;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;3;31.4197778702;
23;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;3;31.906411171;
24;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;3;32.3963236809;
25;1;16.9500007629;11.0;6;22.0;2;21.5;12.5;4;32.8847527504;
26;1;16.9500007629;11.0;7;22.0;3;21.5;12.5;3;33.3669252396;
27;2;16.9500007629;11.0;7;22.0;3;21.5;12.5;3;33.8382406235;
28;2;16.9500007629;11.0;7;22.0;3;21.5;12.5;3;34.2944498062;
29;2;16.9500007629;11.0;7;22.0;3;21.5;12.5;3;34.7318048477;
30;2;16.9500007629;11.0;7;22.0;3;19.5;13.5;3;35.1471776962;
31;2;14.9500007629;12.0;7;22.0;3;18.5;14.5;3;35.5381307602;
32;2;13.9500007629;13.0;7;22.0;3;17.5;15.5;3;35.9029474258;
33;2;12.9500007629;14.0;7;22.0;3;16.5;16.5;3;36.2406177521;
34;2;12.0;15.0;7;22.0;3;15.5;17.5;4;36.5507898331;
35;2;12.0;16.0;7;22.0;3;14.5;18.5;4;36.8336925507;
36;2;12.0;17.0;7;22.0;3;14.0;19.5;4;37.0900468826;
37;2;12.0;18.0;8;22.0;3;14.0;20.5;4;37.3209609985;
38;2;12.0;19.0;9;22.0;3;14.0;21.5;4;37.5278348923;
39;2;12.0;20.0;9;22.0;3;14.0;22.5;4;37.7122650146;
40;2;12.0;21.0;10;22.0;3;14.0;23.5;4;37.8759651184;
41;2;12.0;22.0;10;22.0;3;14.0;24.5;5;38.0;
42;2;12.0;23.0;10;22.0;3;15.0;22.5;6;38.0;
43;2;12.0;24.0;10;22.0;3;14.0;23.5;6;38.0;
44;3;12.0;25.0;8;30.5;3;14.0;24.5;6;38.0;
45;3;13.0;26.0;9;30.8400001526;3;15.0;22.5;7;38.0;
46;3;14.0;27.0;11;31.1635437012;3;14.0;23.5;7;38.0;
47;3;15.0;28.0;11;31.4692811966;4;15.0;25.0;6;39.0;
48;3;16.0;29.0;11;31.7562685013;4;17.0;25.0;6;39.1299999952;
49;3;17.0;30.0;11;32.0239543915;4;18.0;26.0;6;39.2754310369;
50;3;19.0;28.0;10;32.272151947;4;19.3826293945;27.0;7;39.4377241135;
51;3;18.6224689484;29.0;10;32.5009994507;4;20.4313163757;28.0;7;39.6183350086;
52;3;18.7254486084;30.0;11;32.7109146118;4;21.4855003357;28.5;8;39.8187118769;
53;3;19.8199119568;28.0;12;32.9025421143;4;22.0;28.4093551636;8;40.0402543545;
54;3;18.9061431885;29.0;12;33.0767059326;4;23.0;28.5201263428;8;40.2842636108;
55;3;18.9845180511;30.0;12;33.2343597412;4;24.1852798462;27.5;8;40.5518820286;
56;4;20.0554618835;29.0;11;46.1265459061;4;24.2655639648;27.5;9;40.8440244198;
57;4;22.1194458008;30.0;11;46.8874998093;4;23.5;28.5;9;41.1613030434;
58;4;24.1749992371;31.0;11;47.4715299606;4;24.4483909607;27.5;9;41.5039470196;
59;4;26.1749992371;32.0;12;47.9994401932;4;24.5511837006;27.5;9;41.871723175;
60;4;28.125;33.0;14;48.4707527161;4;23.5;28.5;9;42.263862133;
61;4;29.125;33.0;13;48.8868265152;4;23.5;29.5;10;42.6789975166;
62;4;30.125;32.0;13;49.2504434586;4;22.5;28.5;12;43.1151270866;
63;4;31.125;31.0;14;49.5653820038;4;24.034538269;28.5;12;43.5695996284;
64;5;30.125;32.0;13;49.8360214233;4;25.170879364;29.5;12;44.0391392708;
65;6;30.125;33.0;12;50.0670089722;4;25.3117408752;30.5;12;44.5199065208;
66;6;29.5801544189;34.0;12;50.25;4;23.5;32.5;14;45.007601738;
67;6;28.7125015259;35.0;12;51.25;4;23.5;34.5;14;45.4976010323;
68;6;30.7125015259;34.0;12;51.25;4;23.5;36.5;14;45.9851250648;
69;6;32.7125015259;34.0;13;51.25;4;25.5;32.5;15;46.465420723;
