Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;4;17.0;1;8.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;3;17.0;1;9.0;10.0;6;20.0;
5;1;7.55000019073;9.30000019073;3;17.0;1;9.0;10.0;6;20.0;
6;1;8.55000019073;8.5;3;17.0;1;10.0;10.0;6;20.0;
7;1;8.82499980927;8.5;3;17.0;1;11.0;10.0;6;20.0;
8;1;8.82499980927;8.5;3;17.0;1;11.0;10.0;5;20.3999996185;
9;1;8.82499980927;8.5;3;17.3400001526;1;11.1199998856;10.1999998093;5;20.7264003754;
10;1;8.9015007019;8.67000007629;3;17.6278438568;1;11.2179203033;10.3632001877;5;20.9903717041;
11;1;8.96626472473;8.81392192841;3;17.869726181;1;11.2971115112;10.4951858521;4;22.0419120789;
12;1;9.02068901062;8.93486309052;3;18.786491394;1;11.6125736237;11.0209560394;4;22.9143505096;
13;1;9.22696018219;9.39324569702;4;19.5780620575;1;12.6125736237;11.4571752548;3;23.6214065552;
14;1;11.0206890106;9.78903102875;4;20.2480106354;1;13.6125736237;11.8107032776;3;24.1832637787;
15;1;12.0206890106;10.1240053177;4;20.8052330017;1;14.2549791336;12.0916318893;3;24.6226100922;
16;1;13.0206890106;10.4026165009;4;21.2618598938;1;14.3867835999;12.3113050461;3;24.9617595673;
17;1;14.0206890106;10.6309299469;4;21.6314201355;1;14.488527298;12.4808797836;3;25.0;
18;1;15.0206890106;10.8157100677;4;21.9274635315;1;16.3867835999;12.5;3;25.0;
19;1;16.0206890106;10.9637317657;4;22.0;1;17.3867835999;12.5;4;25.0;
20;1;16.9500007629;11.0;5;22.0;1;18.3867835999;12.5;5;25.0;
21;1;16.9500007629;11.0;5;22.0;1;19.3867835999;12.5;6;25.0;
22;1;16.9500007629;11.0;5;22.0;1;19.5;12.5;6;25.0;
23;1;16.9500007629;11.0;5;22.0;1;19.5;12.5;6;25.0;
24;1;16.9500007629;11.0;5;22.0;1;19.5;12.5;6;25.0;
25;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;6;25.0;
26;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;6;25.0;
27;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;7;25.0;
28;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;7;25.0;
29;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;7;25.0;
30;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;8;25.0;
31;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;8;25.0;
32;1;16.9500007629;11.0;6;22.0;1;19.5;12.5;8;25.0;
33;1;14.9500007629;12.0;6;22.0;1;19.5;12.5;8;25.0;
34;1;13.9500007629;13.0;6;22.0;1;19.5;12.5;8;25.0;
35;1;12.9500007629;14.0;7;22.0;1;19.5;12.5;8;25.0;
36;1;12.0;15.0;8;22.0;1;19.5;12.5;8;25.0;
37;1;12.0;16.0;8;22.0;1;19.5;12.5;8;25.0;
38;1;12.0;17.0;9;22.0;2;20.5;13.0;7;26.0;
39;1;12.0;18.0;9;22.0;2;21.5;13.0;7;26.0299999714;
40;1;12.0;19.0;9;22.0;2;21.8090000153;12.5;7;26.0605909824;
41;1;12.0;20.0;9;22.0;2;21.5;13.030295372;7;26.091766119;
42;1;12.0;21.0;10;22.0;2;21.8275299072;12.5;8;26.1235172749;
43;1;12.0;22.0;10;22.0;2;21.8370552063;12.5;8;26.1558350325;
44;1;12.0;23.0;11;22.0;2;21.5;13.077917099;8;26.1887089014;
45;1;12.0;24.0;11;22.0;2;19.8566131592;13.5;9;26.2221269608;
46;1;12.0;25.0;11;22.0;2;18.8666381836;14.5;9;26.2560760975;
47;1;12.0;26.0;12;22.0;2;19.8768234253;16.5;9;26.2905418873;
48;1;12.0;27.0;12;22.0;2;20.8871631622;18.5;9;26.3255085945;
49;1;12.0;28.0;13;22.0;2;21.8976516724;20.5;9;26.3609591722;
50;1;12.0;29.0;13;22.0;2;21.9082870483;21.5;9;26.3968753815;
51;1;12.0;30.0;13;22.0;2;21.9190635681;22.5;10;26.4332377911;
52;1;13.0;28.0;14;22.0;2;21.5;23.2166194916;10;26.4700255394;
53;1;12.0;29.0;16;22.0;3;21.5;23.1762123108;8;55.2572168112;
54;1;12.0;30.0;16;22.0;3;22.5;23.5;8;57.3072892427;
55;1;13.0;28.0;14;22.0;3;23.5;25.1343536377;8;58.8794959784;
56;1;12.0;29.0;15;22.0;3;24.5;24.9983711243;9;60.0330349207;
57;1;12.0;30.0;16;22.0;3;25.5;24.9044418335;9;60.852752924;
58;1;13.0;28.0;18;22.0;3;26.5;24.8440666199;10;61.4239081144;
59;1;12.0;29.0;19;22.0;3;27.5;24.8087024689;10;61.4874696732;
60;1;12.0;30.0;18;22.0;3;28.5;24.8242359161;10;61.5267804861;
61;1;12.0;31.0;19;22.0;3;29.5;24.8423194885;10;61.5662822723;
62;1;12.0;32.0;20;22.0;3;30.5;24.8604888916;12;61.6059447527;
63;1;12.0;33.0;19;22.0;3;29.5;25.8787345886;12;61.6457372904;
64;1;12.0;34.0;20;22.0;3;29.5;26.8970394135;12;61.6856285334;
65;1;12.0;35.0;19;22.0;3;29.5;27.9153900146;13;61.7255871296;
66;1;13.0;33.0;20;22.0;3;28.9249992371;28.9337692261;14;61.765581131;
67;1;12.0;34.0;19;22.0;3;27.9249992371;29.952167511;14;61.8055787086;
68;3;13.0;36.0;17;23.0;3;26.9249992371;30.9705657959;16;61.8455479145;
69;3;15.0;35.0;18;23.1074999571;4;26.4249992371;31.9889526367;15;61.885456562;
70;3;16.0;35.0;20;23.2253656387;4;26.4249992371;33.00730896;17;61.92527318;
71;3;17.0;35.0;20;23.3543308973;4;26.4249992371;33.0250015259;15;65.1585936546;
72;3;18.0;35.0;19;23.4951226711;4;27.0765628815;33.8078117371;14;67.5061233044;
73;4;18.9500007629;35.0;19;33.6484457254;4;26.0765628815;32.8078117371;14;69.1512479782;
74;4;19.9500007629;35.4836006165;20;34.2149640322;4;26.0765628815;32.8078117371;15;70.2424099445;
75;4;20.9500007629;35.6334686279;20;34.7696815729;4;25.0765628815;31.8078117371;15;70.4853658676;
76;4;20.9500007629;35.795753479;20;35.3118546009;4;26.0765628815;32.5;15;70.5478637218;
77;4;20.9500007629;35.9709243774;21;35.8413083553;4;27.0765628815;33.5;16;70.6103408337;
78;5;20.9500007629;36.1593475342;20;36.3583414555;5;28.0;34.5;15;70.6727190018;
79;5;20.9500007629;35.3612594604;20;36.8636074066;5;28.0;35.5;15;70.7349207401;
80;5;20.9500007629;34.5767593384;21;37.357991457;5;28.0;36.5;15;70.7968688011;
81;5;21.6514396667;31.5767593384;21;37.8424828053;5;28.0;37.5;16;70.858487606;
