Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;9.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;1;10.0;10.0;5;20.0;
7;1;8.82499980927;8.5;5;17.0;2;11.0;10.1999998093;4;21.0;
8;1;8.82499980927;8.5;5;17.0;2;11.3000001907;10.0;4;21.469999671;
9;1;8.82499980927;8.5;5;17.3400001526;2;11.4409999847;10.1999998093;4;21.8705514669;
10;2;8.9015007019;9.06999969482;4;18.6278438568;2;11.5611658096;10.3632001877;4;22.2129640579;
11;2;9.1912651062;8.81392192841;4;18.9022262096;2;11.6638889313;10.4951858521;4;23.3718163967;
12;2;9.25300121307;8.93486309052;4;19.8625371456;2;12.0115451813;11.0209560394;4;24.3595588207;
13;2;9.46907043457;9.39324569702;5;20.6990214586;2;14.0115451813;11.4571752548;4;25.1902494431;
14;2;11.2729053497;9.78903102875;5;21.4152549505;2;16.0115451813;11.8107032776;4;25.884378314;
15;2;13.2729053497;10.1240053177;5;22.0201330185;2;16.7653141022;12.0916318893;4;26.4648982286;
16;2;15.2729053497;10.4026165009;5;22.5257823467;2;16.9394702911;12.3113050461;4;26.9543362856;
17;2;16.3050708771;10.6309299469;5;22.9457235336;2;17.0862998962;12.4808797836;4;27.1521308422;
18;2;17.0206890106;11.3414316177;5;23.2934938669;2;19.0324230194;12.5;4;27.3210272789;
19;2;18.3280448914;10.9637317657;5;23.4190865755;2;20.0830917358;12.5;4;27.4992582798;
20;2;18.9500007629;11.5676345825;5;23.4734505415;2;21.1365604401;12.5;4;27.6867210865;
21;2;18.9500007629;11.5893802643;5;23.5290961266;2;22.1928005219;12.5;5;27.8832085133;
22;2;18.9500007629;11.7645483017;5;23.5859923363;2;22.3649635315;12.5;6;28.0884003639;
23;2;18.9500007629;11.7929964066;7;23.6441031694;2;22.4265193939;12.5;5;28.3018581867;
24;2;18.9500007629;11.822052002;7;23.7033878565;2;21.5;13.4905576706;6;28.5230212212;
25;2;18.9500007629;11.8516941071;7;23.7638003826;2;21.5;13.5569067001;6;28.7512066364;
26;2;18.9500007629;11.8818998337;8;23.8252899647;3;21.5;13.6253623962;5;28.9856116772;
27;2;19.3606910706;11.0;8;23.8878008127;3;22.5;12.5;5;29.2253217697;
28;4;18.9500007629;11.9439001083;6;31.0815472603;3;21.5;13.5;5;29.4693202972;
29;4;19.9500007629;12.0;7;31.6357448101;3;21.5;14.5;5;29.716504097;
30;4;19.4035186768;14.0;7;32.1870927811;3;22.5;12.5;5;29.9657006264;
31;4;18.4181880951;16.0;7;32.7308001518;3;22.9897098541;12.5;5;30.2156887054;
32;4;17.4330253601;18.0;7;33.2623281479;3;23.0647068024;12.5;5;30.4652233124;
33;4;16.4980144501;19.5244655609;7;33.7775592804;3;21.5;13.5;5;30.7130589485;
34;4;16.5131378174;20.7484741211;7;34.2729318142;3;20.5;13.5;5;30.9579744339;
35;4;16.5283737183;21.9623012543;7;34.7455391884;3;20.5;13.5;5;31.198797226;
36;4;16.5437049866;23.1645355225;8;35.1931838989;3;19.5;13.5;5;31.4344263077;
37;4;16.5591125488;24.3541221619;10;35.6143834591;3;19.4303283691;14.5;5;31.6638503075;
38;4;16.5745716095;25.5303649902;10;36.0083434582;3;18.5;13.5;6;31.8861660957;
39;4;16.5900650024;26.6929187775;11;36.3748941422;3;19.5;14.5;6;32.1005897522;
40;4;16.6055679321;27.8417396545;11;36.7144062519;3;18.5;13.5;6;32.3064651489;
41;4;16.6210613251;28.97706604;12;37.0276954174;3;18.5;13.5;7;32.5032672882;
42;4;16.6365242004;30.0993480682;12;37.3159205914;3;17.5;13.5;7;32.6906037331;
43;4;16.6519355774;31.2092170715;13;37.5804905891;3;17.5;14.5;7;32.8682103157;
44;4;16.6672706604;32.3074188232;13;37.8229725361;3;18.8604621887;16.5;7;33.035943985;
45;5;16.6825141907;33.3947868347;12;54.0450189114;3;16.9107837677;18.5;7;33.1937742233;
46;5;17.69764328;34.4721908569;14;54.8072795868;3;15.9107837677;20.5;8;34.3417720795;
47;5;18.712638855;35.5;14;55.4323501587;3;17.5;22.5;9;34.6100977659;
48;5;19.7274799347;36.5;14;55.9792861938;3;19.5;24.5;9;34.8844178915;
49;5;21.7421512604;34.5;14;56.4537045956;3;20.8826293945;25.5;10;35.1664628983;
50;5;23.7566356659;36.5;16;56.8625440598;3;21.9313163757;26.5;11;35.4580385685;
51;5;25.7709140778;38.5;17;57.2133255005;3;22.9855003357;27.5;11;35.7609821558;
52;7;27.7849731445;40.5;14;57.5135917664;3;23.5;28.4093551636;11;36.0402543545;
53;7;29.4378128052;42.5;15;57.6105625629;3;23.5;28.5201263428;12;36.2842636108;
54;7;29.4623775482;44.5;15;57.6697554588;3;24.1852798462;27.5;12;36.5518820286;
55;7;29.4756965637;43.5;15;57.2277464867;3;24.2655639648;27.5;12;36.8440244198;
56;7;29.4887447357;42.25;16;57.4719922543;3;23.5;28.5;14;37.1613030434;
57;7;29.5015125275;41.34375;16;57.693977356;4;24.4483909607;27.5;13;37.5039470196;
58;7;29.5139923096;40.4270095825;16;58.894099474;4;24.5511837006;27.5;13;37.871723175;
59;7;29.6500015259;41.5;17;60.1668996811;4;23.5;28.5;13;37.763862133;
60;7;32.5380554199;41.5;16;60.5740478039;4;23.5;29.5;13;38.306497097;
61;7;33.9953384399;42.5;17;61.0408536196;4;22.5;28.5;12;38.8610386848;
62;7;34.4586296082;44.5;20;61.5767585039;4;22.034538269;29.5;14;39.4251923561;
63;8;34.6157531738;46.5;19;62.1918501854;4;21.170879364;30.5;14;39.996076107;
64;8;34.7967376709;47.5;21;62.8964784145;4;20.3117408752;31.5;14;41.5199065208;
65;8;35.0046882629;47.5;21;63.7006477118;4;20.5;31.5;14;42.0376017094;
66;8;35.2426071167;47.5;22;64.5856477022;4;22.5;32.5;16;42.5581920147;
67;9;35.506942749;47.5;20;80.5713100433;4;23.5;33.5;16;43.0768911839;
68;9;36.8026428223;48.5;21;82.4258315563;4;22.5;33.5;17;43.5889379978;
69;10;38.1340026855;49.5;16;85.3160836697;4;22.5;34.5;17;44.089781642;
70;10;40.5002670288;51.5;17;89.1559048891;4;21.5;33.5;18;44.5752540827;
71;10;41.0581932068;54.6300010681;18;92.8147726059;4;20.5;33.5;18;45.0417165756;
72;10;43.0861091614;57.3404846191;19;96.2959200144;4;20.5;34.5;18;46.8747779131;
73;11;45.7396621704;59.6521339417;18;99.4366612434;4;21.0;35.5;17;48.4503061771;
74;11;45.6674232483;59.7415351868;19;102.158506513;5;20.0;34.5;17;49.7973389626;
