Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;9.0;10.0;6;20.0;
7;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;6;20.0;
8;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;6;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;2;9.59000015259;10.5;5;21.7264003754;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;9.88844013214;10.3632001877;5;21.9903717041;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;9.94783401489;10.4951858521;5;23.0819120407;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;10.1934309006;11.0209560394;5;23.99553442;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;11.9660997391;11.4571752548;5;24.7449600697;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;13.9660997391;11.8107032776;5;25.3503712416;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;15.9660997391;12.0916318893;5;25.8344515562;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;16.9954986572;12.3113050461;5;26.2195074558;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;18.0058269501;12.4808797836;5;26.3048160076;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;19.0164165497;12.5;6;26.3530313969;
19;1;16.0206890106;10.9637317657;6;22.0;2;19.9294319153;12.5;6;26.4023760557;
20;1;16.9500007629;11.0;7;22.0;2;19.625;12.920712471;6;26.4528282881;
21;1;16.9500007629;11.0;7;22.0;2;19.9518871307;12.5;6;26.5043625832;
22;1;16.9500007629;11.0;7;22.0;2;19.9634819031;12.5;6;26.5569496155;
23;1;16.9500007629;11.0;7;22.0;2;19.9753131866;12.5;7;26.6105561256;
24;1;16.9500007629;11.0;7;22.0;3;19.9873752594;12.5;6;26.6651450396;
25;1;16.9500007629;11.0;8;22.0;3;19.9996566772;12.5;6;26.72067523;
26;1;16.9500007629;11.0;8;22.0;4;20.0121517181;12.5;3;26.7771017551;
27;1;16.9500007629;11.0;8;22.0;4;20.024848938;12.5;4;26.8343759775;
28;1;16.9500007629;11.0;8;22.0;4;19.625;13.2337503433;4;26.8924454451;
29;1;16.9500007629;11.0;8;22.0;4;18.0508003235;13.5;4;26.9512542486;
30;1;16.9500007629;11.0;8;22.0;4;17.064031601;14.5;4;27.0107431412;
31;2;16.9500007629;11.0;6;22.0;4;16.0774173737;15.5;4;27.0708494186;
32;2;16.9500007629;11.0;6;22.0;4;15.0909414291;16.5;4;27.1315076351;
33;2;14.9500007629;12.0;6;22.0;4;14.4795894623;17.5;4;27.1926498413;
34;2;13.9500007629;13.0;6;22.0;4;14.4933462143;18.5;4;27.2542052269;
35;2;12.9500007629;14.0;6;22.0;4;14.5071964264;19.5;4;27.3161010742;
36;2;12.0;15.0;6;22.0;4;14.5211229324;20.5;5;27.3782629967;
37;2;12.0;16.0;6;22.0;4;14.5351085663;21.5;5;27.4406147003;
38;2;12.0;17.0;6;22.0;4;14.5491380692;22.5;6;27.5030794144;
39;2;12.0;18.0;7;22.0;4;14.5631923676;23.5;9;27.5655794144;
40;2;12.0;19.0;7;22.0;4;14.577255249;24.5;9;27.628036499;
41;2;12.0;20.0;7;22.0;4;14.5913085938;25.5;9;27.690372467;
42;2;12.0;21.0;9;22.0;4;14.6053333282;26.5;10;27.7525100708;
43;2;12.0;22.0;10;22.0;4;14.6193141937;27.5;11;27.8143725395;
44;2;12.0;23.0;10;22.0;4;14.633234024;28.5;9;27.8758842945;
45;2;12.0;24.0;10;22.0;4;14.6470737457;29.5;10;27.936971426;
46;2;12.0;25.0;11;22.0;4;15.6608181;27.5;11;27.9975619316;
47;2;12.0;26.0;11;22.0;4;14.674451828;28.5;11;28.0575861931;
48;2;12.0;27.0;14;22.0;4;14.68795681;29.5;14;28.1169772148;
49;2;12.0;28.0;15;22.0;4;15.7013196945;27.5;14;28.1756706238;
50;2;12.0;29.0;15;22.0;4;14.7145261765;28.5;14;28.2336053848;
51;2;12.0;30.0;16;22.0;4;15.727560997;27.5;15;28.2907235622;
52;2;13.0;28.0;16;22.0;4;16.0;27.5;16;28.346971035;
53;2;12.0;29.0;17;22.0;4;17.753068924;27.5;16;28.4022974968;
54;2;12.0;30.0;18;22.0;4;18.7655162811;27.5;16;28.4566559792;
55;2;13.0;28.0;18;22.0;4;19.0;27.5;17;28.5100040436;
56;2;12.0;29.0;19;22.0;4;19.625;27.5;17;28.5623030663;
57;2;12.0;30.0;18;22.0;4;19.625;27.5;19;28.6135182381;
58;2;13.0;28.0;19;22.0;4;20.438041687;24.5;19;28.6636190414;
59;2;12.0;29.0;19;22.0;4;19.625;24.5;19;28.7125790119;
60;2;12.0;30.0;20;22.0;4;19.625;24.5;19;28.7603754997;
61;2;12.0;31.0;20;22.0;4;20.4710845947;22.5;19;28.8069901466;
62;2;12.0;32.0;21;22.0;4;19.625;23.5;20;28.8524079323;
63;2;12.0;33.0;23;22.0;4;19.625;24.5;21;28.8966178894;
64;2;12.0;34.0;24;22.0;4;20.501739502;22.5;21;28.9396123886;
65;2;12.0;35.0;24;22.0;4;19.625;23.5;22;28.9813876152;
66;2;13.0;33.0;25;22.0;4;20.5208129883;22.5;21;29.0;
67;2;12.0;34.0;26;22.0;4;20.5249996185;22.5;21;29.0;
68;2;12.0;35.0;26;22.0;4;20.5249996185;22.5;22;29.0;
69;2;13.0;33.0;26;22.0;4;20.5249996185;22.5;22;29.0;
70;2;12.0;34.0;28;22.0;4;20.5249996185;22.5;22;29.0;
71;2;12.0;35.0;28;22.0;5;20.5249996185;22.5;21;29.0;
72;2;13.0;33.0;29;22.0;5;20.5249996185;22.5;22;29.0;
73;2;12.0;34.0;29;22.0;5;20.5249996185;22.5;22;29.0;
74;2;12.0;35.0;30;22.0;5;20.5249996185;22.5;23;29.0;
75;2;13.0;33.0;30;22.0;5;20.5249996185;22.5;23;29.0;
76;2;12.0;34.0;31;22.0;5;20.5249996185;22.5;23;29.0;
77;2;12.0;35.0;31;22.0;5;20.5249996185;22.5;24;29.0;
78;2;13.0;33.0;33;22.0;5;20.5249996185;22.5;25;30.0;
79;2;12.0;34.0;33;22.0;5;21.5249996185;23.5;26;30.0399999619;
80;2;12.0;35.0;35;22.0;5;22.5249996185;24.5;26;30.0811839104;
81;3;13.0;33.0;34;22.0;5;22.7682666779;25.5;27;31.2651771307;
82;3;12.0;34.0;35;22.0;5;22.1076660156;28.0;27;32.2308820486;
83;3;12.0;35.0;35;22.0;5;23.2519493103;28.3899993896;28;33.0126036406;
84;3;13.0;33.0;35;22.0;5;22.4478034973;29.6872596741;27;33.6460704803;
85;3;12.0;34.0;36;22.0;5;23.5644187927;28.9097423553;26;34.0161796808;
86;3;12.0;35.0;36;22.0;5;23.6536407471;29.0;26;34.2066735029;
