Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;4;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;3;20.0;
4;2;7.55000019073;10.9000005722;4;18.0;1;8.0;11.0;3;20.0;
5;2;7.7000002861;9.30000019073;4;18.0449999571;1;8.0;10.0;3;20.0;
6;2;8.55000019073;9.12699985504;4;18.0915547609;1;9.0;10.0;3;20.0;
7;2;8.82499980927;9.15493297577;4;18.1396753788;2;9.5;10.3000001907;2;21.0;
8;2;8.82499980927;9.1838054657;4;18.1893689632;2;9.72500038147;10.0;2;21.4999996424;
9;2;8.82499980927;9.21362113953;4;18.5925321579;2;9.8375005722;10.1999998093;2;21.9353003502;
10;2;8.9015007019;9.42151927948;4;18.9461020231;2;9.93544197083;10.3632001877;2;22.3176362514;
11;2;8.96626472473;9.60487651825;4;19.2562930584;2;10.0214681625;10.4951858521;2;23.5373773575;
12;2;9.02068901062;9.76680278778;4;20.2716907263;2;10.2959108353;11.0209560394;2;24.5968167782;
13;2;9.22696018219;10.284365654;5;21.1674451828;2;12.1013889313;11.4571752548;2;25.5111111403;
14;2;11.0206890106;10.7426605225;5;21.9472299814;2;14.1013889313;11.8107032776;2;26.3018171787;
15;2;13.0206890106;11.1435365677;5;22.6200125217;2;16.1013889313;12.0916318893;3;26.9928781986;
16;2;15.0206890106;11.4914836884;5;23.1979614496;3;17.2561435699;12.3113050461;3;27.6076834202;
17;2;16.0206890106;11.792591095;5;23.6946053505;3;18.3181667328;12.4808797836;4;27.9463441372;
18;2;17.0206890106;12.0536212921;5;24.1234521866;3;18.7228336334;13.3839035034;4;28.2720229626;
19;2;18.0206890106;12.2813253403;6;24.3344240189;3;19.625;13.4816064835;4;28.6230447292;
20;2;18.9500007629;12.4006547928;6;24.4783546925;3;19.625;13.5869131088;4;28.9990065098;
21;2;18.9500007629;12.4870128632;6;24.6275923252;3;20.5247764587;12.5;4;29.3989467621;
22;2;18.9500007629;12.8393144608;5;24.7818951607;3;20.6147632599;12.5;5;29.8212919235;
23;3;18.9500007629;12.9473266602;4;24.9409668446;4;20.7097911835;12.5;3;30.2638244629;
24;3;18.9500007629;13.0586767197;5;25.1044561863;4;20.8093605042;12.5;3;30.7236814499;
25;4;17.6485023499;12.0586767197;4;25.2719585896;4;20.9128284454;12.5;3;31.19739151;
26;4;16.6861915588;13.0;3;25.4430179596;4;19.625;13.5;3;31.680949688;
27;4;15.7246799469;14.0;3;25.6171307564;4;20.625;12.5;3;32.1699318886;
28;4;14.8138542175;15.0;3;25.7937505245;4;19.625;13.5;4;32.6596431732;
29;4;14.8535938263;16.0;3;25.9722938538;4;17.625;15.5;3;33.1452922821;
30;4;15.0;15.0;3;27.1521477699;4;16.625;17.5;3;33.6221752167;
31;4;17.0;15.5;3;27.4076769352;4;15.625;19.5;3;34.0858602524;
32;4;16.9748535156;14.0;3;27.6680524349;4;14.625;21.5;3;34.5323524475;
33;4;17.2753124237;15.0;3;27.9328080416;4;14.0;23.5;4;34.9582242966;
34;4;16.27891922;17.0;4;28.2014713287;5;14.0;25.4707565308;3;35.3607130051;
35;4;16.2991695404;19.0;4;28.47356987;5;14.0;26.7524986267;3;35.7377691269;
36;4;16.3206214905;21.0;4;28.7486355305;5;14.0;28.0164375305;3;36.088060379;
37;4;16.3433055878;23.0;4;29.0262092352;5;14.0;29.2616424561;3;36.4109382629;
38;4;16.3672485352;25.0;4;29.3058439493;5;14.0;30.487657547;3;37.7063741684;
39;4;16.3924713135;27.0;6;29.5871082544;5;15.0;31.6944618225;4;38.0048744678;
40;5;16.4189834595;28.2974510193;5;29.8695852757;5;16.0;32.8824119568;4;38.2779715061;
41;5;16.4467964172;29.4722080231;6;30.1528735161;5;16.2386322021;34.0521659851;4;38.5269362926;
42;5;16.47590065;30.6415328979;7;30.4365856647;5;16.2456474304;35.2046203613;6;38.7532770634;
43;5;16.5062866211;31.8050632477;8;30.7203452587;5;16.2527923584;36.3408317566;8;38.9586533308;
44;6;16.5379295349;32.9625053406;7;31.0037834644;5;16.2600631714;37.461971283;9;39.1447998285;
45;6;17.0;32.1136207581;7;31.2865371704;5;16.2674598694;38.5692634583;10;39.2221269608;
46;6;18.0;32.2582473755;7;31.5682427883;5;17.2749786377;36.5999984741;11;39.2560760975;
