Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;2;7.0;13.3000001907;5;21.0;
3;1;7.55000019073;11.3000001907;4;17.0;2;8.30000019073;12.0;5;21.0599999428;
4;1;7.55000019073;10.3000001907;4;17.0;2;9.31799983978;11.0;5;21.1229639053;
5;1;7.55000019073;9.30000019073;4;17.0;2;10.336889267;10.0;5;21.1889609098;
6;1;8.55000019073;8.5;4;17.0;2;11.5350322723;10.0;5;21.2580518723;
7;1;8.82499980927;8.5;4;17.0;2;12.5661230087;10.0;5;21.3302885294;
8;1;8.82499980927;8.5;4;17.0;2;13.5986299515;10.0;5;21.8190145493;
9;1;8.82499980927;8.5;4;17.3400001526;2;14.6385564804;10.1999998093;5;22.2388005257;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;15.0074596405;10.3632001877;5;23.4601941109;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;15.5570878983;10.9097137451;5;24.5095257759;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;16.0292873383;11.3658018112;5;25.3986660242;
13;2;9.22696018219;9.99324607849;4;20.5780620575;2;18.618806839;11.7372808456;5;26.1468911171;
14;2;11.0206890106;10.3890314102;4;21.3555105925;2;20.6188087463;12.0336990356;5;26.7767255306;
15;2;13.0206890106;10.7885055542;4;22.0305986404;2;21.8286323547;12.2662630081;5;27.3107893467;
16;2;15.0206890106;11.1378355026;4;22.6161907911;2;22.9069576263;12.446267128;5;27.6016011238;
17;2;16.0206890106;11.4435281754;4;23.1265428066;2;23.9894638062;12.5;5;27.7940778732;
18;2;17.0206890106;11.7127838135;4;23.5759092569;2;25.0760784149;12.5;6;27.9954168797;
19;2;18.0206890106;11.9527988434;4;23.8149644136;2;26.1666793823;12.5;6;28.2052333355;
20;2;18.9500007629;12.0889787674;5;23.9952818155;2;26.6923542023;12.5;6;28.4230215549;
21;2;18.9500007629;12.1971693039;5;24.1899158955;2;26.7903594971;12.5;6;28.6481528282;
22;2;18.9500007629;12.5329408646;5;24.399273634;2;26.8916683197;12.5;6;28.8798778057;
23;2;18.9500007629;12.6794910431;5;24.6236231327;2;26.9959449768;12.5;7;29.117331028;
24;2;18.9500007629;12.8365364075;5;24.8630647659;3;27.1027984619;12.5;6;29.3595399857;
25;2;18.9500007629;13.0041456223;4;25.1175034046;3;25.25;13.5;5;29.6054382324;
26;3;18.9500007629;13.1822528839;3;25.3866217136;3;26.25;12.5;5;29.8538813591;
27;3;18.9500007629;13.3706350327;5;25.6698577404;3;27.25;12.5;5;30.1036677361;
28;4;18.9500007629;13.5689001083;4;25.9663875103;3;27.5466499329;12.5;5;30.3535604477;
29;4;18.9500007629;13.776471138;4;26.2751159668;3;27.6591033936;12.5;5;30.6023101807;
30;4;17.911901474;12.776471138;5;26.5946760178;3;25.7710399628;13.5;5;30.8486824036;
31;4;15.9500007629;14.776471138;5;26.9234399796;3;24.8819065094;14.5;5;31.0914797783;
32;4;14.9500007629;16.7764701843;5;27.2595415115;3;23.9911651611;15.5;5;31.3295664787;
33;4;14.0;18.7764701843;5;27.6009097099;3;23.0983047485;16.5;6;31.5618891716;
34;4;14.0;20.7764701843;5;27.9453148842;3;22.2028503418;17.5;6;31.7874941826;
35;4;14.0;22.7764701843;6;29.2904214859;3;21.3043727875;18.5;6;32.0055427551;
36;4;15.0;24.7764701843;6;29.7088520527;3;20.4024944305;19.5;7;32.2153205872;
37;4;16.0;26.2972373962;6;30.1280686855;3;19.4968948364;20.5;7;32.41624403;
38;4;16.2598342896;27.6705741882;6;30.5459867716;3;18.4968948364;19.5;7;32.6078615189;
39;4;16.27891922;29.0369796753;7;30.9606580734;3;18.4968948364;19.5;8;32.7898521423;
40;4;17.0;28.394115448;7;31.3703188896;3;19.25;20.5;8;32.9620194435;
41;4;18.0;28.022354126;7;31.773430109;3;20.25;21.5;10;33.1242837906;
42;4;19.0;27.4456119537;9;32.1687048674;3;19.25;23.5;10;33.2766723633;
43;4;20.3672485352;25.3901386261;9;32.5551224947;3;19.25;24.5;10;33.4193067551;
44;4;21.3424720764;24.6918907166;9;32.9319292307;3;19.25;25.5;12;33.5523900986;
45;4;21.3689842224;23.9767532349;9;33.2986266613;3;18.25;24.5;13;33.6761951447;
46;4;21.3967971802;23.2441539764;9;33.6549506187;3;17.25;24.5;13;33.7910509109;
47;4;20.9500007629;23.4938163757;9;34.0008442402;4;16.25;23.5;12;33.8973302841;
48;4;21.456287384;21.7257480621;9;34.3364231586;4;15.25;23.5;13;33.9954385757;
49;5;20.9500007629;22.9401893616;9;49.6619374752;4;15.25;23.5;13;34.0;
50;5;22.5207939148;26.9401893616;9;50.7277379036;4;15.0;23.5;13;34.0;
51;4;21.5548305511;28.9401893616;9;35.2842371464;5;15.0;22.5;9;49.75;
52;4;21.5899810791;31.9401893616;9;35.5818789005;5;17.0;23.5;9;50.4193744659;
