Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;4;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;4;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;4;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;4;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;4;20.0;
7;1;8.82499980927;8.5;5;17.0;1;12.0;10.0;4;20.0;
8;1;8.82499980927;8.5;5;17.0;1;13.0;10.0;4;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;1;14.0;10.1999998093;3;20.7264003754;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;14.3268795013;10.6632003784;2;22.8194274902;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;15.2687425613;10.9097137451;2;23.7816035748;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;15.7017221451;11.3658018112;2;24.5765366554;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;18.2912425995;11.7372808456;2;25.2233480215;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;20.2912425995;12.0336990356;2;25.7444707155;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;21.364118576;12.2662630081;3;26.162507534;
16;1;13.0206890106;10.4026165009;6;21.2618598938;3;22.3902301788;12.446267128;2;26.3300433159;
17;1;14.0206890106;10.6309299469;6;21.6314201355;3;23.417263031;12.5;2;26.3921557665;
18;1;15.0206890106;10.8157100677;6;21.9274635315;3;24.4452133179;12.5;2;26.4563041925;
19;1;16.0206890106;10.9637317657;6;22.0;3;25.4740791321;12.5;2;26.5224741697;
20;1;16.9500007629;11.0;6;22.0;3;25.9351139069;12.5;2;26.5906432867;
21;1;16.9500007629;11.0;6;22.0;3;25.9657897949;12.5;2;26.6607804298;
22;1;16.9500007629;11.0;7;22.0;3;25.9973506927;12.5;2;26.7328453064;
23;1;16.9500007629;11.0;8;22.0;3;26.0297813416;12.5;3;26.8067884445;
24;1;16.9500007629;11.0;7;22.0;4;26.0630550385;12.5;2;26.8825509548;
25;1;16.9500007629;11.0;7;22.0;4;25.25;13.5;3;26.9600640535;
26;1;16.9500007629;11.0;8;22.0;4;26.1320285797;12.5;4;27.0392494202;
27;1;16.9500007629;11.0;8;22.0;4;25.25;13.5;4;27.120018959;
28;1;16.9500007629;11.0;8;22.0;4;26.2040081024;12.5;4;27.2022752762;
29;1;16.9500007629;11.0;7;22.0;4;25.25;13.5;4;27.2859115601;
30;2;16.9500007629;11.0;5;22.0;4;24.25;13.5;4;27.3708124161;
31;2;16.9500007629;11.0;4;22.0;4;23.316865921;14.5;4;27.4568536282;
32;2;16.9500007629;11.0;4;22.0;4;22.3555831909;15.5;4;27.5439035892;
33;2;14.9500007629;12.0;4;22.0;4;21.3947563171;16.5;4;27.6318233013;
34;2;13.9500007629;13.0;4;22.0;4;20.4343204498;17.5;4;27.7204678059;
35;2;12.9500007629;14.0;4;22.0;4;19.4742107391;18.5;4;27.8096864223;
36;3;12.0;15.0;3;32.0;4;18.5143585205;19.5;5;27.8993241787;
37;3;13.0;16.0;3;32.3999996185;4;17.5546951294;20.5;6;27.989222765;
38;3;14.0;17.0;3;32.7743997574;4;16.5951499939;21.5;7;28.079221487;
39;3;14.0;18.0;3;33.1219387054;4;15.6356496811;22.5;8;28.1691586971;
40;3;14.0;19.0;4;33.4420347214;4;16.6761207581;21.5;8;28.258872509;
41;3;14.0;20.0;4;33.7347183228;4;16.25;21.5;9;28.348202467;
42;3;14.0;21.0;4;34.0005426407;4;18.25;21.5;9;28.4369900227;
43;3;14.0;22.0;5;34.2404880524;4;18.25;21.5;10;28.5250804424;
44;4;14.0;23.0;5;34.4558610916;5;20.25;22.5;10;28.6123232841;
45;4;14.0;24.0;5;34.6481971741;5;20.25;23.5;10;28.6985738277;
46;4;14.0;25.0;5;34.8191757202;5;21.25;24.5;11;28.7836937904;
47;4;14.0;26.0;5;34.9705476761;5;22.25;25.1485862732;12;28.867552042;
48;4;14.0;27.0;6;35.0;5;24.25;23.1485862732;12;28.9500255585;
49;4;14.0;28.0;6;35.0;5;26.0275115967;22.5;12;29.0310001373;
50;4;14.0;29.0;6;35.0;5;25.25;23.5;12;29.110370636;
