Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;2;11.0;10.3000001907;5;21.0;
7;1;8.82499980927;8.5;5;17.0;2;12.0;10.0;5;21.0399999619;
8;1;8.82499980927;8.5;5;17.0;2;13.0;10.0;5;22.2915847301;
9;1;8.82499980927;8.5;5;17.3400001526;2;14.0;10.6000003815;5;23.3627632856;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;14.9979200363;11.1087999344;4;25.1588737965;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;15.7759981155;11.9733314514;4;26.6786055565;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;16.4283065796;12.6981172562;4;27.9211105108;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;18.7759971619;13.2827091217;4;28.9100407362;
14;2;11.0206890106;10.1890306473;5;21.2480106354;2;20.7759971619;13.7389144897;4;29.6828203201;
15;2;13.0206890106;10.5240049362;5;21.8477330208;2;21.7759971619;14.0854330063;4;30.2810806036;
16;2;15.0206890106;10.8196163177;5;22.3482230902;2;22.7759971619;14.3430747986;4;30.6811381578;
17;2;16.26512146;10.6309299469;5;22.7630155087;2;23.7759971619;14.5;5;30.7705556154;
18;2;17.0206890106;11.2683486938;5;23.1056625843;2;24.7759971619;14.5;5;30.8631458282;
19;2;18.0206890106;11.43501091;5;23.226172924;2;25.7759971619;14.5;5;30.9588528872;
20;2;18.9500007629;11.4904689789;5;23.2755119801;2;26.7759971619;14.5;5;31.0576014519;
21;2;18.9500007629;11.5102043152;5;23.3262070417;2;27.0499992371;14.5;5;31.1592962742;
22;2;18.9500007629;11.6631031036;6;23.3782446384;3;27.0499992371;14.5;4;31.2638213634;
23;2;18.9500007629;11.6891222;7;23.4316068888;3;27.0499992371;14.5;5;31.3710401058;
24;2;19.2721118927;11.0;7;23.4862712622;3;27.0499992371;14.5;6;31.4807946682;
25;2;17.284412384;12.0;7;23.5422104597;4;27.0499992371;14.5;5;31.5929069519;
26;2;16.2969970703;13.0;7;23.5993924141;4;27.0499992371;14.5;5;31.7071788311;
27;2;15.3098640442;14.0;7;23.657779932;4;27.0499992371;14.5;5;31.8233931065;
28;2;14.373000145;15.0;9;23.7173310518;4;27.0499992371;14.5;5;31.9413151741;
29;2;14.3863992691;16.0;9;23.7779986858;4;27.0499992371;14.5;5;33.0606939793;
30;2;14.4000492096;17.0;10;23.8397308588;4;26.0499992371;15.5;6;33.2512642145;
31;2;14.413939476;18.0;10;23.9024705887;4;26.0499992371;16.5;5;33.4468992949;
32;2;14.4280557632;19.0;10;23.9661563635;4;25.5648670197;17.5;5;33.6474514008;
33;2;14.4423847198;20.0;10;24.0307219028;4;24.6001663208;18.5;5;33.8527549505;
34;2;14.4569129944;21.0;10;24.0960965157;4;23.6374530792;19.5;5;34.0626266003;
35;2;14.4716215134;22.0;10;24.1622054577;4;22.6767807007;20.5;5;34.27686584;
36;3;14.4864959717;23.0;8;52.9789698124;4;21.7181930542;21.5;5;34.4952546358;
37;3;15.0;25.0;8;55.0588083267;4;20.7617263794;22.5;6;34.7175579071;
38;3;16.0;27.0;8;56.6609129906;4;19.8074073792;23.5;7;34.9435226917;
39;3;17.0;28.1277198792;8;57.8444187641;4;20.8552513123;23.5;7;35.1728792191;
40;3;18.0;29.1891231537;10;58.6941084862;4;21.9052619934;24.5;7;35.4053394794;
41;3;19.0;30.2508049011;10;59.2951750755;4;22.9574279785;25.5;7;35.6405968666;
42;3;20.0;31.3126811981;10;59.3885219097;4;24.011724472;27.5;8;35.8783268929;
43;3;21.0;32.3746681213;12;59.4574263096;4;25.0681095123;29.5;8;36.1181855202;
44;3;23.0;30.4366836548;12;59.5262646675;4;26.1265239716;29.5;9;36.3598091602;
45;3;23.0;31.4986381531;12;59.5949420929;4;27.1868915558;29.5;9;36.6028161049;
46;3;24.0;32.5604476929;12;59.6633646488;4;28.2491207123;29.5;10;36.8468048573;
47;3;26.0;30.6220283508;13;59.731439352;4;29.3130970001;29.5;10;37.091356039;
48;3;26.0;31.6832962036;14;59.7990751266;4;30.3786907196;29.5;11;37.3360331059;
49;3;26.4249992371;32.7441673279;14;59.8661830425;4;30.4457550049;29.5;12;37.5803833008;
50;3;28.1261405945;32.7441673279;15;59.9326767921;4;30.5141239166;29.5;10;37.8239412308;
51;3;29.1411018372;33.7441673279;17;59.998472929;4;29.0499992371;30.5;11;38.0662300587;
52;3;30.1559066772;34.0;17;60.0634920597;4;30.0499992371;29.5;12;38.3067660332;
53;3;31.1705360413;34.0;17;60.1276581287;4;30.7251873016;29.5;13;38.5450606346;
54;3;32.1349754333;34.0;18;60.1908993721;4;28.7968406677;30.5;14;38.7806272507;
55;3;32.1492042542;33.0;19;60.2531487942;4;27.8687782288;31.5;14;39.0129833221;
56;3;32.1632080078;32.0;19;60.3143436909;4;26.9407691956;32.5;13;39.2416567802;
57;3;32.1769790649;31.0;20;60.3744263649;4;26.0125865936;33.5;13;39.466190815;
58;3;32.1904983521;30.0;21;60.4333441257;4;25.0839996338;34.5;14;39.6772966385;
59;3;32.203754425;29.0;20;60.4910495281;4;24.1547832489;35.5;16;39.8327093124;
60;3;32.2167358398;28.0;21;60.5475001335;4;23.2247180939;36.5;16;41.2424292564;
61;3;32.2294387817;27.0;19;60.6026587486;4;22.2247180939;34.5;16;42.3489060402;
62;3;32.2418479919;26.0;18;60.6564934254;4;23.0499992371;33.5;18;43.2130012512;
63;3;32.2539634705;26.0;19;60.7089774609;4;22.0499992371;34.5;19;43.8278784752;
64;3;29.375;28.0;19;60.7600889206;4;22.0499992371;33.5;18;44.0710244179;
65;3;28.375;30.0;19;60.8098106384;4;23.0499992371;33.5;18;44.3095536232;
66;4;27.375;32.0;20;60.8581299782;4;22.0499992371;32.5;20;44.5424041748;
67;4;26.4249992371;33.6973190308;20;60.9050393105;4;22.0499992371;32.0;18;44.7686142921;
68;4;26.4249992371;34.7395362854;19;60.9505352974;4;21.0499992371;32.0;18;44.2917532921;
69;4;26.4249992371;35.7804794312;21;60.9946184158;4;21.0499992371;31.7999992371;18;43.8625774384;
70;5;26.4249992371;36.8201560974;20;61.0;3;20.0499992371;31.7999992371;18;43.4763202667;
71;5;26.4249992371;37.8250007629;20;63.806874752;3;18.0499992371;32.7999992371;19;43.1286888123;
72;6;27.0765628815;38.8024978638;19;75.8203415871;3;17.0499992371;33.7999992371;19;42.8158202171;
73;6;28.5282783508;40.7822494507;19;78.7082929611;3;16.0499992371;34.7999992371;20;42.5342378616;
74;6;30.8248329163;43.7640228271;20;80.1346502304;3;16.0;35.7999992371;20;42.2808146477;
75;6;33.0;46.7476234436;21;80.6850032806;3;16.0;36.7999992371;21;42.0527334213;
76;6;32.0;49.7328605652;21;81.1455110312;3;16.0;37.7999992371;22;41.8474593163;
