Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;2;6.0;13.6999998093;3;18.0;1;6.0;14.0;4;20.0;
2;2;7.15000009537;12.3000001907;3;18.0449999571;1;7.0;13.0;5;20.0;
3;2;7.70675039291;11.3000001907;3;18.0915547609;1;8.0;12.0;5;20.0;
4;2;7.71373319626;10.3000001907;3;18.1396753788;1;9.0;11.0;5;20.0;
5;2;7.72095155716;9.30000019073;3;18.1893689632;1;10.0;10.0;5;20.0;
6;2;8.81760787964;8.5;3;18.2406382561;1;11.0;10.0;5;20.0;
7;2;9.1041431427;8.5;3;18.2934814692;1;12.0;10.0;5;20.0;
8;2;9.11603355408;8.5;3;18.7008270025;1;13.0;10.0;5;20.3999996185;
9;2;9.20768642426;8.67000007629;3;19.0586059093;1;14.0;10.1999998093;5;20.7264003754;
10;2;9.2881860733;8.81392192841;3;19.3730169535;1;14.3268795013;10.3632001877;5;21.8194274902;
11;2;9.35892963409;8.93486309052;3;20.394963026;2;14.8187427521;11.2097139359;4;23.7316036224;
12;2;9.58886623383;9.39324569702;3;21.2973819971;2;15.6792221069;11.3658018112;4;24.5045616627;
13;2;9.79191017151;9.78903102875;3;22.0839121342;2;18.268743515;11.7372808456;4;25.1279890537;
14;2;11.6400375366;10.1240053177;3;22.7634807825;2;20.268743515;12.0336990356;4;25.6242921352;
15;2;13.6400375366;10.4026165009;3;23.3482112885;2;21.3100376129;12.2662630081;4;26.0160515308;
16;2;15.6400375366;10.6309299469;3;23.8515827656;2;22.3243255615;12.446267128;4;26.1558350325;
17;2;16.7264976501;10.8157100677;3;24.2870488167;2;23.3388690948;12.5;4;26.1887089014;
18;2;17.7578659058;10.9637317657;3;24.5044736862;2;24.3536624908;12.5;5;26.2221269608;
19;2;18.7904663086;11.0;5;24.6546301842;2;25.3687000275;12.5;5;26.2560760975;
20;3;19.5472927094;11.0;4;24.8098032475;2;25.8152351379;12.5;5;26.2905418873;
21;3;18.9500007629;12.0;4;24.9696865082;2;25.8307437897;12.5;5;26.3255085945;
22;3;18.9500007629;12.4848432541;4;25.1339194775;2;25.8464794159;12.5;5;26.3609591722;
23;3;19.6551322937;11.0;4;25.3020880222;2;25.8624305725;12.5;6;26.3968753815;
24;3;18.9500007629;12.0;5;25.4737277031;3;25.8785934448;12.5;4;26.4332377911;
25;3;18.9500007629;12.73686409;6;25.6483266354;3;25.8949565887;12.5;4;26.4700255394;
