Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;6;20.0;
7;1;8.82499980927;8.5;5;17.0;1;12.0;10.0;6;20.0;
8;1;8.82499980927;8.5;5;17.0;1;13.0;10.0;6;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;2;14.0;10.5;5;21.7264003754;
10;2;8.9015007019;9.06999969482;4;18.6278438568;2;14.7768793106;10.3632001877;5;22.8594274521;
11;2;9.1912651062;8.81392192841;3;18.9472261667;2;15.2867431641;10.9097137451;5;23.8127875328;
12;2;9.26312637329;8.93486309052;3;19.9789875746;2;15.7157554626;11.3658018112;5;24.5981152058;
13;2;9.49527168274;9.39324569702;4;20.8964561224;2;18.3052749634;11.7372808456;5;25.2345055342;
14;2;11.3173274994;9.78903102875;4;21.7039344311;2;20.3052749634;12.0336990356;5;25.7443674803;
15;2;13.3173274994;10.1240053177;4;22.4110306501;2;21.3640708923;12.2662630081;5;26.1502821445;
16;2;15.3173274994;10.4026165009;3;23.0305528641;2;21.8187427521;12.446267128;5;26.3048160076;
17;2;16.0206890106;11.3384075165;3;23.5766518116;2;22.8187427521;12.5;5;26.3530313969;
18;2;17.0206890106;11.5938024521;3;24.0634207726;2;23.8187427521;12.5;5;26.4023760557;
19;2;18.5012798309;10.9637317657;3;24.3413090706;2;24.8187427521;12.5;4;26.4528282881;
20;2;18.9500007629;11.0;3;24.5615956783;2;25.25;12.5;4;26.5043625832;
21;2;18.9500007629;11.0;3;24.7969653606;2;25.25;12.5;4;26.5569496155;
22;2;18.9500007629;11.0;2;25.04737854;2;25.25;12.5;5;26.6105561256;
23;2;18.9500007629;11.0;3;25.3125803471;2;25.25;12.5;5;26.6651450396;
24;2;18.9500007629;12.0;3;25.59207654;2;25.25;12.5;6;26.72067523;
25;2;18.9500007629;12.7960386276;3;25.8851153851;2;25.25;12.5;6;26.7771017551;
26;2;18.9500007629;12.9425573349;4;26.1906752586;2;25.25;12.5;7;26.8343759775;
27;2;19.8929023743;11.0;5;26.5074620247;2;25.25;12.5;7;26.8924454451;
28;2;18.9500007629;12.0;5;26.8339166641;2;25.25;12.5;7;26.9512542486;
29;2;18.9500007629;13.0;5;27.1682343483;2;25.25;12.5;6;27.0107431412;
30;2;17.9500007629;12.0;5;27.508395195;2;23.25;13.5;6;27.0708494186;
31;2;17.1893901825;13.0;5;27.8522076607;2;22.25;14.5;6;27.1315076351;
32;2;14.9500007629;15.0;5;28.1973586082;2;21.25;15.5;6;27.1926498413;
33;2;14.0;17.0;5;28.5414757729;2;20.25;16.5;6;27.2542052269;
34;2;14.0;19.0;5;28.8821902275;2;19.25;17.5;6;27.3161010742;
35;2;14.0;21.0;5;29.2172021866;2;18.25;18.5;6;27.3782629967;
36;2;14.0;23.0;5;29.5443434715;2;17.25;19.5;7;27.4406147003;
37;2;14.0;25.0;5;29.8616328239;2;16.25;20.5;7;27.5030794144;
38;2;14.0;27.0;6;30.1673221588;2;15.25;21.5;8;27.5655794144;
39;2;14.0;28.3505897522;6;30.4599313736;2;14.25;22.5;8;27.628036499;
40;2;14.0;29.6139373779;5;30.7382688522;2;14.0;23.5;8;27.690372467;
41;2;14.0;30.864440918;6;31.0014419556;2;15.0;22.5;7;27.7525100708;
42;2;14.0;32.1012992859;7;31.2488517761;2;16.0;22.5;8;27.8143725395;
43;2;14.0;33.32396698;6;31.480178833;2;17.0;22.5;8;27.8758842945;
44;2;14.0;34.5321617126;6;31.6953620911;2;19.0;22.5;8;27.936971426;
45;2;14.0;35.7258262634;6;31.8945665359;2;17.3216362;24.5;8;27.9975619316;
46;3;14.0;36.9051094055;6;32.0781536102;2;16.348903656;25.5;8;28.0575861931;
47;3;14.0;38.0703392029;7;32.2466449738;2;15.37591362;26.5;8;28.1169772148;
48;3;15.0;36.2219810486;8;32.4006881714;2;14.0;27.5;10;28.1756706238;
49;3;16.0;35.3606185913;7;32.5410261154;3;14.0;28.5;8;43.2336053848;
50;3;17.0;34.4869232178;7;32.6684646606;3;15.0;30.5;9;44.0407235622;
51;3;18.0;33.6016197205;8;32.75;4;17.0;29.5;7;44.7663455009;
52;3;18.9500007629;32.6749992371;8;32.75;4;18.0;29.5;7;45.4095873833;
53;3;18.9500007629;32.6749992371;9;32.75;5;19.0;29.5;6;45.972925663;
54;3;18.9500007629;32.6749992371;9;32.75;5;18.0;31.5;6;46.4613304138;
55;3;18.9500007629;32.6749992371;10;32.75;5;18.0;32.5;6;46.8813929558;
56;3;18.9500007629;32.6749992371;10;32.75;5;19.0;33.5;6;47.2405362129;
57;3;18.9500007629;32.6749992371;11;32.75;5;20.0;34.5;6;47.5463819504;
58;3;18.9500007629;31.6749992371;11;32.75;5;21.0;35.5;6;47.7125790119;
59;3;18.9500007629;30.6749992371;11;32.75;5;22.0;36.5;7;49.7603754997;
60;3;18.9500007629;30.6749992371;12;32.75;5;25.0;39.5;7;49.8769900799;
61;4;18.9500007629;30.6749992371;11;51.75;4;18.0;37.5;8;30.9941828251;
62;4;19.9500007629;31.6749992371;13;51.75;4;19.0;37.5;9;31.1119375229;
63;4;20.9500007629;32.6749992371;13;51.75;4;20.0;38.5;10;31.2302371264;
64;4;21.9500007629;33.6749992371;13;51.75;5;21.0;39.5;9;31.3490641117;
65;4;22.9500007629;34.6749992371;13;52.75;5;22.0;39.0779190063;9;31.44645679;
66;4;24.9500007629;36.6749992371;15;52.7699999809;5;23.0;38.0943527222;9;31.5269429684;
67;4;26.9500007629;37.6749992371;15;52.7901959419;5;24.0;36.5;10;31.6091074944;
68;4;27.9500007629;38.6749992371;14;52.8105818033;5;25.0;35.5;10;31.692917943;
69;5;28.9500007629;39.6749992371;14;52.8311508894;5;26.0;34.5;10;31.7783368826;
70;6;29.9500007629;40.6749992371;13;56.8518965244;4;25.0;28.5;11;28.8653217554;
71;6;31.9500007629;41.6749992371;13;56.8728116751;4;27.0;28.5;11;28.9938249588;
72;6;33.5;42.6749992371;14;56.8938889503;4;29.0;29.5;11;29.1561168432;
73;6;33.5;43.6749992371;14;56.9151208401;4;29.25;30.5;12;30.3591973782;
74;7;33.5;44.6749992371;12;58.6661615372;3;27.7000007629;27.0;12;29.5287686586;
75;7;34.5;46.6749992371;11;59.7442444563;3;28.0510005951;29.1582717896;13;30.2466638088;
76;7;36.5;48.6749992371;12;59.863297224;3;28.3185329437;30.1233329773;14;30.819167614;
77;8;37.5;50.6749992371;11;59.9844421148;3;28.5187683105;30.4095840454;14;31.1313751936;
78;8;37.7432670593;52.6749992371;15;60.1076157093;3;28.5999984741;30.5656871796;14;31.2672046423;
79;8;37.7527999878;54.6749992371;15;60.3919626474;3;28.5999984741;30.6336021423;15;31.4071352482;
80;8;37.7625999451;55.6749992371;15;62.1744012833;3;28.5999984741;30.7035675049;16;31.551112175;
