Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;5;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;5;20.0;
7;1;8.82499980927;8.5;5;17.0;1;12.0;10.0;5;20.0;
8;1;8.82499980927;8.5;5;17.0;1;13.0;10.0;5;20.3999996185;
9;1;8.82499980927;8.5;5;17.3400001526;2;14.0;10.5;4;21.7264003754;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;14.7768793106;10.3632001877;4;22.8494274616;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;15.282242775;10.9097137451;4;23.7921946049;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;15.7064886093;11.3658018112;4;24.5663278103;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;18.2960090637;11.7372808456;4;25.1909153461;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;20.2960090637;12.0336990356;4;25.6883610487;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;21.3388690948;12.2662630081;4;26.0812431574;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;21.8187427521;12.446267128;4;26.2221269608;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;22.8187427521;12.5;4;26.2560760975;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;23.8187427521;12.5;5;26.2905418873;
19;1;16.0206890106;10.9637317657;6;22.0;2;24.8187427521;12.5;5;26.3255085945;
20;1;16.9500007629;11.0;6;22.0;2;25.25;12.5;6;26.3609591722;
21;1;16.9500007629;11.0;6;22.0;2;25.25;12.5;6;26.3968753815;
22;1;16.9500007629;11.0;7;22.0;2;25.25;12.5;6;26.4332377911;
23;1;16.9500007629;11.0;8;22.0;2;25.25;12.5;7;26.4700255394;
24;1;16.9500007629;11.0;8;22.0;2;25.9115104675;12.5;7;26.5072168112;
25;1;16.9500007629;11.0;8;22.0;2;25.25;13.5;6;26.5447884798;
26;1;14.9500007629;12.0;9;22.0;2;25.25;12.5;6;26.5827163458;
27;1;13.9500007629;13.0;9;22.0;2;25.25;12.5;5;26.6209751368;
28;2;13.9500007629;14.5;8;23.0;2;25.25;13.5;5;26.6595385075;
29;3;14.0;15.0;7;35.8250000477;2;25.9967918396;12.5;4;26.6983793974;
30;4;15.0;16.0;5;36.5423185825;2;24.0142707825;13.5;2;26.7374696732;
31;4;16.0;17.0;5;37.2111722231;2;23.0318603516;14.5;2;26.7767804861;
32;4;17.0;18.0;5;37.8290848732;2;22.0495510101;15.5;2;26.8162822723;
33;4;18.0;19.0;4;38.395737648;2;21.0673274994;16.5;2;26.8559447527;
34;4;19.0;20.0;4;38.9126293659;2;20.0851745605;17.5;1;26.8957372904;
35;4;20.0;21.0;4;39.3826588392;2;19.1030807495;18.5;1;26.9356285334;
36;4;21.0;22.0;5;39.8096944094;2;18.1210327148;19.5;2;26.9755871296;
37;4;22.0;23.0;5;40.198174119;2;17.1390151978;20.5;2;27.015581131;
38;4;23.0;24.0;4;40.5527684689;2;16.1570110321;21.5;2;27.0555787086;
39;4;24.0;25.0;5;40.8651165962;2;15.1750106812;22.5;3;27.0955479145;
40;4;25.0;26.0;5;41.0001642704;2;14.9429969788;23.5;4;27.135456562;
41;4;26.0;27.0;5;41.1407959461;2;15.9609556198;22.5;5;27.17527318;
42;4;27.0;28.0;6;41.2868545055;2;16.0;22.5;6;27.2149660587;
43;5;28.0;29.0;5;41.4381308556;2;17.9967346191;22.5;6;27.2545039654;
44;5;29.0;30.0;5;41.5943615437;2;19.0145263672;22.5;7;27.293856144;
45;6;31.0;28.0;3;51.755228281;2;19.0;22.5;8;27.3329925537;
46;6;32.0;30.0;4;52.3203582764;2;21.0;22.5;8;27.3718836308;
47;6;33.0750007629;32.0;4;52.8637270927;2;22.0673484802;22.5;10;27.4105007648;
48;6;35.0750007629;33.0;4;53.3835978508;2;22.0;23.5;10;27.4488155842;
49;6;37.8651237488;35.0;6;53.8788673878;2;23.0;22.5;11;27.4868011475;
50;6;39.9045372009;37.0;6;54.3490045071;2;24.0;22.5;12;27.5244314671;
51;6;41.464881897;38.0;5;54.7939662933;2;25.0;22.5;12;27.5616812706;
52;6;41.625164032;39.0;8;55.2141098976;2;25.25;22.5;13;27.5985264778;
53;6;41.6971473694;38.0;8;55.6101007462;2;25.25;22.5;12;27.6349442005;
54;6;41.7617607117;37.0;9;55.9828238487;2;25.25;22.5;13;27.6709127426;
55;6;41.8194618225;36.0;9;56.3333077431;2;25.25;22.5;13;27.7064116001;
56;6;41.8707542419;35.0;9;57.6626615524;2;25.25;22.5;13;27.7414214611;
57;7;42.9161682129;35.0;7;72.9279484749;2;25.25;22.5;14;27.7759244442;
58;7;44.9250030518;36.0;7;76.6263647079;2;25.25;22.5;14;27.8099038601;
59;7;46.8925018311;37.0;7;79.79197824;2;25.25;23.5;15;27.84334445;
60;7;45.5194206238;40.0;7;82.5358047485;2;24.25;23.5;16;27.8762321472;
61;7;45.0580825806;43.0;7;84.8831964731;2;23.544303894;24.5;16;27.9085543156;
62;8;44.5156173706;45.0;7;86.9008487463;2;22.5588493347;25.5;11;27.940299511;
63;8;43.9004631042;48.0;7;89.9009175301;2;21.573135376;26.5;11;27.9714579582;
64;9;45.2843856812;52.0;6;93.4070063829;2;20.5871562958;27.5;12;28.0;
65;9;46.7715568542;56.0;7;95.558678031;2;19.6000003815;28.5;12;28.0;
66;9;47.1755027771;60.0;7;97.2884626389;2;18.6000003815;29.5;14;28.0;
67;9;47.5075759888;64.0;7;98.4001857042;3;17.6000003815;30.5;14;29.0599999428;
68;9;47.6793518066;68.0;7;99.1614917517;3;17.25;29.5;14;29.8993647099;
69;9;45.6793518066;72.3351135254;8;99.6582860947;3;16.25;29.5;14;30.5525453091;
70;8;42.6793518066;69.4593429565;9;98.5756547451;4;15.6801128387;30.5;12;32.5131220818;
71;9;41.6793518066;73.4593429565;9;99.9436469078;4;17.7061691284;29.5;12;32.8606659174;
72;9;41.9000015259;78.0593414307;9;100.483362317;4;18.25;30.5;12;33.0333904028;
73;9;42.9000015259;82.0593414307;9;101.044073582;4;19.25;31.5;12;33.2118891478;
74;9;42.9000015259;86.0593414307;10;101.629242778;4;18.25;31.5;12;34.3962053061;
75;9;44.3905334473;87.0593414307;10;102.242810607;4;19.25;31.5;14;34.6663411856;
76;9;42.9000015259;91.0593414307;12;102.889081955;5;22.25;32.5;13;35.9477878809;
77;9;42.9000015259;94.0593414307;12;103.572548866;5;24.25;34.0;14;36.3606902361;
78;9;42.9000015259;97.0593414307;10;104.297644615;5;22.25;37.0;14;36.7981785536;
79;9;43.9000015259;97.0593414307;12;105.06842041;6;21.25;41.0;13;37.2613320351;
80;9;42.9000015259;100.059341431;11;105.888143539;6;20.25;42.7288513184;14;39.2254385948;
81;9;42.9000015259;103.059341431;13;106.758838654;6;21.0;43.7838249207;15;40.8760026693;
