Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;11.0;6;20.0;
5;2;7.55000019073;9.69999980927;4;18.0;1;10.0;10.0;6;20.0;
6;2;8.7750005722;8.5;4;18.0449999571;1;11.0;10.0;6;20.0;
7;2;9.06012439728;8.5;4;18.0915547609;2;12.0;10.3000001907;5;21.0;
8;2;9.07059955597;8.5;4;18.1396753788;2;13.4499998093;10.0;5;21.4999996424;
9;2;9.08142662048;8.5;4;18.5407658815;2;14.4949998856;10.1999998093;5;21.9353003502;
10;2;9.17167282104;8.67000007629;4;18.8922410011;2;14.8708848953;10.3632001877;5;23.1829590797;
11;2;9.25075435638;8.81392192841;4;19.2003221512;2;15.4323320389;10.9097137451;5;24.267437458;
12;2;9.32007312775;8.93486309052;4;20.2124831676;2;15.9203472137;11.3658018112;4;25.2018244267;
13;2;9.54780864716;9.39324569702;5;21.1049286127;2;18.5098686218;11.7372808456;4;26.0066431761;
14;2;11.3642339706;9.78903102875;5;21.8813476562;2;20.5098686218;12.0336990356;4;26.7056586742;
15;2;13.3642339706;10.1240053177;5;22.5507258177;2;21.7966518402;12.2662630081;4;27.3226804733;
16;2;15.3642339706;10.4026165009;5;23.1252521276;2;22.9123077393;12.446267128;4;27.7113106251;
17;2;16.4399528503;10.6309299469;5;23.6184784174;2;24.0388336182;12.5;4;28.0173821449;
18;2;17.4677772522;10.8157100677;5;24.0439376831;2;25.1765651703;12.5;5;28.3487696648;
19;2;18.4968948364;10.9637317657;5;24.2515797615;2;26.3256893158;12.5;5;28.7054548264;
20;2;19.4566059113;11.0;5;24.3922679424;2;26.9174537659;12.5;5;29.0869145393;
21;2;19.4882602692;11.0;6;24.5383813381;2;27.0891113281;12.5;5;29.4920539856;
22;2;18.9500007629;12.0;6;24.6897099018;3;27.2714233398;12.5;5;29.9191560745;
23;2;18.9500007629;12.3448553085;6;24.8459899426;3;27.4636192322;12.5;5;30.3658571243;
24;2;18.9500007629;12.4229946136;6;25.0069024563;3;27.6646347046;12.5;5;30.8291530609;
25;2;18.9500007629;12.5034513474;7;25.1720745564;3;27.8731193542;12.5;5;31.3054442406;
26;2;18.9500007629;12.5860376358;7;25.3410804272;3;26.0874500275;13.5;5;31.790620327;
27;2;18.9500007629;12.670539856;7;25.5134441853;3;25.3057785034;14.5;5;32.2801818848;
28;2;18.9500007629;12.7567224503;7;25.6886439323;3;24.5260810852;15.5;5;32.7693967819;
29;2;17.7799453735;12.0;7;25.8661177158;3;23.5260810852;14.5;5;33.2534770966;
30;2;16.8198776245;13.0;7;26.0452690125;3;22.5260810852;14.5;5;33.7277650833;
31;2;15.8601865768;14.0;7;26.2254748344;3;22.5260810852;15.5;6;34.187912941;
32;2;14.9507312775;15.0;7;26.4060935974;3;22.3845596313;16.5;6;34.6300430298;
33;2;14.9913711548;16.0;8;26.5864748955;3;21.5835189819;17.5;6;35.0508718491;
34;2;15.0319566727;17.0;8;26.7659678459;3;20.7728919983;18.5;6;35.4477939606;
35;2;15.0723428726;18.0;8;26.9439306259;3;19.9515075684;19.5;7;35.8189210892;
36;2;15.1123847961;19.0;8;27.1197400093;3;19.1185150146;20.5;7;36.1630792618;
37;2;15.1519412994;20.0;8;27.2928004265;3;19.0233860016;21.5;7;36.4797668457;
38;2;15.1908798218;21.0;8;27.4625511169;3;19.165895462;22.5;8;37.7690839767;
39;2;15.2290744781;22.0;9;27.6284732819;3;21.296087265;22.5;8;38.1216419935;
40;2;14.0;24.0;8;27.790096283;3;21.296087265;23.5;8;38.4555869102;
41;2;14.0;26.0;8;27.9470024109;3;21.830291748;24.5;10;38.7726391554;
42;2;14.0;28.0;9;28.0988292694;3;21.877368927;25.5;9;39.0747241974;
43;2;14.0;30.0;9;28.2452726364;3;23.296087265;27.5;9;39.3638825417;
44;2;14.0;32.0;9;28.3860864639;3;25.296087265;28.5;9;39.6421874762;
45;2;14.0;33.7474784851;10;28.5210828781;3;28.0404624939;27.5;10;39.7922235727;
46;2;14.0;34.8689727783;11;28.6501297951;3;27.1025886536;28.5;11;39.9393253326;
47;2;14.0;35.9851150513;11;28.7731485367;3;26.7226963043;29.5;12;40.0956480503;
48;2;15.0;34.0958328247;12;28.8901109695;3;25.7930412292;30.5;12;40.261295557;
49;2;14.0;35.2010993958;13;29.0010342598;3;24.8675842285;31.5;13;40.4362905025;
50;2;14.0;36.3009300232;13;29.1059775352;5;23.9463310242;32.5;7;55.6205644608;
51;2;15.0;34.3953781128;15;29.2050366402;5;26.0292549133;31.5;7;56.5639474392;
52;2;14.0;35.4845352173;15;29.2983393669;5;26.8500003815;32.5;9;57.435533762;
53;2;14.0;36.5685043335;15;29.3860406876;5;28.8500003815;31.5;10;58.2340929508;
54;2;16.0;33.0;16;29.4683179855;5;28.8500003815;32.5;11;58.9616305828;
55;2;17.6803722382;32.0;16;29.5;5;29.8500003815;34.5;11;59.622518301;
56;2;18.6875;31.0;17;29.5;5;31.8500003815;33.5;11;60.2226245403;
57;2;19.6875;30.0;17;29.5;5;31.8500003815;35.5;11;61.7685303688;
58;2;20.6375007629;29.0;19;29.5;6;33.8499984741;38.5;9;91.3069052696;
59;2;20.6375007629;28.0;19;29.5;6;36.8499984741;42.5;10;93.4515333176;
60;2;20.6375007629;27.0;19;29.5;6;39.8499984741;43.5;10;95.0520589352;
61;2;20.6375007629;26.0;20;29.5;6;42.0999984741;45.5;11;96.2910803556;
62;2;20.6375007629;25.0;20;29.5;7;41.4079742432;49.5;10;97.2471550703;
63;3;20.6375007629;24.0;19;29.5;7;41.4079742432;51.5;9;100.70491457;
64;3;20.6375007629;23.0;19;29.5;7;41.0999984741;55.6409912109;9;103.456917644;
65;3;20.6375007629;22.0;19;29.5;7;42.0999984741;54.6776428223;10;105.577064633;
66;3;20.6375007629;21.0;20;29.5;7;41.0999984741;57.4031562805;11;106.991456509;
67;3;20.6375007629;21.0;20;29.5;7;42.0999984741;57.4430160522;11;108.029139161;
68;3;20.6375007629;21.0;20;29.5;8;42.0999984741;60.4844970703;12;109.608170629;
69;3;20.6375007629;21.0;20;29.5;8;44.0999984741;63.6872596741;11;110.253938794;
70;3;20.6375007629;21.0;20;29.5;8;44.0999984741;66.5722961426;11;110.766227365;
71;3;20.6375007629;21.0;20;29.5;8;42.9000015259;71.6185760498;11;111.234615922;
72;4;20.6375007629;21.0;17;51.5;7;39.9000015259;57.6664237976;10;90.704254508;
73;4;22.6375007629;23.0;18;51.3399991989;9;39.9000015259;58.7157897949;8;103.924921751;
74;5;24.6375007629;25.0;17;51.2011828423;9;38.0499992371;59.6872596741;9;106.193426013;
75;5;22.9500007629;27.0;17;51.0815517902;9;39.0499992371;63.6872596741;9;107.464807749;
76;6;24.9500007629;30.0;15;51.9793061018;9;39.7999992371;67.8724822998;9;108.67508769;
77;6;27.9500007629;33.0;16;52.0003201962;9;40.7999992371;71.9273529053;10;109.820806146;
