Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;11.0;10.0;6;20.0;
7;1;8.82499980927;8.5;5;17.0;1;11.0;10.0;6;20.3999996185;
8;1;8.82499980927;8.5;5;17.0;2;11.4200000763;10.1999998093;5;21.7264003754;
9;1;8.82499980927;8.5;4;17.3400001526;2;11.2179203033;10.3632001877;5;22.030371666;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;11.2971115112;10.4951858521;5;23.9939109087;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;11.8644580841;11.4407634735;5;25.69934237;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;12.3531017303;12.2551708221;5;27.1258585453;
13;1;9.22696018219;9.39324569702;4;19.5780620575;2;14.3531017303;12.9279375076;5;28.2828274965;
14;1;11.0206890106;9.78903102875;4;20.2480106354;2;16.3531017303;13.4636869431;5;29.200268507;
15;1;12.0206890106;10.1240053177;4;20.8052330017;2;17.3264255524;13.8773756027;5;29.9181779623;
16;1;13.0206890106;10.4026165009;4;21.2618598938;2;17.5133743286;14.1889572144;5;30.4779887199;
17;1;14.0206890106;10.6309299469;4;21.6314201355;2;19.3264255524;14.4191141129;5;30.7440532446;
18;1;15.0206890106;10.8157100677;4;21.9274635315;2;20.3264255524;14.5;5;30.8531602621;
19;1;16.0206890106;10.9637317657;4;22.0;2;21.3264255524;14.5;5;30.9670710564;
