Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;2;8.0;10.3000001907;5;21.0;
6;1;8.55000019073;8.5;4;17.0;2;9.22500038147;10.0;5;21.0599999428;
7;1;8.82499980927;8.5;4;17.0;2;9.73849964142;10.0;5;21.1229639053;
8;1;8.82499980927;8.5;4;17.0;2;9.75266647339;10.0;5;21.6001901627;
9;1;8.82499980927;8.5;4;17.3400001526;2;9.86004257202;10.1999998093;5;22.0082015991;
10;1;8.9015007019;8.67000007629;3;17.6278438568;2;9.95184516907;10.3632001877;5;22.3582868576;
11;1;8.96626472473;8.81392192841;3;17.869726181;2;10.0306148529;10.4951858521;5;23.5279067755;
12;1;9.02068901062;8.93486309052;2;18.786491394;2;10.2937793732;11.0209560394;5;24.5268628597;
13;1;9.22696018219;9.39324569702;3;19.5780620575;2;12.0856485367;11.4571752548;5;25.3691681623;
14;1;11.0206890106;9.78903102875;3;20.2480106354;2;14.0856485367;11.8107032776;4;26.0752547979;
15;1;12.0206890106;10.1240053177;3;20.8052330017;2;16.0856494904;12.0916318893;4;26.6680037975;
16;1;13.0206890106;10.4026165009;3;21.2618598938;2;17.1830482483;12.3113050461;4;27.1698563099;
17;1;14.0206890106;10.6309299469;3;21.6314201355;2;18.2196559906;12.4808797836;4;27.3801496029;
18;1;15.0206890106;10.8157100677;3;21.9274635315;2;19.2583675385;12.5;5;27.5615134239;
19;1;16.0206890106;10.9637317657;3;22.0;2;20.2013397217;12.5;5;27.7520513535;
20;1;16.9500007629;11.0;4;22.0;2;20.2442111969;12.5;5;27.9515185356;
21;1;16.9500007629;11.0;4;22.0;2;20.2890911102;12.5;5;28.1595556736;
22;1;16.9500007629;11.0;4;22.0;2;20.335899353;12.5;6;28.3756833076;
23;1;16.9500007629;11.0;4;22.0;3;20.3845291138;12.5;6;28.5992991924;
24;1;16.9500007629;11.0;4;22.0;3;19.625;12.5;7;28.8296794891;
25;1;16.9500007629;11.0;5;22.0;3;20.4866771698;12.5;7;29.0659828186;
26;1;16.9500007629;11.0;6;22.0;3;20.5398464203;12.5;7;29.3072590828;
27;1;16.9500007629;11.0;7;22.0;3;20.5941333771;12.5;7;29.5524601936;
28;1;16.9500007629;11.0;7;22.0;3;19.625;13.5;7;29.8004574776;
29;1;16.9500007629;11.0;7;22.0;3;18.625;13.5;7;30.0500593185;
30;1;16.9500007629;11.0;7;22.0;3;17.7612628937;14.5;7;31.3000340462;
31;1;16.9500007629;11.0;7;22.0;3;17.8175086975;15.5;7;31.6791337729;
32;1;16.9500007629;11.0;7;22.0;3;17.8735542297;16.5;7;32.0715492964;
33;1;14.9500007629;12.0;7;22.0;3;17.5910987854;17.5;8;32.4775042534;
34;1;13.9500007629;13.0;7;22.0;3;17.6824378967;18.5;8;32.8973038197;
35;1;12.9500007629;14.0;7;22.0;3;17.7768936157;19.5;8;33.331323266;
36;1;12.0;15.0;7;22.0;3;17.8745479584;20.5;8;33.7799856663;
37;1;12.0;16.0;8;22.0;3;17.9754962921;21.5;8;34.2437281609;
38;1;12.0;17.0;8;22.0;3;18.0798397064;22.5;8;34.7229516506;
39;1;12.0;18.0;8;22.0;4;16.5741729736;24.5;8;35.2179586887;
40;1;12.0;19.0;7;22.0;4;16.0;26.5;8;35.7288818359;
41;1;12.0;20.0;7;22.0;4;16.7112922668;28.5;8;36.2556011677;
42;1;12.0;21.0;8;22.0;4;16.7883872986;30.5;8;36.7976613045;
43;1;12.0;22.0;8;22.0;4;16.871137619;32.5;9;37.3541893959;
44;1;12.0;23.0;8;22.0;4;16.9593696594;34.163230896;9;37.9238238335;
45;1;12.0;24.0;9;22.0;5;17.0527744293;35.2713775635;8;38.5046648979;
46;1;12.0;25.0;9;22.0;5;18.1509037018;33.3726768494;9;39.0942473412;
47;1;12.0;26.0;9;22.0;5;17.2531604767;34.4672546387;10;39.689555645;
48;1;12.0;27.0;10;22.0;5;18.0;32.5;10;40.2870678902;
49;1;12.0;28.0;10;22.0;5;20.9726104736;32.5;10;41.8828477859;
50;1;12.0;29.0;11;22.0;5;23.5736408234;33.5;10;42.4926719666;
51;1;12.0;30.0;12;22.0;5;25.7063503265;34.5;10;44.0253210068;
52;1;13.0;28.0;12;22.0;5;26.2590427399;36.5;11;44.6560025215;
53;1;12.0;29.0;12;22.0;5;27.8886299133;38.5;10;45.2905285358;
54;1;12.0;30.0;13;22.0;6;28.9369716644;38.5;10;45.9261658192;
55;1;13.0;28.0;13;22.0;6;30.221414566;38.5;10;46.5607362986;
56;2;13.0;30.0;13;23.0;6;29.8594074249;39.2859687805;11;47.1926900148;
57;2;14.0;30.0;13;23.1074999571;7;30.2091445923;38.5;10;47.8211293221;
58;2;15.2491874695;28.0;14;23.2253656387;7;28.4108276367;38.5;8;48.4457805157;
59;2;14.2757072449;29.0;15;23.3543308973;7;29.4657287598;38.3305511475;8;49.0669082403;
60;2;15.0;28.0;14;23.4951226711;7;27.6499996185;38.3456115723;8;49.68519485;
61;2;16.0;28.0;15;23.6484457254;7;27.6499996185;38.3607635498;9;51.3015825748;
62;2;17.0;28.0;13;23.8149644136;7;28.6499996185;39.3760032654;9;51.9571005106;
63;2;18.0;28.0;14;23.9952818155;7;30.4383869171;40.5;9;52.6138672829;
64;2;18.9500007629;28.0;14;24.1899158955;7;30.6499996185;41.5;10;53.2725538015;
65;2;18.9500007629;28.0;15;24.399273634;8;32.6093673706;41.5;9;54.9334108829;
66;2;18.9500007629;28.0;16;24.6236231327;8;31.9653739929;44.5;10;55.7261496782;
67;2;18.9500007629;27.8859863281;16;24.8630647659;8;32.8009033203;47.3482894897;11;56.4868789911;
68;2;18.9500007629;27.1493721008;17;25.1175034046;8;34.4731254578;45.5;11;57.1881455183;
69;2;18.9500007629;26.4292526245;18;25.3866217136;8;34.2670707703;47.5;11;57.9201515913;
70;2;18.9500007629;25.7252845764;18;25.6698577404;8;35.8794326782;47.5;13;58.6800177097;
71;2;18.9500007629;25.0368423462;18;25.9663875103;8;36.1517105103;49.4816627502;14;61.2390625477;
72;2;18.9500007629;25.3630256653;19;26.2751159668;8;35.7286911011;49.0;14;63.567666769;
73;2;18.9500007629;25.702627182;21;26.5946760178;8;36.1038589478;50.3899993896;15;65.6965222359;
74;2;18.9500007629;26.0541439056;22;26.9234399796;8;36.8290901184;49.6872596741;17;67.6579890251;
75;2;18.9500007629;26.4157829285;22;27.2595415115;8;38.7281150818;48.9097442627;17;69.3338606358;
76;2;18.9500007629;26.7854957581;22;27.6009097099;8;36.9615135193;50.0;18;70.805062294;
77;2;18.9500007629;27.1610012054;23;27.9453148842;8;35.1540107727;52.0;19;72.2455018759;
78;2;18.9500007629;27.5398464203;23;28.2904214859;8;33.9147529602;53.0;21;73.4499704838;
79;2;18.9500007629;27.9194641113;25;28.633852005;9;33.4019546509;53.0;20;74.608201623;
