Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;13.3000001907;4;17.0;1;6.0;14.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;13.0;6;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;12.0;6;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.0;11.0;6;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.0;10.0;6;20.0;
6;1;8.55000019073;8.5;5;17.0;1;9.0;10.0;5;20.0;
7;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;5;20.0;
8;1;8.82499980927;8.5;5;17.0;1;9.5;10.0;5;20.3999996185;
9;2;8.82499980927;8.89999961853;4;18.3400001526;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;9.12650108337;8.67000007629;4;18.6828438044;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;9.20363998413;8.81392192841;4;18.9821708202;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;9.27098941803;8.93486309052;4;19.9811184406;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;9.49575138092;9.39324569702;5;20.8599610329;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;11.3091163635;9.78903102875;5;21.6224384308;1;12.7228336334;11.8107032776;4;24.1832637787;
15;2;13.3091163635;10.1240053177;5;22.2775965929;1;13.7228336334;12.0916318893;4;24.6226100922;
16;2;15.3091163635;10.4026165009;5;22.837695837;1;14.7228336334;12.3113050461;4;24.9617595673;
17;2;16.37525177;10.6309299469;5;23.3163695335;1;15.7228336334;12.4808797836;4;25.0;
18;2;17.3998031616;10.8157100677;5;23.7272430658;1;16.7228336334;12.5;4;25.0;
19;2;18.4256401062;10.9637317657;5;23.9203687906;1;17.625;12.5;4;25.0;
20;2;19.3820838928;11.0;5;24.0467219353;1;17.625;12.5;6;25.0;
21;2;19.4105129242;11.0;6;24.1788024902;1;17.625;12.5;6;25.0;
22;2;18.9500007629;12.0;6;24.3165287971;1;17.625;12.5;5;25.0;
23;2;18.9500007629;12.1582641602;6;24.4597706795;1;17.625;12.5;6;25.0;
24;2;18.9500007629;12.2298851013;6;24.6083464622;1;17.625;12.5;7;25.0;
25;2;18.9500007629;12.3041734695;6;24.7620213032;1;17.625;12.5;8;25.0;
26;2;18.9500007629;12.3810110092;6;24.9205055237;1;17.625;12.5;8;25.0;
27;2;18.9500007629;12.4602527618;6;25.0834550858;1;17.625;12.5;8;25.0;
28;2;18.9500007629;12.541727066;6;25.2504718304;1;17.625;12.5;8;25.0;
29;2;18.9500007629;12.6252355576;6;25.4211063385;1;17.625;12.5;8;25.0;
30;3;18.9500007629;12.7105531693;5;25.5948607922;1;17.625;12.5;8;25.0;
31;3;17.7588443756;12.0;5;25.7711937428;1;15.625;13.5;8;25.0;
32;3;16.7985191345;13.0;5;25.9495260715;1;14.625;14.5;8;25.0;
33;3;15.8386440277;14.0;5;26.1292481422;1;13.625;15.5;8;25.0;
34;3;14.9290809631;15.0;6;26.3097271919;1;12.625;16.5;8;25.0;
35;3;14.9696884155;16.0;6;26.490316391;1;12.0;17.5;8;25.0;
36;3;15.0103206635;17.0;6;26.670363903;1;12.0;18.5;8;25.0;
37;3;15.0508317947;18.0;6;26.8492217064;1;12.0;19.5;8;25.0;
38;3;15.0910749435;19.0;6;27.0262560844;1;12.0;20.5;9;25.0;
39;3;15.1309070587;20.0;6;27.2008552551;1;12.0;21.5;9;25.0;
40;3;15.1701927185;21.0;6;27.3724389076;1;12.0;22.5;10;25.0;
41;3;15.2087993622;22.0;7;27.5404653549;1;12.0;23.5;10;25.0;
42;3;15.2466049194;23.0;7;27.7044372559;1;12.0;24.5;10;25.0;
43;3;14.0;25.0;7;27.8639082909;2;12.0;25.5;9;35.0;
44;3;14.0;27.0;8;28.0184864998;2;13.0;26.5;9;35.3999996185;
45;3;14.0;29.0;8;28.1678361893;2;14.0;27.5;9;35.7743997574;
46;3;14.0;31.0;10;28.3116803169;2;15.0;28.5;11;36.1219387054;
47;3;14.0;33.0;11;28.4498000145;2;16.0;29.5;12;36.4420347214;
48;3;14.0;34.8048210144;11;28.5820336342;2;18.0;27.5;13;36.7347183228;
49;3;14.0;35.923828125;14;28.7082748413;2;18.0;28.5;13;37.0005426407;
50;3;15.0;34.0374488831;14;28.8284687996;2;19.0;29.5;14;37.2404880524;
51;3;14.0;35.1456222534;14;28.9426088333;2;20.5082206726;27.5;14;37.4558610916;
52;3;14.0;36.2483482361;15;29.0507326126;2;19.6051368713;28.5;17;37.6481971741;
53;3;15.0;34.3456573486;16;29.1529164314;2;19.6916885376;29.5;17;37.8191757202;
54;3;17.0;32.0;16;29.2492723465;2;20.7686290741;28.5;17;37.9705476761;
55;3;17.0;32.0;17;29.3399410248;2;21.8367462158;28.5;18;38.0;
56;3;18.0;32.0;18;29.4250888824;2;22.8500003815;28.5;19;38.0;
57;3;18.9500007629;32.0;18;29.5;2;23.8500003815;28.5;20;38.0;
58;3;18.9500007629;32.0;19;29.5;2;24.8500003815;28.5;20;38.0;
59;3;18.9500007629;32.0;20;29.5;2;25.4750003815;27.5;21;38.0;
60;3;18.9500007629;32.0;20;29.5;2;25.4750003815;26.5;21;38.0;
61;3;18.9500007629;31.75;21;29.5;2;25.4750003815;25.5;20;38.0;
62;3;18.9500007629;30.75;22;29.5;2;25.4750003815;24.5;20;38.0;
63;3;18.9500007629;29.75;22;29.5;3;25.4750003815;23.5;14;43.0;
64;3;18.9500007629;28.75;23;29.5;3;26.4750003815;23.5;14;43.1500000954;
65;3;18.9500007629;27.75;23;29.5;3;27.4750003815;24.5;14;43.2967748642;
66;3;18.9500007629;27.75;23;29.5;3;28.4750003815;25.5;15;43.4399585724;
67;3;18.9500007629;27.75;23;29.5;3;29.4750003815;26.5;16;43.5792236328;
68;3;18.9500007629;27.75;23;30.5;3;30.4750003815;27.5;16;43.7142839432;
69;3;19.9500007629;28.75;24;30.5199999809;3;31.4750003815;27.5;17;43.8448963165;
70;3;20.9500007629;29.75;23;30.5401959419;3;32.4749984741;27.5;18;43.9708600044;
71;3;20.9500007629;30.75;24;30.5605818033;3;31.4750003815;28.5;17;44.0920171738;
72;3;20.9500007629;31.75;24;30.5811508894;3;31.3026065826;29.5;15;44.2082519531;
73;3;20.9500007629;32.75;23;30.6018965244;4;31.3374767303;31.5;15;45.3194880486;
74;3;20.9500007629;32.75;24;30.6228116751;4;31.370847702;33.5;15;45.4656877518;
75;3;20.9500007629;32.75;25;30.6438889503;5;30.7777061462;35.5;13;60.6080322266;
76;4;20.9500007629;32.75;24;30.6651208401;5;31.8080539703;38.5;13;61.4965522289;
77;4;20.9500007629;32.75;24;30.6864993572;5;32.8368988037;41.5;13;63.8981513977;
78;4;20.9500007629;32.75;26;30.7080165148;5;33.9812583923;43.5;13;65.945497632;
79;4;20.9500007629;32.75;25;30.7296639681;5;35.1109848022;45.5;14;67.6698089838;
80;4;20.9500007629;32.75;25;30.7514331341;5;36.2270812988;47.5;14;69.1101557016;
81;4;20.9500007629;32.75;26;30.7733153105;5;37.3306236267;48.5;14;70.0988074541;
82;5;20.9500007629;32.75;25;33.280387044;4;36.4000015259;44.5;14;69.0817604065;
