Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;13.3000001907;4;17.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;12.3000001907;5;17.0;1;11.8999996185;8.625;5;17.25;
3;1;7.55000019073;11.3000001907;5;17.0;2;12.2999992371;8.625;4;18.25;
4;1;7.55000019073;10.3000001907;5;17.0;2;12.2999992371;8.625;3;18.2875000238;
5;2;7.55000019073;9.69999980927;4;18.0;2;13.5225000381;8.625;3;18.3260172606;
6;2;8.7750005722;8.5;4;18.0674999952;2;14.5456104279;8.625;3;18.7213094234;
7;2;9.06518745422;8.5;4;18.1388356686;2;15.5757856369;8.79749965668;3;19.0645833015;
8;2;9.08123779297;8.5;4;18.2141259909;2;16.4387512207;8.94309806824;2;19.9107559919;
9;2;9.09817790985;8.5;4;18.6456211805;2;16.9464530945;9.3333568573;2;20.6481348276;
10;2;9.19526576996;8.67000007629;4;19.0306602716;2;17.388879776;9.6677980423;2;21.2830202579;
11;2;9.28189849854;8.81392192841;4;19.3756101131;2;19.388879776;9.94955635071;2;21.8250879049;
12;2;9.35951328278;8.93486309052;4;20.4466397762;2;20.6013565063;10.1834592819;2;22.2857775688;
13;2;9.60049343109;9.39324569702;4;21.4057168961;2;21.4502677917;10.3752222061;2;22.6770049334;
14;2;11.4319114685;9.78903102875;4;22.257011652;2;22.6013565063;10.5308046341;3;22.9483398199;
15;2;13.4319114685;10.1240053177;4;23.0099308491;2;23.6013565063;10.625;3;23.0341341496;
16;2;15.4319114685;10.4026165009;4;23.6770029068;2;24.6013565063;10.625;3;23.1227318048;
17;2;16.5640964508;10.6309299469;4;24.2720131874;2;25.6013565063;10.625;3;23.2140699625;
18;2;17.6148223877;10.8157100677;4;24.8085989952;2;27.6013565063;10.625;3;23.3080689907;
19;2;18.6689453125;10.9637317657;4;25.1366593838;2;27.9848403931;10.625;3;23.4046320915;
20;2;19.6557483673;11.0;4;25.4068305492;2;28.0427799225;10.625;3;23.5036454201;
21;2;19.7165374756;11.0;4;25.6910681725;2;28.1021881104;10.625;4;23.6049773693;
22;2;18.9500007629;12.0;4;25.9885287285;2;28.1629867554;10.625;4;23.708479166;
23;2;18.9500007629;12.9942646027;6;26.2980971336;2;28.2250881195;10.625;4;23.8139853477;
24;2;19.9170722961;11.0;6;26.6183872223;2;28.2883911133;10.625;4;23.9213142395;
25;2;18.9500007629;12.0;6;26.9477529526;2;28.3527889252;10.625;4;24.0302686691;
26;2;17.9500007629;12.0;7;27.2843112946;2;28.4181613922;10.625;4;24.1406378746;
27;2;17.1389713287;13.0;8;27.6259784698;2;28.4843826294;10.625;4;24.2521979809;
28;2;16.2158470154;14.0;9;27.9705147743;2;28.5513191223;10.625;4;24.3647143841;
29;2;15.3433656693;15.0;9;28.3155798912;2;28.6188278198;10.625;4;24.477943182;
30;3;15.421005249;16.0;8;28.6587948799;2;28.6867656708;10.625;4;24.5916330814;
31;4;14.0;18.0;7;46.2478079796;2;28.7549800873;10.625;5;24.7055282593;
32;4;15.0;20.0;7;47.4428563118;2;28.8233165741;10.625;5;24.8193695545;
33;4;16.0;22.0;7;48.5162367821;2;28.891620636;10.625;5;24.9328980446;
34;4;17.0;24.0;7;49.4687919617;2;28.9597396851;12.625;5;25.0458562374;
35;4;18.0;26.0;6;50.3062381744;2;29.027513504;14.625;5;25.1579911709;
36;4;19.0;28.0;6;51.0374822617;2;29.0947952271;16.625;6;25.269056797;
37;4;20.0;30.0;7;51.6731157303;2;29.1614341736;18.625;6;25.3788151741;
38;4;21.0;31.9472198486;7;52.2242221832;2;29.2272891998;20.625;7;25.4870390892;
