Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.6999998093;4;21.0;
3;2;7.55000019073;11.6999998093;3;18.0;1;8.0;10.6999998093;4;21.0;
4;2;7.7000002861;10.3000001907;3;18.0900000334;1;8.14999961853;10.5;4;21.0;
5;2;7.71350002289;9.30000019073;3;18.1871190071;1;8.14999961853;10.5;4;21.0;
6;2;8.81710243225;8.5;3;18.2917383909;2;9.14999961853;10.6999998093;3;22.0;
7;2;9.11564064026;8.5;3;18.4042263031;2;9.95000076294;10.5;3;22.0900000334;
8;2;9.14095115662;8.5;3;18.5249304771;2;9.9702501297;10.5;3;22.618019104;
9;2;9.16810894012;8.5;3;19.0094188452;2;10.0890541077;10.7100000381;3;23.0738848448;
10;2;9.27711963654;8.67000007629;3;19.4530290365;2;10.1916246414;10.8792181015;3;23.442843914;
11;2;9.37693119049;8.81392192841;2;19.8623687029;2;10.2746400833;11.0;3;25.2073103189;
12;2;9.46903324127;8.93486309052;2;21.0383241177;2;10.6716451645;11.7700004578;3;26.7482377291;
13;2;9.73362255096;9.39324569702;3;22.1169621944;2;12.3826637268;12.4126424789;3;28.074546814;
14;2;11.5919418335;9.78903102875;3;23.1032855511;2;14.3826637268;12.9308347702;3;29.2133922577;
15;2;13.5919418335;10.1240053177;3;24.0072731972;2;16.3826637268;13.3366470337;4;30.2012972832;
16;2;15.5919418335;10.4026165009;3;24.8416755199;3;17.6041641235;13.6469516754;4;31.0766849518;
17;2;16.8261470795;10.6309299469;3;25.6200573444;3;18.696352005;13.879781723;4;31.7709991932;
18;2;17.918132782;10.8157100677;3;26.3553042412;3;19.7984752655;14.0;4;32.2698645592;
19;2;19.0169525146;10.9637317657;3;26.8959589005;3;20.9107208252;14.0;4;32.8134241104;
20;2;20.0515918732;11.0;3;27.390648365;3;21.383020401;14.0;4;33.400015831;
21;2;18.9500007629;12.0;3;27.9086546898;3;21.5150032043;14.0;4;34.0264167786;
22;2;18.9500007629;13.0;3;28.445830822;3;21.6559429169;14.0;4;34.6877307892;
23;2;18.9500007629;14.0;5;28.997218132;3;21.8047389984;14.0;4;35.3773875237;
24;2;18.9500007629;14.4986095428;5;29.5571904182;3;21.9599113464;14.0;4;36.0872850418;
25;2;18.9500007629;14.7785949707;5;30.1196575165;3;22.119638443;14.0;4;36.8080816269;
26;2;18.9500007629;15.0598287582;5;30.6783180237;3;22.2818183899;14.0;4;37.5296325684;
27;3;18.9500007629;15.3391590118;6;31.2269334793;3;22.4441661835;14.0;5;38.2415313721;
28;3;18.9500007629;15.6134662628;6;31.7596101761;3;22.6043434143;14.0;5;38.9337024689;
29;3;18.9500007629;15.8798046112;7;32.2710514069;3;22.7600822449;14.0;5;39.5969734192;
30;3;18.9500007629;16.8798046112;7;32.7567644119;3;20.9093170166;15.0;5;40.2235612869;
31;3;18.9500007629;17.8798046112;7;33.2131996155;3;20.0503005981;16.0;5;40.8074121475;
32;4;18.9500007629;18.8798046112;5;58.6378211975;3;19.1816673279;17.0;5;41.344373703;
33;4;19.9500007629;19.8798046112;5;60.7791051865;3;18.302482605;18.0;5;41.8321943283;
34;4;20.9500007629;20.8798046112;5;62.5408525467;3;17.4122428894;19.0;5;42.2703714371;
35;4;21.9500007629;21.8798046112;6;63.9472885132;3;17.2108345032;20.0;5;42.6598997116;
36;4;22.9500007629;22.4391822815;7;65.0461206436;4;18.2984771729;21.5;4;44.0029563904;
37;4;23.9500007629;22.7011146545;7;65.8933982849;4;19.3756656647;22.0;4;44.462572217;
38;4;23.9500007629;21.7011146545;8;66.4916992188;4;19.7040786743;23.0;5;44.9060665369;
39;4;24.9500007629;21.7011146545;8;66.6951942444;4;19.8038654327;24.0;5;45.3401823044;
40;4;26.9500007629;22.7011146545;9;66.8738899231;4;19.9015407562;25.0;6;45.7718635798;
41;4;28.9500007629;20.7011146545;10;67.0;4;19.9986686707;26.0;7;46.0669906139;
42;5;28.9500007629;21.7011146545;8;79.75;4;20.0650730133;27.0;7;46.375654459;
43;5;30.9500007629;22.7011146545;8;80.3874998093;4;21.1345214844;25.0;8;46.7230784893;
44;5;31.25;21.7011146545;9;80.9715299606;4;20.2126922607;26.0;8;47.1118502617;
45;5;34.25;23.7011146545;9;81.4994401932;4;20.6000003815;26.0;9;47.544028759;
46;5;37.25;25.7011146545;10;81.9707527161;4;21.6000003815;27.0;10;48.0209121704;
47;6;36.4000015259;27.7011146545;8;97.3868265152;4;23.5047054291;28.0;11;48.5427899361;
48;6;34.8620376587;32.7011146545;9;98.5004434586;4;24.622127533;29.0;11;49.1086950302;
49;6;33.9438514709;37.7011146545;9;99.4847564697;4;25.7494564056;30.0;12;49.7161855698;
50;6;33.9147109985;40.7011146545;10;100.34331131;4;26.8861427307;29.0;12;50.3611893654;
51;6;34.975605011;43.7011146545;11;101.083278656;4;27.3312664032;29.0;13;51.0379443169;
52;6;36.0275764465;46.7011146545;11;101.70132637;4;25.8999996185;30.0;13;51.7390680313;
53;6;37.0687484741;48.7011146545;12;102.06908989;4;26.8999996185;29.0;14;52.4557781219;
54;6;37.1905441284;50.7011146545;12;102.377017975;4;27.8025493622;29.0;15;53.1782588959;
55;6;37.2598266602;52.7011146545;12;103.632762909;4;27.9651088715;29.0;16;53.8961582184;
56;6;38.3173713684;55.7011146545;14;103.779999971;4;28.1266345978;29.0;17;54.5991659164;
57;7;39.34375;58.7011146545;14;103.810590982;4;28.2848110199;29.0;17;55.2776012421;
58;7;40.5823822021;58.7011146545;15;103.841766119;4;26.4374599457;30.0;17;55.9229507446;
59;7;39.5893974304;61.7011146545;16;103.873517275;4;25.5826625824;31.0;18;56.5282850266;
60;7;39.5965385437;64.7011108398;17;103.905835032;4;24.5826625824;30.0;18;57.088514328;
61;8;40.6038131714;63.7011146545;15;103.938708901;4;23.5826625824;30.0;19;57.6004695892;
