Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.6999998093;5;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.6999998093;5;21.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.14999961853;10.5;5;21.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.14999961853;10.5;5;21.0;
6;1;8.55000019073;8.5;5;17.0;1;9.14999961853;10.5;5;21.0;
7;1;8.82499980927;8.5;5;17.0;1;9.72500038147;10.5;5;21.0;
8;1;8.82499980927;8.5;4;17.0;1;9.72500038147;10.5;5;21.4200000763;
9;1;8.82499980927;8.5;4;17.3400001526;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;8.9015007019;8.67000007629;4;17.6278438568;1;9.8956489563;10.8792181015;5;22.0;
11;1;8.96626472473;8.81392192841;4;17.869726181;1;9.94999980927;11.0;5;23.5400009155;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;10.296500206;11.970000267;5;25.8252849579;
13;1;9.22696018219;9.39324569702;5;19.5780620575;2;12.1750001907;12.4126424789;5;27.021669507;
14;1;11.0206890106;9.78903102875;5;20.2480106354;2;14.1750001907;12.9308347702;4;28.0170379877;
15;1;12.0206890106;10.1240053177;5;20.8052330017;2;16.1749992371;13.3366470337;4;28.8480272293;
16;1;13.0206890106;10.4026165009;4;21.2618598938;2;17.2996768951;13.6469516754;4;29.5537353754;
17;1;14.0206890106;10.6309299469;3;21.6314201355;2;18.3536891937;13.879781723;4;30.0669906139;
18;1;15.0206890106;10.8157100677;3;21.9274635315;2;19.4150733948;14.0;4;30.375654459;
19;1;16.0206890106;10.9637317657;3;22.0;2;20.4845237732;14.0;4;30.7230784893;
20;1;16.9500007629;11.0;4;22.0;2;20.9126911163;14.0;4;31.1118502617;
21;1;16.9500007629;11.0;4;22.0;2;21.0001659393;14.0;4;31.544028759;
22;1;16.9500007629;11.0;5;22.0;2;21.0974063873;14.0;4;32.0209121704;
23;1;16.9500007629;11.0;5;22.0;2;21.2047042847;14.0;4;32.5427899361;
24;1;16.9500007629;11.0;6;22.0;2;21.3221263885;14.0;4;33.1086950302;
25;1;16.9500007629;11.0;7;22.0;2;21.4494552612;14.0;6;33.7161855698;
26;1;16.9500007629;11.0;7;22.0;2;21.5861415863;14.0;6;34.3611893654;
27;1;16.9500007629;11.0;7;22.0;2;21.7312660217;14.0;6;35.0379443169;
28;1;16.9500007629;11.0;7;22.0;2;21.8835372925;14.0;6;35.7390680313;
29;1;16.9500007629;11.0;7;22.0;2;22.0412902832;14.0;6;36.4557781219;
30;1;16.9500007629;11.0;7;22.0;2;20.2025489807;15.0;8;37.1782588959;
31;1;16.9500007629;11.0;7;22.0;2;19.36510849;16.0;8;37.8961582184;
32;1;16.9500007629;11.0;7;22.0;2;18.5266342163;17.0;8;38.5991659164;
33;1;14.9500007629;12.0;7;22.0;2;17.6848106384;18.0;8;39.2776012421;
34;1;13.9500007629;13.0;7;22.0;2;16.8374595642;19.0;9;39.9229507446;
35;1;12.9500007629;14.0;8;22.0;2;16.6826629639;20.0;10;40.5282850266;
36;1;12.0;15.0;8;22.0;2;16.818862915;21.0;10;41.088514328;
37;1;12.0;16.0;8;22.0;2;16.9449157715;22.0;11;41.6004695892;
38;1;12.0;17.0;8;22.0;2;17.0601062775;23.0;11;42.0628213882;
39;1;12.0;18.0;8;22.0;2;17.1641349792;24.0;12;42.4758720398;
40;1;12.0;19.0;8;22.0;2;17.2570705414;25.0;12;42.8412618637;
41;1;12.0;20.0;8;22.0;2;17.3392829895;26.0;14;43.1616458893;
42;1;12.0;21.0;9;22.0;2;17.4113693237;27.0;14;43.4403705597;
43;1;12.0;22.0;9;22.0;2;18.4740829468;25.0;14;43.6811828613;
44;1;12.0;23.0;9;22.0;2;17.5282669067;26.0;15;43.8879890442;
45;1;12.0;24.0;11;22.0;3;17.574798584;27.0;9;59.0;
46;1;12.0;25.0;11;22.0;3;19.6000003815;26.0;9;59.75;
47;1;12.0;26.0;11;22.0;3;21.6000003815;27.0;9;60.4193744659;
48;1;12.0;27.0;10;22.0;3;23.6000003815;28.0;9;61.0072898865;
49;1;12.0;28.0;10;22.0;3;25.6000003815;29.0;9;61.5162696838;
50;1;12.0;29.0;11;22.0;3;27.6000003815;30.0;10;61.9513263702;
