Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.6999998093;5;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.6999998093;5;21.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;8.14999961853;10.5;5;21.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;8.14999961853;10.5;5;21.0;
6;1;8.55000019073;8.5;5;17.0;1;9.14999961853;10.5;5;21.0;
7;1;8.82499980927;8.5;5;17.0;1;9.72500038147;10.5;5;21.0;
8;1;8.82499980927;8.5;4;17.0;1;9.72500038147;10.5;5;21.4200000763;
9;1;8.82499980927;8.5;4;17.3400001526;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;8.9015007019;8.67000007629;4;17.6278438568;1;9.8956489563;10.8792181015;5;22.0;
11;1;8.96626472473;8.81392192841;4;17.869726181;1;9.94999980927;11.0;5;23.5400009155;
12;1;9.02068901062;8.93486309052;3;18.786491394;1;10.296500206;11.7700004578;6;24.8252849579;
13;1;9.22696018219;9.39324569702;4;19.5780620575;1;11.9499998093;12.4126424789;6;25.8616695404;
14;1;11.0206890106;9.78903102875;4;20.2480106354;1;12.9499998093;12.9308347702;6;26.6732940674;
15;1;12.0206890106;10.1240053177;4;20.8052330017;1;13.9499998093;13.3366470337;6;27.2939033508;
16;1;13.0206890106;10.4026165009;4;21.2618598938;1;14.9499998093;13.6469516754;6;27.759563446;
17;2;15.0206890106;11.0309295654;2;22.6314201355;1;15.9499998093;13.879781723;6;28.0;
18;2;17.0206890106;11.2157096863;1;23.0024635792;1;16.9500007629;14.0;6;28.0;
19;2;18.0206890106;10.9637317657;1;23.1548187733;1;17.9500007629;14.0;6;28.0;
20;2;18.9500007629;11.0;2;23.2396422625;1;18.2999992371;14.0;6;28.0;
21;2;18.9500007629;11.0;2;23.32964468;1;18.2999992371;14.0;6;28.0;
22;2;18.9500007629;11.0;2;23.4249849319;1;18.2999992371;14.0;6;28.0;
23;2;18.9500007629;11.0;2;23.5258028507;1;18.2999992371;14.0;7;28.0;
24;2;18.9500007629;11.0;2;23.6322153807;1;18.2999992371;14.0;7;28.0;
25;2;16.9500007629;12.0;2;23.7443124056;1;18.2999992371;14.0;7;28.0;
26;2;15.9500007629;13.0;3;23.8621526957;1;18.2999992371;14.0;8;28.0;
27;3;14.9500007629;14.0;3;23.9857594967;1;18.2999992371;14.0;8;28.0;
28;3;14.0;15.0;4;24.1151165962;1;18.2999992371;14.0;8;28.0;
29;3;14.0;16.0;4;24.2501642704;1;18.2999992371;14.0;8;28.0;
30;3;14.0;17.0;4;24.3907959461;1;16.2999992371;15.0;8;28.0;
31;3;14.0;18.0;4;24.5368545055;1;15.2999992371;16.0;8;28.0;
32;3;14.0;19.0;4;24.6881308556;1;14.2999992371;17.0;8;28.0;
33;3;14.0;20.0;4;24.8443615437;1;13.2999992371;18.0;8;28.0;
34;3;14.0;21.0;5;25.005228281;1;12.2999992371;19.0;9;28.0;
35;3;14.0;22.0;5;25.1703586578;1;12.0;20.0;9;28.0;
36;3;14.0;23.0;5;25.3393273354;1;12.0;21.0;9;28.0;
37;3;14.0;24.0;5;25.5116591454;1;12.0;22.0;9;28.0;
38;3;14.0;25.0;4;25.6868326664;1;12.0;23.0;9;28.0;
39;3;14.0;26.0;5;25.8642861843;1;12.0;24.0;10;28.0;
40;3;14.0;27.0;6;26.0434236526;1;12.0;25.0;10;28.0;
41;3;14.0;28.0;6;26.2236218452;1;13.0;23.0;10;28.0;
42;3;14.0;29.0;8;26.4042396545;1;14.0;22.0;11;28.0;
43;3;14.0;30.0;8;26.5846266747;1;15.0;21.0;12;28.0;
44;3;15.0;28.0;9;26.7641320229;1;16.0;20.0;12;28.0;
45;3;14.0;29.0;10;26.9421138763;1;17.0;19.0;12;28.0;
46;3;14.0;30.0;10;27.1179485321;1;18.0;18.0;13;28.0;
47;3;15.0;28.0;10;27.2910404205;1;18.2999992371;17.0;13;28.0;
48;3;14.0;29.0;11;27.4608278275;1;18.2999992371;16.0;13;28.0;
49;3;15.0;30.0;11;27.626791954;1;16.2999992371;17.0;14;28.0;
50;3;15.0;29.0;12;27.7884612083;1;15.2999992371;18.0;14;28.0;
51;4;14.0;31.0;11;42.9454174042;1;14.2999992371;19.0;14;28.0;
