Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;13.3000001907;4;17.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;12.3000001907;5;17.0;1;7.0;11.6999998093;5;21.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;8.0;10.6999998093;5;21.0;
4;1;7.55000019073;10.3000001907;5;17.0;2;8.14999961853;10.6999998093;4;22.0;
5;1;7.55000019073;9.30000019073;5;17.0;2;8.29999923706;10.5;4;22.0900000334;
6;1;8.55000019073;8.5;5;17.0;2;9.39524936676;10.5;4;22.1871190071;
7;1;8.82499980927;8.5;5;17.0;2;9.99210166931;10.5;4;22.2917383909;
8;1;8.82499980927;8.5;5;17.0;2;10.0156412125;10.5;4;22.8371437788;
9;1;8.82499980927;8.5;5;17.3400001526;2;10.1383571625;10.7100000381;4;23.3113827705;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;10.2450618744;10.8792181015;4;23.6996542215;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;10.3324222565;11.0;4;25.4997080564;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;10.7374343872;11.7700004578;5;27.0797379017;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;12.4572515488;12.4126424789;5;28.4485538006;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;14.4572515488;12.9308347702;5;29.6330289841;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;16.4572525024;13.3366470337;5;30.669192791;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;17.7094402313;13.6469516754;5;31.5947263241;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;18.8129119873;13.879781723;5;32.3400559425;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;19.9265136719;14.0;5;32.8895044327;
19;1;16.0206890106;10.9637317657;6;22.0;2;21.0501403809;14.0;5;33.4816474915;
20;1;16.9500007629;11.0;7;22.0;2;21.5333709717;14.0;5;34.1130428314;
21;1;16.9500007629;11.0;7;22.0;2;21.6754341125;14.0;5;34.7785673141;
22;1;16.9500007629;11.0;7;22.0;2;21.825176239;14.0;5;35.4714341164;
23;1;16.9500007629;11.0;7;22.0;2;21.9810714722;14.0;6;36.1833543777;
24;1;16.9500007629;11.0;7;22.0;2;22.141254425;14.0;6;36.9048519135;
25;1;14.9500007629;12.0;8;22.0;2;22.3035907745;14.0;6;37.6257123947;
26;2;14.9500007629;13.5;7;23.0;2;22.4657840729;14.0;6;38.3355398178;
27;2;14.9500007629;14.0;8;23.0750000477;2;22.6254959106;14.0;7;39.0243473053;
28;2;14.2418746948;15.0;8;23.1548187733;2;22.7804775238;14.0;7;39.6831235886;
29;2;14.2598342896;16.0;8;23.2396422625;2;22.9287014008;14.0;7;40.3043012619;
30;3;14.27891922;17.0;7;23.32964468;2;21.0684661865;15.0;7;40.8820743561;
31;3;14.2991695404;18.0;7;23.4249849319;3;21.1984672546;16.5;6;42.4125490189;
32;3;14.3206214905;19.0;7;23.5258028507;3;21.3178215027;17.5;8;43.0537177324;
33;3;14.3433055878;20.0;7;23.6322153807;3;20.4260864258;18.5799999237;8;43.6690393686;
34;4;14.3672485352;21.0;6;23.7443124056;3;19.8255348206;19.0;8;44.2625789642;
35;4;14.3924703598;22.0;4;23.8621526957;3;19.3094024658;20.7770614624;9;44.839677453;
36;5;14.4189844131;23.0;3;33.9857594967;3;19.3852386475;21.8970851898;10;45.4065597057;
37;5;15.4467964172;24.0;4;34.5151162148;3;19.916475296;22.0;10;45.9699261189;
38;5;16.47590065;25.0;4;35.0245640278;3;20.0432338715;23.0;11;46.5365636349;
39;5;17.5062866211;26.0;6;35.5127346516;3;19.5580348969;25.0;11;47.1118502617;
40;5;18.5379295349;27.0;5;35.9788892269;3;19.6000003815;26.5559253693;11;47.544028759;
41;5;19.5707931519;28.0;5;36.4228491783;3;19.6000003815;27.7720146179;12;48.0209121704;
42;5;20.125246048;29.0;6;36.8449041843;3;19.6000003815;29.0104560852;12;48.5427899361;
43;4;14.6399812698;30.0;8;25.005228281;4;20.6000003815;27.2713947296;10;61.1092376709;
44;4;15.6761760712;28.0;9;25.1703586578;4;18.6000003815;29.5543479919;10;61.9566736221;
45;4;14.7133312225;29.0;10;25.3393273354;4;22.6000003815;30.5543479919;10;62.817050457;
46;4;14.7513484955;30.0;10;25.5116591454;4;25.0312690735;32.5543479919;10;63.6861414909;
