Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;13.3000001907;4;17.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;12.3000001907;5;17.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;7.55000019073;11.3000001907;5;17.0;1;11.3487997055;15.8719997406;6;31.5135993958;
4;1;7.55000019073;10.3000001907;5;17.0;2;11.5027198792;15.7567996979;5;32.1014404297;
5;1;7.55000019073;9.30000019073;5;17.0;2;12.6027202606;15.5507202148;5;31.7561753988;
6;1;8.55000019073;8.5;5;17.0;2;13.6104240417;15.3652477264;5;31.448402524;
7;1;8.82499980927;8.5;5;17.0;2;14.4345207214;15.1983232498;5;31.2600024939;
8;1;8.82499980927;8.5;5;17.0;2;14.3780012131;15.0908908844;5;31.0934693813;
9;1;8.82499980927;8.5;5;17.3400001526;2;14.3280410767;14.9942016602;4;31.9538321495;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;16.4027328491;15.3965854645;4;32.5901312828;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;18.4027328491;15.6858615875;4;32.9503253698;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;20.4027328491;15.8360004425;3;33.012422204;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;21.4566612244;15.8360004425;4;33.0767031908;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;22.4759464264;15.8360004425;4;33.1431638002;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;23.4958839417;15.8360004425;4;33.2117911577;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;23.9635372162;15.8360004425;5;33.2825632095;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;23.9847679138;15.8360004425;5;33.355448246;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;24.0066337585;15.8360004425;7;33.4304046631;
19;1;16.0206890106;10.9637317657;6;22.0;2;24.0291213989;15.8360004425;7;33.5073804855;
20;1;16.9500007629;11.0;7;22.0;2;24.0522136688;15.8360004425;7;33.5863132477;
21;1;16.9500007629;11.0;7;22.0;2;24.0758934021;15.8360004425;8;33.6671295166;
22;1;16.9500007629;11.0;7;22.0;3;24.1001396179;15.8360004425;7;33.7497451305;
23;1;16.9500007629;11.0;7;22.0;3;24.1249237061;15.8360004425;7;33.8340651989;
24;1;16.9500007629;11.0;7;22.0;3;24.1502189636;15.8360004425;7;33.9199843407;
25;1;16.9500007629;11.0;7;22.0;3;24.175994873;15.8360004425;7;34.0073862076;
26;1;16.9500007629;11.0;7;22.0;3;24.2022151947;15.8360004425;7;34.096145153;
27;1;16.9500007629;11.0;8;22.0;3;24.228843689;15.8360004425;7;34.1861259937;
28;1;16.9500007629;11.0;8;22.0;3;24.2558383942;15.8360004425;7;34.2771844864;
29;1;16.9500007629;11.0;8;22.0;3;24.2831554413;15.8360004425;8;34.3691687584;
30;1;16.9500007629;11.0;8;22.0;3;24.3107509613;15.8360004425;6;34.4619197845;
31;1;16.9500007629;11.0;8;22.0;3;23.5016002655;16.8360004425;6;34.5552728176;
32;1;16.9500007629;11.0;8;22.0;3;24.3665809631;15.8360004425;6;34.6490578651;
33;1;14.9500007629;12.0;8;22.0;3;24.3947181702;15.8360004425;6;34.7431013584;
34;1;13.9500007629;13.0;8;22.0;3;24.4229297638;15.8360004425;7;34.8372275829;
35;1;12.9500007629;14.0;8;22.0;3;24.4511680603;15.8360004425;7;34.9312593937;
36;1;12.0;15.0;8;22.0;3;23.5016002655;16.8360004425;7;36.0250198841;
37;1;12.0;16.0;8;22.0;3;24.5016002655;18.0125102997;9;36.3066538572;
38;1;12.0;17.0;9;22.0;3;26.5016002655;21.0125102997;9;36.620895505;
39;1;12.0;18.0;9;22.0;3;26.9862689972;24.0125102997;9;36.9725304842;
40;1;12.0;19.0;9;22.0;3;27.091758728;27.0125102997;9;37.36672616;
41;1;12.0;20.0;9;22.0;3;27.210018158;29.3360004425;9;37.8089079857;
42;1;12.0;21.0;9;22.0;3;27.342672348;30.8360004425;9;38.3045654297;
43;1;12.0;22.0;10;22.0;3;27.4913692474;30.8360004425;9;38.8589684963;
44;1;12.0;23.0;10;22.0;3;27.6576900482;30.8360004425;9;39.4767868519;
45;1;12.0;24.0;10;22.0;3;27.8430366516;30.8360004425;10;40.161608696;
46;1;12.0;25.0;12;22.0;3;28.0484809875;30.8360004425;11;40.9153728485;
47;1;12.0;26.0;12;22.0;4;28.2746124268;30.8360004425;11;41.7377567291;
48;1;12.0;27.0;12;22.0;4;28.5213279724;30.8360004425;11;42.6255807877;
49;1;12.0;28.0;13;22.0;4;28.7876739502;30.8360004425;13;43.5723319054;
50;1;12.0;29.0;13;22.0;4;29.0716991425;30.8360004425;13;44.5679159164;
51;1;12.0;30.0;14;22.0;4;29.3703746796;30.8360004425;14;45.5987520218;
52;1;13.0;28.0;14;22.0;4;29.6796264648;30.8360004425;15;46.6482934952;
53;1;12.0;29.0;15;22.0;4;29.9944877625;30.8360004425;15;47.6979775429;
