Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;13.3000001907;4;17.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;12.3000001907;5;17.0;1;11.3999996185;16.0;6;32.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;11.3999996185;16.0;6;31.7439994812;
4;1;7.55000019073;10.3000001907;5;17.0;1;11.3487997055;15.8719997406;6;31.5135993958;
5;1;7.55000019073;9.30000019073;5;17.0;1;12.3487997055;15.7567996979;6;31.1014404297;
6;1;8.55000019073;8.5;5;17.0;1;13.3487997055;15.5507202148;6;30.7304954529;
7;1;8.82499980927;8.5;5;17.0;2;14.5191488266;15.3652477264;5;31.4822463989;
8;1;8.82499980927;8.5;4;17.0;2;14.4446744919;15.2411231995;5;31.421461463;
9;1;8.82499980927;8.5;4;17.3400001526;2;14.4264383316;15.1294107437;5;32.3687187433;
10;1;8.9015007019;8.67000007629;4;17.6278438568;2;16.5585842133;15.4945106506;5;33.1448444128;
11;1;8.96626472473;8.81392192841;4;17.869726181;2;18.5585842133;15.7552804947;4;33.6036865711;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;20.5585842133;15.8360004425;4;33.9494643211;
13;1;9.22696018219;9.39324569702;5;19.5780620575;2;21.8279132843;15.8360004425;4;34.349262476;
14;1;11.0206890106;9.78903102875;5;20.2480106354;2;22.9478530884;15.8360004425;5;34.808539629;
15;1;12.0206890106;10.1240053177;5;20.8052330017;2;24.0856361389;15.8360004425;6;35.3321993351;
16;1;13.0206890106;10.4026165009;5;21.2618598938;2;24.5996589661;15.8360004425;6;35.9241194725;
17;1;14.0206890106;10.6309299469;5;21.6314201355;2;24.7772369385;15.8360004425;7;36.5865945816;
18;1;15.0206890106;10.8157100677;5;21.9274635315;2;24.9759788513;15.8360004425;7;37.3197245598;
19;1;16.0206890106;10.9637317657;5;22.0;2;25.1959171295;15.8360004425;7;38.1208133698;
20;1;16.9500007629;11.0;5;22.0;2;25.4362449646;15.8360004425;7;38.9838700294;
21;1;16.9500007629;11.0;5;22.0;2;25.6951599121;15.8360004425;7;39.8993253708;
22;1;16.9500007629;11.0;6;22.0;3;25.9697971344;15.8360004425;6;40.8540802002;
23;1;16.9500007629;11.0;7;22.0;3;26.2562236786;15.8360004425;6;41.8319644928;
24;1;16.9500007629;11.0;7;22.0;3;26.5495891571;15.8360004425;6;42.8146400452;
25;1;16.9500007629;11.0;7;22.0;3;26.8443908691;15.8360004425;6;43.7828645706;
26;1;16.9500007629;11.0;7;22.0;3;27.1348590851;15.8360004425;6;44.7179613113;
27;1;16.9500007629;11.0;7;22.0;3;27.4153881073;15.8360004425;6;45.6032657623;
28;1;16.9500007629;11.0;8;22.0;3;27.6809806824;15.8360004425;6;46.4253129959;
29;1;16.9500007629;11.0;9;22.0;3;27.9275932312;15.8360004425;6;47.1745882034;
30;1;16.9500007629;11.0;9;22.0;3;28.1523761749;15.8360004425;6;47.8457584381;
31;1;16.9500007629;11.0;9;22.0;3;28.3537273407;15.8360004425;6;48.4374332428;
32;1;14.9500007629;12.0;10;22.0;3;28.5312309265;15.8360004425;6;48.9515571594;
33;1;13.9500007629;13.0;10;22.0;3;28.6854667664;15.8360004425;6;49.3926086426;
34;1;12.9500007629;14.0;11;22.0;3;28.8177833557;15.8360004425;6;49.7667598724;
35;2;12.0;15.0;10;22.0;3;28.9300270081;17.8360004425;7;50.0811100006;
36;2;12.0;16.0;10;22.0;3;29.0243339539;19.8360004425;8;50.3430519104;
37;3;12.0;17.0;8;50.75;3;29.1029167175;21.8360004425;8;50.5040016174;
38;3;13.0;18.0;8;52.7625007629;3;29.1511993408;23.8360004425;8;50.5040016174;
39;3;14.0;19.0;8;54.2967796326;3;29.1511993408;25.8360004425;9;50.5040016174;
40;3;15.0;20.0;8;55.4120597839;3;29.1511993408;25.8360004425;9;50.5040016174;
41;3;16.0;21.0;8;56.1932144165;3;29.1511993408;25.8360004425;9;50.5040016174;
42;3;17.0;22.0;8;56.725528717;4;30.1511993408;26.8360004425;10;51.5040016174;
43;3;18.0;23.0;8;56.75;4;31.1511993408;27.8360004425;11;51.5382416248;
44;3;19.0;24.0;10;56.75;5;31.4614715576;28.8360004425;10;51.5732998848;
45;3;20.0;25.0;10;56.75;5;29.471988678;30.8360004425;10;51.609171629;
46;3;21.0;26.0;10;56.75;5;28.1511993408;32.8359985352;11;51.6458503008;
47;3;22.0;27.0;11;56.75;6;26.2010421753;34.3612518311;7;66.6833275557;
48;3;23.0;28.0;10;56.75;6;28.2010421753;33.378490448;7;67.4715927839;
49;3;24.0;29.0;10;56.75;6;27.2010421753;35.3960914612;8;68.180008173;
50;3;24.4249992371;30.0;11;56.75;6;26.8907318115;36.8359985352;8;69.8077257872;
51;3;25.4249992371;28.0;11;56.75;6;27.9014778137;39.8359985352;8;70.4257324934;
52;3;26.4249992371;28.0;12;56.75;6;28.5514411926;43.4510116577;8;70.9744998217;
53;3;27.4249992371;28.0;12;56.75;6;28.5514411926;46.469997406;11;71.4607638121;
54;3;28.4249992371;28.0;12;56.75;6;28.8801498413;49.4893074036;11;71.8920754194;
55;4;29.375;28.0;11;56.75;6;28.9019451141;52.5089302063;11;72.2761657238;
56;4;27.375;30.0;11;56.75;6;29.5514411926;50.8359985352;12;72.5267715454;
57;4;26.375;31.0;11;56.75;6;28.5514411926;52.8359985352;13;74.9529473782;
58;4;25.375;32.0;12;56.75;6;28.8565559387;55.4010314941;13;76.8832901716;
59;4;24.4249992371;33.0;12;56.75;7;29.5511932373;58.5803184509;11;78.4202187061;
60;4;24.4249992371;34.0;13;56.75;7;30.2211036682;57.0761184692;12;79.3723763227;
61;5;25.4249992371;36.0;12;57.75;7;29.2448005676;59.1200027466;12;80.0269976854;
62;5;27.4249992371;35.0;13;57.8574999571;7;29.8703384399;62.0060462952;16;80.295409441;
63;5;28.4249992371;35.0;14;57.9753656387;7;30.7851676941;61.1200027466;15;80.5765175819;
64;5;29.4249992371;35.0;15;58.1043308973;7;29.9777297974;63.0758628845;15;80.8700768948;
65;5;30.4249992371;35.0;16;58.2451226711;7;30.8268947601;62.1200027466;15;81.1756880283;
66;5;31.375;34.0;16;58.3984457254;7;30.2448005676;62.5720367432;15;81.4927871227;
67;5;29.375;35.0;16;58.5649644136;7;30.1610126495;63.1850891113;16;81.820638895;
68;5;28.375;36.0;16;58.7452818155;7;30.8919258118;62.1200027466;16;82.1583333015;
69;5;27.375;37.0;16;58.9399158955;7;30.2448005676;62.9118461609;15;82.5047874451;
70;5;26.4249992371;38.0;16;59.149273634;7;29.2448005676;65.2115631104;16;82.8587536812;
71;5;26.4249992371;39.0;17;59.3736231327;7;30.2448005676;64.3743896484;17;83.2188339233;
72;5;26.4249992371;40.0;16;59.6130647659;7;30.2448005676;63.5400238037;18;83.5834989548;
73;5;26.4249992371;41.0;12;59.8675034046;7;29.2448005676;65.7077713013;18;83.9511153698;
74;5;26.4249992371;42.0;12;60.1755905151;7;30.2448005676;64.8768768311;17;84.3199739456;
75;5;26.4249992371;43.0;13;63.3354454041;7;30.2448005676;64.046546936;17;84.6883268356;
76;5;27.0765628815;44.0;12;65.718483448;7;30.0734920502;64.804145813;17;85.0544221401;
77;5;27.5282783508;45.0;12;67.4916152954;7;30.2448005676;64.9335861206;16;85.4165422916;
78;5;27.8248329163;46.0;12;68.7848091125;7;30.2448005676;64.5509643555;17;85.7730398178;
79;5;28.0;47.0;12;69.2418489456;7;29.2448005676;65.1867523193;17;86.1223711967;
80;4;28.0;48.0;13;69.648519516;8;30.2448005676;64.3091430664;16;86.463126421;
81;4;29.0;46.0;13;70.0637693405;8;30.2448005676;63.4279289246;16;86.7940514088;
82;4;28.0;47.0;13;70.4843664169;8;29.2448005676;66.5425949097;16;87.1140668392;
83;4;28.0;48.0;14;70.9068641663;8;30.2448005676;66.3318328857;17;87.4222784042;
84;4;29.0;46.0;15;71.3277087212;8;30.2448005676;65.4736099243;17;87.717979908;
85;4;28.0;47.0;15;71.7433576584;8;29.2448005676;67.6096343994;18;88.0006542206;
86;4;28.0;48.0;16;72.1503982544;8;30.2448005676;66.7396621704;19;88.2699615955;
87;4;29.0;46.0;16;72.5456600189;8;31.2448005676;64.0416870117;19;88.5257325172;
88;4;28.0;47.0;17;72.9263124466;8;29.2448005676;67.1253051758;20;88.7679481506;
89;4;28.0;48.0;17;73.2899427414;8;31.2448005676;66.8012924194;20;88.9967269897;
90;4;29.0;46.0;18;73.6346054077;8;31.2448005676;67.9024505615;21;89.2123022079;
91;4;28.0;47.0;18;73.9588479996;8;30.2448005676;68.9024505615;21;89.4150056839;
92;4;28.0;48.0;18;74.2617120743;8;31.2448005676;66.9024505615;21;89.6052479744;
93;4;29.0;46.0;19;74.5427074432;8;31.2448005676;68.9024505615;23;89.7835006714;
94;4;28.0;47.0;19;74.8017730713;10;33.2448005676;68.2363891602;21;89.9458332062;
95;4;28.0;48.0;19;75.0392208099;10;32.2448005676;66.2363891602;21;90.0054950714;
96;4;29.0;46.0;20;75.2556753159;10;31.2448005676;68.2363891602;22;90.0632243156;
97;4;28.0;47.0;20;75.4520111084;11;31.8523521423;70.1942214966;21;90.1190156937;
98;4;28.0;48.0;20;75.6292867661;11;32.8523521423;68.2299346924;22;90.172870636;
99;4;29.0;46.0;20;75.788690567;11;32.8523521423;67.2299346924;22;90.2247977257;
100;4;28.0;47.0;21;75.9314880371;11;31.8523521423;70.1135406494;22;90.2704029083;
