Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;13.3000001907;4;17.0;2;11.5999994278;16.0;3;33.0;
2;1;7.0;12.3000001907;5;17.0;2;11.5999994278;16.0;3;33.0299999714;
3;1;7.55000019073;11.3000001907;5;17.0;2;11.6059999466;16.0;3;33.0605909824;
4;1;7.55000019073;10.3000001907;5;17.0;2;11.6121177673;16.0;3;33.091766119;
5;1;7.55000019073;9.30000019073;5;17.0;2;12.7275295258;16.0;3;33.1235172749;
6;1;8.55000019073;8.5;5;17.0;2;13.7370548248;16.0;2;33.1558350325;
7;1;8.82499980927;8.5;5;17.0;2;14.7467498779;16.0;2;33.0219353437;
8;1;8.82499980927;8.5;5;17.0;2;14.906580925;15.9180002213;2;32.904861927;
9;1;8.82499980927;8.5;5;17.3400001526;2;14.8714590073;15.8442001343;2;34.0314463377;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;16.935092926;16.3752346039;2;34.8483891487;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;18.935092926;16.7501506805;2;35.4339153767;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;20.935092926;17.0080528259;3;35.5301499367;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;21.997844696;17.0200004578;4;35.6051021814;
14;1;11.0206890106;9.78903102875;5;20.2480106354;3;23.0203304291;17.0200004578;4;35.6826514006;
15;1;12.0206890106;10.1240053177;5;20.8052330017;3;24.0435962677;17.0200004578;4;35.7627692223;
16;1;13.0206890106;10.4026165009;5;21.2618598938;3;24.7288303375;17.0200004578;5;35.8454144001;
17;1;14.0206890106;10.6309299469;5;21.6314201355;3;24.7536239624;17.0200004578;5;35.930532217;
18;1;15.0206890106;10.8157100677;5;21.9274635315;3;24.7791595459;17.0200004578;5;36.0180537701;
19;1;16.0206890106;10.9637317657;5;22.0;3;24.8054161072;17.0200004578;5;36.1078958511;
20;1;16.9500007629;11.0;5;22.0;3;24.8323688507;17.0200004578;5;36.1999607086;
21;1;16.9500007629;11.0;5;22.0;3;24.8599872589;17.0200004578;6;36.2941358089;
22;1;16.9500007629;11.0;5;22.0;3;24.8882408142;17.0200004578;7;36.390294075;
