Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;13.3000001907;4;17.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;12.3000001907;5;17.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;7.55000019073;11.3000001907;4;17.0;2;11.5487995148;15.8719997406;5;32.5135993958;
4;1;7.55000019073;10.3000001907;4;17.0;2;11.5027198792;15.7567996979;5;32.1185604334;
5;1;7.55000019073;9.30000019073;4;17.0;2;12.6078557968;15.5507202148;5;31.7648544312;
6;1;8.55000019073;8.5;4;17.0;2;13.6130275726;15.3652477264;5;31.4483582973;
7;1;8.82499980927;8.5;4;17.0;2;14.43450737;15.1983232498;5;31.2509549856;
8;1;8.82499980927;8.5;4;17.0;2;14.375287056;15.0908908844;5;31.0751411915;
9;1;8.82499980927;8.5;4;17.3400001526;2;14.3225421906;14.9942016602;5;31.9161760807;
10;2;8.9015007019;9.06999969482;3;18.6278438568;2;16.3914356232;15.3965854645;5;32.5317987204;
11;2;9.1912651062;8.81392192841;3;18.9022262096;2;18.3914356232;15.6858615875;5;32.8699404001;
12;2;9.25300121307;8.93486309052;3;19.8625371456;2;20.3914375305;15.8360004425;5;32.9085866213;
13;2;9.46907043457;9.39324569702;4;20.6990214586;2;21.4255104065;15.8360004425;5;32.9480017424;
14;2;11.2729053497;9.78903102875;4;21.4152549505;2;22.437335968;15.8360004425;6;32.9881702662;
15;2;13.2729053497;10.1240053177;4;22.0201330185;2;23.4493865967;15.8360004425;7;33.0290745497;
16;2;15.2729053497;10.4026165009;3;22.5257823467;2;23.9087219238;15.8360004425;7;33.0706950426;
17;2;16.3050708771;10.6309299469;3;22.9457235336;2;23.9212093353;15.8360004425;8;33.1130098104;
18;2;17.31640625;10.8157100677;3;23.2934938669;2;23.9339027405;15.8360004425;8;33.1559950113;
19;2;18.3280448914;10.9637317657;2;23.4190865755;2;23.9467983246;15.8360004425;9;33.1996245384;
20;2;19.2692947388;11.0;2;23.4734505415;3;23.5016002655;16.2942867279;8;33.2438702583;
21;2;19.2815265656;11.0;3;23.5290961266;3;23.5016002655;15.8360004425;9;33.2887020111;
22;2;18.9500007629;11.7645483017;3;23.5859923363;4;22.9879512787;15.8360004425;7;43.3340876102;
23;2;18.9500007629;11.7929964066;3;23.6441031694;4;23.5514411926;15.8360004425;7;43.7799925804;
24;2;18.9500007629;11.822052002;4;23.7033878565;4;24.5514411926;16.6216773987;7;44.2007819414;
25;2;18.9500007629;11.8516941071;4;23.7638003826;4;25.5514411926;16.6430168152;7;44.5951561928;
26;2;18.9500007629;11.8818998337;4;23.8252899647;4;27.0377693176;15.8360004425;7;44.9624942541;
27;2;19.3606910706;11.0;4;23.8878008127;4;27.1258983612;16.686290741;7;45.302785635;
28;2;18.9500007629;11.9439001083;4;23.9512724876;4;27.7036914825;15.8360004425;7;45.6165412664;
29;2;18.9500007629;11.9756364822;4;24.0156395435;4;27.7764434814;15.8360004425;7;45.9046978951;
30;2;18.9500007629;12.0078201294;6;24.0808324814;4;25.8434486389;16.8360004425;7;46.1685173512;
31;2;17.4181880951;12.0;6;24.1467776299;4;24.9049873352;17.8360004425;7;46.4094893932;
32;2;16.4330253601;13.0;6;24.2133970261;4;23.9613952637;18.8360004425;8;46.6292467117;
33;2;15.448015213;14.0;6;24.2806091309;4;23.0130348206;19.8360004425;8;46.8294935226;
34;2;14.5131368637;15.0;7;24.3483293056;4;22.0602893829;20.8360004425;8;46.9078691006;
35;2;14.5283737183;16.0;7;24.4164700508;4;21.0801258087;21.8360004425;9;46.9567928314;
36;2;14.5437059402;17.0;7;24.4849414825;4;20.093334198;22.8360004425;9;47.0056693554;
37;2;14.5591115952;18.0;7;24.5536515713;4;19.5550918579;23.8360004425;10;47.0544507504;
38;2;14.5745716095;19.0;7;24.6225068569;4;20.5682621002;23.8360004425;10;47.103089571;
39;2;14.5900640488;20.0;7;24.6914129257;4;20.9249992371;24.8360004425;10;48.1515390873;
40;2;14.6055679321;21.0;8;24.7602751255;4;24.9249992371;27.8360004425;10;48.2455831766;
41;2;14.6210613251;22.0;8;24.8289983273;4;27.5249996185;30.5359992981;11;48.3409670591;
42;2;14.6365242004;23.0;11;24.8974883556;4;29.0388431549;32.5359992981;12;48.437659502;
43;2;14.6519346237;24.0;10;24.965651989;4;30.0619125366;34.5359992981;12;48.535626173;
44;2;14.6672716141;25.0;10;25.033397913;4;31.0857543945;35.7644424438;13;48.6348292828;
45;2;14.6825141907;26.0;11;25.1006362438;5;32.1103744507;35.7859840393;12;48.7352280617;
46;2;14.69764328;27.0;10;25.1672801971;5;33.1357650757;34.5359992981;13;48.8367779255;
47;2;14.7126379013;28.0;10;25.2332458496;5;34.1619262695;35.5359992981;13;48.9394304752;
48;2;14.7274799347;29.0;8;25.2984523773;5;35.1888542175;35.8492889404;14;49.043133378;
49;2;14.7421512604;30.0;9;25.3628232479;5;36.2165412903;35.8698959351;14;49.1478302479;
