Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;3;20.0;1;13.0;10.0;6;20.0;
4;1;9.0;10.0;3;20.0;1;14.0;10.0;6;20.0;
5;1;10.0;10.0;3;20.0;1;15.0;10.0;6;20.0;
6;1;11.0;10.0;3;20.0;1;16.0;10.0;6;20.3999996185;
7;1;11.0;10.0;3;20.3999996185;2;17.6000003815;10.1999998093;5;21.7264003754;
8;1;11.1199998856;10.1999998093;3;20.7264003754;2;18.0358409882;10.3632001877;5;22.8494274616;
9;1;11.2179203033;10.3632001877;3;20.9903717041;2;18.7096557617;10.9097137451;5;23.7921946049;
10;1;11.2971115112;10.4951858521;3;22.0419120789;2;20.7096557617;11.3658018112;5;24.5663278103;
11;1;11.6125736237;11.0209560394;3;22.9143505096;2;22.7096557617;11.7372808456;5;25.1909153461;
12;1;11.8743057251;11.4571752548;3;23.6214065552;2;23.7657661438;12.0336990356;5;25.6883610487;
13;1;13.6125736237;11.8107032776;4;24.1832637787;2;24.4130172729;12.2662630081;5;26.0812431574;
14;1;14.6125736237;12.0916318893;4;24.6226100922;2;24.6487464905;12.446267128;5;26.2221269608;
15;1;15.6125736237;12.3113050461;4;24.9617595673;2;24.7332763672;12.5;5;26.2560760975;
16;1;16.6125736237;12.4808797836;4;25.0;2;26.6891651154;12.5;4;26.2905418873;
17;1;17.6125736237;12.5;4;25.0;2;27.7098445892;12.5;4;26.3255085945;
18;1;18.6125736237;12.5;3;25.0;2;28.7308254242;12.5;5;26.3609591722;
19;1;19.5;12.5;4;25.0;2;29.7520961761;12.5;5;26.3968753815;
20;1;19.5;12.5;5;25.0;2;29.8381252289;12.5;5;26.4332377911;
21;1;19.5;12.5;5;25.0;2;29.8599433899;12.5;5;26.4700255394;
22;1;19.5;12.5;4;25.0;2;29.8820152283;12.5;5;26.5072168112;
23;1;19.5;12.5;3;25.0;2;29.9043292999;12.5;5;26.5447884798;
24;1;19.5;12.5;2;25.0;2;29.9268722534;12.5;4;26.5827163458;
25;1;19.5;12.5;2;25.0;2;29.9496307373;12.5;4;26.6209751368;
26;1;19.5;12.5;2;25.0;2;29.9725856781;12.5;3;26.6595385075;
27;1;19.5;12.5;2;25.0;2;29.9957237244;12.5;3;26.6983793974;
28;1;17.5;13.5;2;25.0;2;30.01902771;12.5;3;26.7374696732;
29;1;16.5;14.5;2;25.0;2;30.0424823761;12.5;2;26.7767804861;
30;1;15.5;15.5;2;25.0;2;30.0660686493;12.5;2;26.8162822723;
31;1;14.5;16.5;2;25.0;2;30.0897693634;12.5;2;26.8559447527;
32;1;13.5;17.5;2;25.0;2;30.1135673523;12.5;2;26.8957372904;
33;1;12.5;18.5;2;25.0;2;30.1374416351;14.5;3;26.9356285334;
34;1;12.0;19.5;2;25.0;2;30.1613769531;16.5;3;26.9755871296;
35;1;12.0;20.5;2;25.0;2;30.1853523254;18.5;3;27.015581131;
36;1;12.0;21.5;2;25.0;2;30.2093486786;20.5;3;27.0555787086;
37;1;13.0;19.5;2;25.0;2;30.2333469391;22.5;3;27.0955479145;
38;1;12.0;20.5;3;25.0;2;30.2573280334;22.5;4;27.135456562;
39;1;12.0;21.5;3;25.0;2;30.2812728882;22.5;4;27.17527318;
40;1;13.0;19.5;2;25.0;2;30.3051643372;22.5;4;27.2149660587;
41;1;12.0;20.5;3;25.0;2;30.3289794922;22.5;4;27.2545039654;
42;2;12.0;21.5;2;25.0;2;30.3527030945;22.5;4;27.293856144;
43;2;13.0;19.5;3;25.0;2;30.3763141632;22.5;5;27.3329925537;
44;2;12.0;20.5;3;25.0;3;30.3997955322;22.5;4;27.3718836308;
