Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;4;20.0;2;13.3999996185;10.0;4;21.0;
4;1;9.0;10.0;4;20.0;2;14.6000003815;10.0;4;21.0299999714;
5;1;10.0;10.0;4;20.0;2;15.6180000305;10.0;4;21.0605909824;
6;1;11.0;10.0;5;20.0;2;16.6363544464;10.0;4;21.5023716688;
7;2;11.0;10.0;4;20.3999996185;2;17.6614227295;10.1999998093;4;21.8717387915;
8;2;11.1199998856;10.1999998093;4;20.7264003754;2;18.1230430603;10.3632001877;4;23.0203682184;
9;2;11.2179203033;10.3632001877;4;20.9903717041;2;18.8122196198;10.9097137451;4;23.9901782274;
10;2;11.2971115112;10.4951858521;4;22.0419120789;2;20.8122196198;11.3658018112;4;24.7928106785;
11;3;11.9125738144;11.0209560394;3;23.9143505096;2;22.8122196198;11.7372808456;4;25.4473642111;
12;3;12.1743059158;11.4571752548;3;24.6514065266;2;23.9196357727;12.0336990356;5;25.9762470722;
13;3;14.1743059158;11.8107032776;3;25.2438547611;2;24.9578876495;12.2662630081;5;26.4020352364;
14;3;16.1743049622;12.0916318893;3;25.7143762112;2;25.9973564148;12.446267128;5;26.5772850513;
15;3;16.7143135071;12.3113050461;3;26.0852768421;2;27.0380268097;12.5;5;26.6470438242;
16;3;16.8255825043;12.4808797836;3;26.1558350325;2;28.0798816681;12.5;5;26.7187389135;
17;3;18.7335338593;12.5;3;26.1887089014;2;29.1228981018;12.5;5;26.7923226357;
18;3;19.743396759;12.5;3;26.2221269608;2;30.0753936768;12.5;5;26.8677377701;
19;3;20.7534217834;12.5;3;26.2560760975;2;30.1206436157;12.5;6;26.9449175596;
20;3;21.7636070251;12.5;3;26.2905418873;2;30.1669502258;12.5;5;27.0237855911;
21;3;21.8871631622;12.5;3;26.3255085945;2;29.0;13.5;5;27.1042556763;
22;3;21.8976516724;12.5;4;26.3609591722;2;29.0;13.5521278381;5;27.18623209;
23;3;21.9082870483;12.5;4;26.3968753815;2;29.0;13.5931158066;5;27.2696099281;
24;3;21.9190635681;12.5;4;26.4332377911;2;30.0;12.5;5;27.3542752266;
25;3;21.9299716949;12.5;4;26.4700255394;3;30.4125652313;12.5;5;27.4401056767;
26;3;21.9410076141;12.5;4;26.5072168112;4;30.4640636444;12.5;4;27.5269708633;
27;3;21.9521656036;12.5;4;26.5447884798;4;30.5161819458;12.5;4;27.6147332191;
28;3;21.9634361267;12.5;4;26.5827163458;4;30.5688400269;12.5;4;27.7032489777;
29;3;21.5;13.1330862045;5;26.6209751368;4;30.6219482422;12.5;4;27.792368412;
30;3;19.5;14.1483898163;5;26.6595385075;4;27.0;14.5;4;27.8819372654;
31;3;18.5;15.1638154984;5;26.6983793974;4;28.0;13.9409685135;4;27.9717979431;
32;3;17.5;16.1793518066;6;26.7374696732;4;29.0;15.9409685135;4;28.0617899895;
33;3;16.5;17.1949882507;5;26.7767804861;4;29.0;17.9409675598;5;28.1517517567;
34;3;15.5;18.2107124329;5;26.8162822723;4;29.0;19.9409675598;5;28.2415213585;
35;3;14.5;19.2265129089;5;26.8559447527;4;29.0;21.9409675598;6;28.3309381008;
36;3;14.0;20.2423782349;5;26.8957372904;4;29.0;23.9409675598;6;28.4198429585;
37;3;14.0;21.2582950592;5;26.9356285334;4;29.0;24.2099208832;6;28.5080802441;
38;3;14.0;22.2742519379;6;26.9755871296;4;29.0;24.2540397644;7;28.5954988003;
39;3;15.0;20.2902355194;6;27.015581131;4;29.0;24.2977485657;7;29.6819527149;
40;3;14.0;21.3062324524;6;27.0555787086;4;30.0;25.3409767151;7;29.8523020744;
