Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;9.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;13.0;10.0;5;20.0;
3;1;9.0;10.0;4;20.0;1;13.0;10.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;14.0;10.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;15.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;16.0;10.0;4;20.3999996185;
7;1;11.0;10.0;4;20.3999996185;1;17.0;10.1999998093;4;20.7264003754;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;17.4358406067;10.3632001877;4;21.8194274902;
9;2;11.5179204941;10.3632001877;3;21.9903717041;1;18.0916557312;10.9097137451;4;22.7316036224;
10;2;11.597111702;10.4951858521;3;23.0819120407;2;20.0916557312;11.3658018112;3;24.4745616913;
11;2;11.9245738983;11.0209560394;2;23.99553442;2;22.0916557312;11.7372808456;3;25.0673980713;
12;2;13.9245738983;11.4571752548;2;24.7449600697;2;23.6916561127;12.0336990356;4;25.5325260162;
13;2;15.9245738983;11.8107032776;2;25.3503712416;2;24.6916561127;12.2662630081;4;25.892534256;
14;2;16.9627056122;12.0916318893;2;25.8344515562;2;25.6916561127;12.446267128;4;26.0;
15;2;17.9761257172;12.3113050461;2;26.2195074558;2;26.6916561127;12.5;4;26.0;
16;2;18.9898986816;12.4808797836;2;26.3048160076;2;27.6916561127;12.5;4;26.0;
17;2;20.0040187836;12.5;2;26.3530313969;2;28.6916561127;12.5;4;26.0;
18;2;21.0184822083;12.5;4;26.4023760557;2;29.6000003815;12.5;4;26.0;
19;3;21.9207134247;12.5;3;26.4528282881;2;29.6000003815;12.5;4;26.0;
20;3;21.5;12.5;4;26.5043625832;2;29.6000003815;12.5;4;26.0;
21;3;21.9513092041;12.5;4;26.5569496155;2;29.6000003815;12.5;4;26.0;
22;3;21.9670848846;12.5;4;26.6105561256;2;29.6000003815;12.5;4;26.0;
23;3;21.9831676483;12.5;4;26.6651450396;2;29.6000003815;12.5;4;26.0;
24;3;21.9995441437;12.5;3;26.72067523;2;29.6000003815;12.5;4;26.0;
25;3;21.5;12.9301691055;4;26.7771017551;2;29.6000003815;12.5;5;26.0;
26;4;21.5;12.944275856;3;26.8343759775;3;29.6000003815;12.5;4;26.0;
27;4;19.5;13.5;3;26.8924454451;4;29.6000003815;12.5;3;26.0;
28;4;19.0677337646;14.5;3;26.9512542486;4;29.6000003815;12.5;3;26.0;
29;4;18.0853767395;15.5;3;27.0107431412;4;29.6000003815;12.5;3;26.0;
30;4;17.1032218933;16.5;3;27.0708494186;4;29.6000003815;12.5;3;26.0;
31;4;16.1212539673;17.5;3;28.1315076351;4;29.6000003815;12.5;3;26.0;
32;4;16.1394519806;18.5;3;28.1926498413;4;29.6000003815;12.5;3;26.0;
33;4;16.6577949524;19.5;3;28.2542052269;4;29.6000003815;14.5;3;26.0;
34;4;16.9762611389;20.5;5;28.3161010742;4;29.6000003815;16.5;3;26.0;
35;5;16.9948291779;21.5;4;28.3782629967;4;29.6000003815;18.5;3;26.0;
36;5;17.0;20.4513053894;5;28.4406147003;4;29.6000003815;20.5;3;26.0;
37;5;17.0321846008;20.5;5;28.5030794144;4;29.6000003815;22.5;4;26.0;
38;5;17.0509243011;21.5;5;28.5655794144;4;29.6000003815;22.5;4;26.0;
39;5;17.0;21.1000003815;5;28.628036499;4;29.6000003815;22.5;4;26.0;
40;5;17.0884113312;20.5;5;28.690372467;4;29.6000003815;22.5;5;26.0;
41;5;17.1071109772;21.5;3;28.7525100708;4;30.6000003815;23.5;4;27.0;
42;6;17.8257522583;20.1000003815;4;28.8143725395;4;31.6000003815;24.5;4;27.0;
43;6;16.2999992371;20.5;4;28.8758842945;4;32.2000007629;25.5;4;28.0;
