Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;2;8.0;10.1999998093;4;21.0;
4;2;9.19999980927;10.0;4;21.0;2;9.19999980927;10.0;4;21.0599999428;
5;2;10.3000001907;10.0;4;21.0900000334;2;9.21199989319;10.0;4;21.1229639053;
6;2;11.3269996643;10.0;4;21.1871190071;2;10.336889267;10.0;3;21.1889609098;
7;2;11.3561353683;10.0;4;21.7036092281;2;11.3566884995;10.0;3;21.2580518723;
8;2;11.5110826492;10.1999998093;4;22.1564130783;2;11.377415657;10.0;3;21.7428686619;
9;2;11.6469240189;10.3632001877;4;22.557236433;2;11.522860527;10.1999998093;3;22.1586660147;
10;2;11.7671709061;10.4951858521;4;23.8035871983;2;11.647600174;10.3632001877;3;22.5167047977;
11;2;12.141076088;11.0209560394;4;24.8916251659;2;11.7550115585;10.4951858521;3;23.6975815296;
12;2;14.141076088;11.4571752548;3;25.8364036083;2;12.1092748642;11.0209560394;2;24.7081744671;
13;2;16.1410751343;11.8107032776;4;26.6592981815;2;14.1092748642;11.4571752548;2;25.5624349117;
14;2;17.3553848267;12.0916318893;4;27.3839819431;2;16.1092739105;11.8107032776;2;26.2807190418;
15;2;18.440984726;12.3113050461;4;28.0334718227;2;17.241809845;12.0916318893;2;26.8858177662;
16;2;19.5340881348;12.4808797836;4;28.407397747;2;18.2915363312;12.3113050461;2;27.4000668526;
17;2;20.6347923279;12.5;4;28.7683298588;2;19.3440666199;12.4808797836;2;27.6226844788;
18;2;21.7430725098;12.5;4;29.1538929939;2;20.3993797302;12.5;2;27.8161680698;
19;2;22.7461681366;12.5;5;29.562889576;2;21.4574241638;12.5;2;28.018476963;
20;2;22.8688659668;12.5;5;29.9934945107;2;22.4055423737;12.5;3;28.2292125225;
21;2;22.9980487823;12.5;5;30.4432339668;2;22.4687633514;12.5;4;28.447855711;
22;2;23.1329708099;12.5;5;30.9089989662;2;21.5;13.5;5;28.6737642288;
23;2;23.2726993561;12.5;5;31.3870959282;2;22.5;12.5;6;28.9061751366;
24;2;23.4161281586;12.5;6;31.8733391762;3;22.6718521118;12.5;5;29.1442108154;
25;3;23.562002182;12.5;4;32.36317873;3;22.7432632446;12.5;5;29.3868870735;
26;3;21.7089538574;13.5;4;32.8518595695;3;22.8160667419;12.5;5;29.6331281662;
27;4;18.7089538574;15.5;3;33.3346033096;3;21.5;13.5;5;29.8817820549;
28;4;17.5;17.5;3;33.8067913055;3;22.5;12.5;5;30.1316423416;
29;4;16.5;19.5;3;34.2641468048;3;21.5;13.5;5;30.3814692497;
30;4;16.5;18.5;3;34.7028827667;3;22.5;12.5;5;30.6300139427;
31;4;16.5;18.5;4;35.1198272705;3;23.1890048981;12.5;6;30.8760447502;
32;4;17.0;19.5;4;35.5124940872;3;23.2628135681;12.5;6;31.1183700562;
33;4;17.1537475586;20.5;4;35.8791179657;3;23.3355102539;12.5;6;31.3558626175;
34;4;17.2637367249;21.5;4;36.2186422348;3;23.4067592621;12.5;6;31.5874791145;
35;4;18.3655929565;19.5;4;36.530673027;3;23.4762439728;12.5;6;31.8122782707;
