Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;2;8.0;10.1999998093;4;21.0;
4;1;9.0;10.0;5;20.0;2;9.19999980927;10.0;4;21.0900000334;
5;1;10.0;10.0;5;20.0;2;9.21800041199;10.0;4;21.1871190071;
6;1;11.0;10.0;5;20.0;2;10.3561353683;10.0;4;21.2917383909;
7;1;11.0;10.0;5;20.3999996185;2;11.3875217438;10.0;4;21.4042263031;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;11.4212675095;10.0;4;21.9389723539;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;11.5816917419;10.1999998093;4;22.4109756947;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;11.7232933044;10.3632001877;4;22.831872344;
11;2;11.9125738144;11.0209560394;4;23.9143505096;2;11.8495616913;10.4951858521;4;24.1073114872;
12;2;12.1743059158;11.4571752548;4;24.661406517;2;12.2321929932;11.0209560394;4;25.2262470722;
13;2;14.9125738144;11.8107032776;5;25.2644476891;2;14.2321929932;11.4571752548;5;26.2035200596;
14;2;16.9125728607;12.0916318893;5;25.7461636066;2;16.2321929932;11.8107032776;5;27.060199976;
15;2;17.949640274;12.3113050461;5;26.1288670301;2;17.4756546021;12.0916318893;5;27.819549799;
16;2;18.9627056122;12.4808797836;5;26.211841464;2;18.5716552734;12.3113050461;5;28.5040667057;
17;2;19.9761257172;12.5;5;26.2577478886;2;19.6752662659;12.4808797836;5;28.912750721;
18;2;20.9898986816;12.5;5;26.3048160076;2;20.7863998413;12.5;5;29.3074398041;
19;2;21.8914451599;12.5;6;26.3530313969;2;21.9048061371;12.5;5;29.7249407768;
20;2;21.9059104919;12.5;6;26.4023760557;2;22.9174823761;12.5;6;30.1631817818;
21;2;21.9207134247;12.5;6;26.4528282881;2;23.04895401;12.5;6;30.6194429398;
22;3;21.9358482361;12.5;5;26.5043625832;2;23.1858329773;12.5;6;31.0903835297;
23;3;21.9513092041;12.5;5;26.5569496155;2;23.3271141052;12.5;6;31.5721096992;
24;3;21.9670848846;12.5;6;26.6105561256;3;23.4716339111;12.5;5;32.0602788925;
25;4;19.5;13.902639389;5;26.6651450396;3;23.6180839539;12.5;5;32.550242424;
26;4;20.5;12.9162864685;5;26.72067523;3;23.7650718689;12.5;6;33.0372152328;
27;4;18.5;14.1882705688;5;26.7771017551;3;21.7650718689;13.5;6;33.516456604;
28;4;17.5;15.2108402252;5;26.8343759775;3;21.5;14.5;6;33.9834604263;
29;4;17.0503120422;15.5;5;26.8924454451;3;21.5;15.5;6;34.4341192245;
30;4;16.0677337646;16.5;5;27.9512542486;3;21.5;16.5;6;34.8648700714;
31;4;15.5;18.6805019379;5;28.050743103;3;20.5;15.5;6;35.2727956772;
32;4;16.0;19.7202968597;6;28.152033329;3;20.5;15.5;6;36.6556835175;
33;4;16.0;20.7608146667;6;28.2550611496;3;20.5;15.0;6;37.0420429707;
34;4;16.0;21.8020248413;6;28.3597573042;3;21.5;14.5;6;37.401668787;
35;4;16.0;22.8439025879;6;28.4660466909;3;21.5;16.0302963257;6;37.7343947887;
