Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;6;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;10.0;6;20.0;1;7.55000019073;10.3000001907;4;17.0;
5;1;10.0;10.0;6;20.0;1;7.55000019073;9.30000019073;4;17.0;
6;1;11.0;10.0;5;20.0;1;8.55000019073;8.5;4;17.0;
7;1;11.0;10.0;5;20.3999996185;1;8.82499980927;8.5;4;17.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;8.82499980927;8.5;4;17.0;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;8.82499980927;8.5;4;17.3400001526;
10;2;11.597111702;10.4951858521;4;23.1719120741;1;8.9015007019;8.67000007629;4;17.6278438568;
11;2;11.9515733719;11.0209560394;4;24.1897815466;1;8.96626472473;8.81392192841;4;17.869726181;
12;2;13.9515733719;11.4571752548;4;25.0591306686;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;15.9515733719;11.8107032776;4;25.8015987873;1;9.22696018219;9.39324569702;5;19.5780620575;
14;2;16.740480423;12.0916318893;4;26.441321969;1;11.0206890106;9.78903102875;5;20.2480106354;
15;2;16.9323978424;12.3113050461;4;27.0020139217;1;12.0206890106;10.1240053177;5;20.8052330017;
16;2;17.1006031036;12.4808797836;3;27.2842636108;1;13.0206890106;10.4026165009;5;21.2618598938;
17;2;19.072063446;12.5;3;27.5518820286;1;14.0206890106;10.6309299469;5;21.6314201355;
18;2;20.1523475647;12.5;3;27.8440244198;1;15.0206890106;10.8157100677;5;21.9274635315;
19;2;21.2399902344;12.5;4;28.1613030434;1;16.0206890106;10.9637317657;5;22.0;
20;2;22.3351745605;12.5;4;28.5039470196;1;16.9500007629;11.0;5;22.0;
21;2;22.5511837006;12.5;4;28.871723175;1;16.9500007629;11.0;5;22.0;
22;2;22.6615161896;12.5;4;29.263862133;1;16.9500007629;11.0;6;22.0;
23;3;22.7791595459;12.5;3;29.6789975166;1;16.9500007629;11.0;7;22.0;
24;3;22.9036998749;12.5;3;30.1151270866;1;16.9500007629;11.0;7;22.0;
25;3;23.034538269;12.5;4;30.5695996284;1;16.9500007629;11.0;7;22.0;
26;3;23.170879364;12.5;4;31.0391392708;1;16.9500007629;11.0;8;22.0;
27;3;23.3117408752;12.5;4;31.5199065208;1;16.9500007629;11.0;8;22.0;
28;3;23.4559726715;12.5;4;32.007601738;1;16.9500007629;11.0;8;22.0;
29;3;23.6022796631;12.5;4;32.4976010323;1;16.9500007629;11.0;8;22.0;
30;3;21.6022796631;13.5;4;32.9851250648;1;16.9500007629;11.0;8;22.0;
31;3;21.5;14.5;4;34.465420723;1;16.9500007629;11.0;8;22.0;
32;3;22.5;15.8999996185;4;35.0639466047;1;16.9500007629;11.0;8;22.0;
33;3;23.5;16.5255775452;4;35.6619762182;1;14.9500007629;12.0;8;22.0;
34;3;22.8826293945;15.0735788345;4;36.2573137283;1;13.9500007629;13.0;8;22.0;
35;3;22.9313163757;15.0735788345;5;36.8484241962;1;12.9500007629;14.0;8;22.0;
36;3;22.9855003357;15.5;5;37.4344660044;1;12.0;15.0;9;22.0;
37;3;22.2303409576;16.5;6;38.0152719021;1;12.0;16.0;9;22.0;
38;3;21.4045810699;17.5;6;38.5912733078;1;12.0;17.0;9;22.0;
39;3;20.577381134;18.5;6;39.1633884907;1;12.0;18.0;9;22.0;
40;3;19.65766716;17.5;6;39.7328708172;1;12.0;19.0;9;22.0;
41;3;18.3921031952;18.5;6;40.3011412621;1;12.0;20.0;9;22.0;
42;4;21.3404941559;20.5;6;40.8696057796;1;12.0;21.0;9;22.0;
43;5;22.760881424;22.5;5;41.4394788742;1;12.0;22.0;9;22.0;
44;5;22.7703266144;24.5;5;42.011619091;1;12.0;23.0;9;22.0;
45;5;23.8243274689;26.5;5;42.5863871574;1;12.0;24.0;9;22.0;
46;5;25.8722171783;27.5;5;43.1151270866;3;13.0;25.8999996185;10;23.0;
47;5;25.4067554474;28.5;6;43.5695996284;3;14.0;26.0;9;23.1399999857;
48;5;23.8722171783;30.5;6;44.0391392708;3;14.0;27.0;9;23.2980040312;
49;5;24.5;30.5;6;44.5199065208;3;14.0;28.0;9;23.4758565426;
50;5;25.4559726715;31.5;6;45.007601738;3;14.0;29.0;10;23.6754535437;
51;5;25.6022796631;32.5;6;45.4976010323;3;14.0;30.0;10;23.8987001181;
52;5;24.6022796631;31.5;6;45.9851250648;3;15.0;28.0;9;24.1474545002;
53;5;24.6022796631;31.5;6;47.465420723;3;14.0;29.0;10;24.4234571457;
54;5;24.5;34.5;7;47.9839465618;3;14.0;30.0;10;24.7282443047;
55;6;26.5;34.5;6;48.4885201454;3;15.0;28.0;10;25.0630478859;
56;6;26.5;34.5;7;48.9755395651;3;14.0;29.0;10;25.4286823273;
57;6;27.8467845917;36.5;7;49.4420338869;3;14.0;30.0;11;25.8254261017;
58;6;29.5;35.5;7;49.8857274055;3;14.0;32.0;11;26.2529010773;
59;6;28.6847267151;37.0079879761;7;50.3050608635;3;14.0;34.0;11;26.7099647522;
60;6;29.1915187836;37.5;7;50.6991654634;3;14.0;36.0;12;27.194621563;
