Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;6;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;10.0;5;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;10.0;10.0;4;20.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;11.0;10.0;4;20.0;1;8.55000019073;8.5;5;17.0;
7;1;11.0;10.0;4;20.3999996185;1;8.82499980927;8.5;5;17.0;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;8.82499980927;8.5;5;17.0;
9;1;11.2179203033;10.3632001877;4;20.9903717041;1;8.82499980927;8.5;5;17.3400001526;
10;1;11.2971115112;10.4951858521;4;22.0419120789;1;8.9015007019;8.67000007629;5;17.6278438568;
11;1;11.6125736237;11.0209560394;4;22.9143505096;1;8.96626472473;8.81392192841;5;17.869726181;
12;1;11.8743057251;11.4571752548;3;23.6214065552;1;9.02068901062;8.93486309052;5;18.786491394;
13;1;12.8743057251;11.8107032776;3;24.1832637787;1;9.22696018219;9.39324569702;6;19.5780620575;
14;1;13.8743057251;12.0916318893;3;24.6226100922;1;11.0206890106;9.78903102875;5;20.2480106354;
15;1;14.3867835999;12.3113050461;3;24.9617595673;2;13.0206890106;10.5240049362;4;21.8052330017;
16;1;14.488527298;12.4808797836;3;25.0;2;15.0206890106;10.8026161194;4;22.3368599415;
17;2;17.3867835999;12.5;2;26.0;2;16.0206890106;11.0609302521;4;22.7862389088;
18;2;19.3867835999;12.5;2;26.1299999952;2;17.2805233002;10.8157100677;4;23.167105794;
19;2;20.3867835999;12.5;3;26.2754310369;2;18.0206890106;10.9637317657;4;23.32964468;
20;2;21.3867835999;12.5;3;26.4377241135;2;18.9500007629;11.0;4;23.4249849319;
21;2;21.5;12.5;3;26.6183350086;2;18.9500007629;11.0;4;23.5258028507;
22;2;21.5;12.5;3;26.8187118769;2;18.9500007629;11.0;5;23.6322153807;
23;2;21.5;12.5;3;27.0402543545;2;18.9500007629;11.0;6;23.7443124056;
24;2;21.5;12.5;3;27.2842636108;2;18.9500007629;11.0;6;23.8621526957;
25;2;21.5;12.5;2;27.5518820286;2;18.9500007629;11.0;6;23.9857594967;
26;2;21.5;12.5;2;27.8440244198;2;18.9500007629;11.0;6;24.1151165962;
27;2;21.5;12.5;2;28.1613030434;2;18.9500007629;11.0;6;24.2501642704;
28;3;21.5;12.5;1;28.5039470196;2;18.9500007629;11.0;6;24.3907959461;
29;3;21.5;12.5;1;28.871723175;2;18.9500007629;11.0;6;24.5368545055;
30;3;19.5;13.5;1;29.263862133;2;16.9500007629;12.0;6;24.6881308556;
31;3;18.5;14.5;1;29.6789975166;2;15.9500007629;13.0;6;24.8443615437;
32;3;17.5;15.5;1;30.1151270866;2;14.9500007629;14.0;6;25.005228281;
33;3;16.5;16.5;2;30.5695996284;3;14.0;15.0;4;40.1703586578;
34;3;15.5;17.5;2;31.0391392708;3;15.0;16.0;4;41.0893273354;
35;3;14.5;18.5;2;31.5199065208;3;16.0;17.0;5;41.9310336113;
36;3;14.0;19.5;3;32.007601738;4;17.0;18.0;4;42.6941225529;
37;3;14.0;20.5;5;32.4976010323;4;18.0;19.0;4;43.3805558681;
38;3;14.0;21.5;5;32.9851250648;4;19.0;20.0;5;43.9947500229;
39;3;15.0;19.5;5;33.465420723;4;20.0;21.0;5;44.5427117348;
40;3;14.0;20.5;7;33.9339466095;4;20.1217956543;22.0;6;45.0312576294;
41;3;14.0;21.5;7;34.3865451813;4;20.191078186;23.0;6;45.4673895836;
42;3;16.0;19.5;6;35.8195896149;4;20.2486209869;24.0;7;45.7641320229;
43;3;16.0;20.8999996185;6;36.3600891829;4;20.2749996185;25.0;7;45.9421138763;
44;3;16.0;21.5;6;36.8911851645;4;20.2749996185;26.0;8;46.1179485321;
45;3;17.0;19.5;6;37.4127416611;4;20.2749996185;27.0;8;46.2910404205;
46;3;16.0;20.5;7;37.9253447056;4;20.2749996185;28.0;9;46.4608278275;
47;3;16.0;21.5;7;38.430218339;4;20.2749996185;29.0;9;46.626791954;
48;3;17.0;19.5;7;38.9291007519;4;20.2749996185;30.0;9;46.7884612083;
49;3;18.0;20.5;7;39.4241018295;4;21.2749996185;30.0;10;46.9454174042;
50;3;19.0;21.5;7;39.9175407887;4;22.2749996185;31.0;10;47.0972981453;
51;3;20.0;23.5;7;40.4117801189;4;23.2749996185;32.0;12;47.2437982559;
52;3;21.0;25.5;7;40.9090600014;4;24.2749996185;33.0;12;47.3846707344;
53;3;22.0;27.5;8;41.4113366604;4;25.2250003815;34.0;12;47.5197277069;
54;3;23.0;27.5;7;41.871723175;4;25.2250003815;33.0;13;47.6488361359;
55;3;23.5;27.5;8;42.263862133;4;25.2250003815;32.0;14;47.7719168663;
56;3;23.5;27.5;8;42.6789975166;4;25.2250003815;31.0;14;47.888941288;
57;3;23.5;27.5;8;43.1151270866;5;25.2250003815;30.0;13;60.7499260902;
58;3;23.5;27.5;8;43.5695996284;5;26.2250003815;30.0;14;61.4924297333;
59;3;23.5;27.5;8;44.0391392708;5;27.2250003815;30.0;14;62.1755785942;
60;3;23.5;27.5;8;44.5199065208;5;27.2250003815;30.0;15;63.7968497276;
