Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;5;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;6;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;10.0;6;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;10.0;10.0;6;20.0;1;7.55000019073;9.30000019073;4;17.0;
6;2;11.3000001907;10.0;5;21.0;1;8.55000019073;8.5;4;17.0;
7;2;11.3000001907;10.0;5;21.4399995804;1;8.82499980927;8.5;4;17.0;
8;2;11.4320001602;10.1999998093;5;21.8075842857;1;8.82499980927;8.5;4;17.0;
9;2;11.5422754288;10.3632001877;5;22.1139252186;1;8.82499980927;8.5;4;17.3400001526;
10;2;11.6341772079;10.4951858521;5;23.2202551365;2;8.9015007019;9.06999969482;3;18.6278438568;
11;2;11.9660768509;11.0209560394;5;24.1495091915;2;9.1912651062;8.81392192841;3;18.9472261667;
12;2;13.9660768509;11.4571752548;5;24.9154186249;2;9.26312637329;8.93486309052;3;19.9789875746;
13;2;15.9660768509;11.8107032776;5;25.5381718874;2;9.49527168274;9.39324569702;4;20.8964561224;
14;2;16.6614513397;12.0916318893;5;26.0404549837;2;11.3173274994;9.78903102875;4;21.7039344311;
15;2;16.8121376038;12.3113050461;5;26.4445723295;2;13.3173274994;10.1240053177;4;22.4110306501;
16;2;16.9333705902;12.4808797836;5;26.5497941971;2;15.3173274994;10.4026165009;4;23.0305528641;
17;2;18.8517227173;12.5;5;26.6187632084;2;16.0206890106;11.3384075165;4;23.5766518116;
18;2;19.8724136353;12.5;5;26.6896851063;2;17.0206890106;11.5938024521;4;24.0634207726;
19;2;20.8936882019;12.5;5;26.7625159025;2;18.0206890106;10.9637317657;4;24.3413090706;
20;2;21.9155387878;12.5;5;26.8372021914;2;18.9500007629;11.0;4;24.5615956783;
21;2;22.0511608124;12.5;7;26.9136811495;2;18.9500007629;11.0;4;24.7969653606;
22;2;22.0741043091;12.5;7;26.9918802977;2;18.9500007629;11.0;5;25.04737854;
23;2;22.0975646973;12.5;7;27.0717172623;2;18.9500007629;11.0;6;25.3125803471;
24;2;22.121515274;12.5;7;27.1531002522;2;18.9500007629;11.0;6;25.59207654;
25;2;22.1459293365;12.5;7;27.2359278202;2;18.9500007629;11.0;6;25.8851153851;
26;2;22.1707782745;12.5;7;27.320089817;2;18.9500007629;11.0;6;26.1906752586;
27;3;21.5;13.4280357361;6;27.4054670334;2;18.9500007629;11.0;6;26.5074620247;
28;4;21.5;13.4621868134;6;36.1374049187;2;18.9500007629;11.0;7;26.8339166641;
29;4;21.2475795746;13.5;6;36.6877474785;2;18.9500007629;11.0;8;27.1682343483;
30;4;20.5;16.5;6;37.2215251923;2;18.9500007629;11.0;7;27.508395195;
31;4;19.5;18.5670318604;6;37.7351944447;2;16.9500007629;12.0;7;27.8522076607;
32;4;18.5;20.6025905609;6;38.2258741856;2;15.9500007629;13.0;7;28.1973586082;
33;4;17.5;22.6383533478;6;38.6913928986;2;14.9500007629;14.0;8;28.5414757729;
34;4;17.5;21.6742591858;6;39.1302952766;2;14.0;15.0;9;28.8821902275;
35;4;16.0;23.7102413177;6;40.5418038368;2;14.0;16.0;9;29.2172021866;
36;4;17.0;26.1462402344;6;40.9757575989;2;14.0;17.0;10;29.5443434715;
37;4;19.0;25.2021865845;6;41.3844985962;2;14.0;18.0;10;29.8616328239;
38;4;19.0;24.2588062286;6;41.7688530684;2;14.0;19.0;10;30.1673221588;
39;4;18.0;26.3160495758;7;42.1299751997;2;14.0;20.0;10;30.4599313736;
40;4;19.0;25.3738555908;7;42.4692528248;2;14.0;21.0;10;30.7382688522;
41;4;19.0;24.4321746826;7;42.7882187366;2;14.0;22.0;11;31.0014419556;
42;4;18.0;26.490945816;8;43.0884808302;2;14.0;23.0;11;31.2488517761;
43;4;18.0;28.550113678;7;43.2740596533;2;14.0;24.0;11;31.480178833;
44;4;20.0;24.6096229553;6;43.4235423803;2;14.0;25.0;11;31.6953620911;
45;4;20.0;28.6096229553;6;43.5735923052;2;14.0;26.0;11;31.8945665359;
46;4;21.0;32.6096229553;6;43.724067688;2;14.0;27.0;11;32.0781536102;
47;4;22.0;35.6096229553;6;43.8748269081;2;14.0;28.0;12;32.2466449738;
48;4;23.0;38.6096229553;7;44.0257287025;2;14.0;29.0;12;32.4006881714;
49;4;23.8500003815;41.6096229553;7;44.1766331196;2;14.0;30.0;12;32.5410261154;
50;4;23.8500003815;42.9706535339;8;44.3273998499;2;15.0;28.0;12;32.6684646606;
51;4;23.8500003815;44.030960083;8;44.477889061;2;14.0;29.0;13;32.75;
52;4;24.8500003815;42.0911560059;7;44.6279616356;2;14.0;30.0;13;32.75;
53;4;23.8500003815;43.151184082;7;44.7774791718;2;15.0;28.0;13;32.75;
54;4;23.8500003815;44.2109909058;8;44.9263029099;2;16.0;28.0;14;32.75;
55;4;24.8500003815;42.2705230713;8;45.0742950439;2;17.0;28.0;14;32.75;
56;4;23.8500003815;43.3297195435;9;45.2213175297;2;18.0;28.0;14;32.75;
57;4;23.8500003815;44.3885269165;9;45.3672339916;2;18.9500007629;28.0;14;32.75;
58;4;24.8500003815;42.4468917847;9;45.5119082928;2;18.9500007629;28.0;14;32.75;
