Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;9.0;10.0;4;20.0;1;6.0;13.3000001907;4;17.0;
2;1;9.0;10.0;4;20.0;1;7.0;12.3000001907;5;17.0;
3;1;9.0;10.0;4;20.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;10.0;4;20.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;10.0;10.0;4;20.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;11.0;10.0;4;20.0;1;8.55000019073;8.5;5;17.0;
7;1;11.0;10.0;3;20.3999996185;1;8.82499980927;8.5;4;17.0;
8;1;11.1199998856;10.1999998093;3;20.7264003754;1;8.82499980927;8.5;4;17.0;
9;2;11.5179204941;10.3632001877;2;21.9903717041;1;8.82499980927;8.5;4;17.3400001526;
10;2;11.597111702;10.4951858521;2;23.0719120502;1;8.9015007019;8.67000007629;4;17.6278438568;
11;2;11.9215736389;11.0209560394;2;23.9749414921;1;8.96626472473;8.81392192841;4;17.869726181;
12;2;13.9215736389;11.4571752548;2;24.7131726742;1;9.02068901062;8.93486309052;4;18.786491394;
13;2;15.9215736389;11.8107032776;2;25.3067810535;1;9.22696018219;9.39324569702;5;19.5780620575;
14;2;16.94962883;12.0916318893;1;25.7784451246;1;11.0206890106;9.78903102875;5;20.2480106354;
15;2;17.9593238831;12.3113050461;1;26.1504684687;1;12.0206890106;10.1240053177;5;20.8052330017;
16;2;18.9691867828;12.4808797836;2;26.2221269608;1;13.0206890106;10.4026165009;5;21.2618598938;
17;3;19.9792118073;12.5;1;26.2560760975;1;14.0206890106;10.6309299469;5;21.6314201355;
18;3;20.6125736237;12.5;1;26.2905418873;1;15.0206890106;10.8157100677;5;21.9274635315;
19;3;21.8871631622;12.5;2;26.3255085945;1;16.0206890106;10.9637317657;5;22.0;
20;3;21.8976516724;12.5;2;26.3609591722;1;16.9500007629;11.0;6;22.0;
