Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;2;8.0;10.1999998093;4;21.0;
5;1;10.0;10.0;5;20.0;2;8.14999961853;10.0;4;21.0900000334;
6;1;11.0;10.0;5;20.0;2;9.24524974823;10.0;4;21.1871190071;
7;1;11.0;10.0;5;20.3999996185;2;9.76710128784;10.0;4;21.2917383909;
8;2;11.4200000763;10.1999998093;4;21.7264003754;2;9.79064083099;10.0;4;21.817143321;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;9.90885734558;10.1999998093;4;22.2793469429;
10;2;11.597111702;10.4951858521;4;23.0719120502;2;10.0128526688;10.3632001877;4;22.6900259256;
11;2;11.9215736389;11.0209560394;4;23.9749414921;2;10.1052560806;10.4951858521;4;23.9506295919;
12;2;13.9215736389;11.4571752548;4;24.7131726742;2;10.3888921738;11.0209560394;5;25.0538563728;
13;2;15.9215736389;11.8107032776;5;25.3067810535;2;12.2042226791;11.4571752548;5;26.0146684647;
14;2;16.94962883;12.0916318893;5;25.7784451246;2;14.2042226791;11.8107032776;5;26.8543052673;
15;2;17.9593238831;12.3113050461;5;26.1504684687;2;16.2042217255;12.0916318893;5;27.5962526798;
16;2;18.9691867828;12.4808797836;5;26.2221269608;2;17.3919029236;12.3113050461;5;28.2632865906;
17;2;19.9792118073;12.5;5;26.2560760975;2;18.4656772614;12.4808797836;5;28.6547400951;
18;2;20.989397049;12.5;5;26.2905418873;2;19.5451507568;12.5;5;29.0328326225;
19;2;21.8871631622;12.5;6;26.3255085945;2;20.5323867798;12.5;6;29.4347915649;
20;2;21.8976516724;12.5;6;26.3609591722;2;20.6228275299;12.5;6;29.8589887619;
21;2;21.9082870483;12.5;6;26.3968753815;2;20.7182731628;12.5;6;30.3031497002;
22;2;21.9190635681;12.5;6;26.4332377911;2;20.8182086945;12.5;6;30.7643566132;
23;3;21.9299716949;12.5;5;26.4700255394;3;20.9219799042;12.5;6;31.2390885353;
24;3;21.9410076141;12.5;5;26.5072168112;3;21.0287952423;12.5;6;31.7232985497;
25;3;21.9521656036;12.5;6;26.5447884798;3;21.1377410889;12.5;6;32.2125329971;
26;3;21.9634361267;12.5;6;26.5827163458;3;21.2478199005;12.5;6;32.7020812035;
27;3;19.9748153687;13.5;6;26.6209751368;3;21.3579673767;12.5;6;33.1871519089;
28;3;18.9862918854;14.5;6;26.6595385075;3;21.4671096802;12.5;6;33.6630582809;
29;3;17.9978618622;15.5;6;26.6983793974;3;21.5741882324;12.5;6;34.1254005432;
30;3;17.009513855;16.5;6;26.7374696732;3;19.625;13.5;7;34.570227623;
31;3;16.0212402344;17.5;7;26.7767804861;3;18.625;13.5;7;34.9941673279;
32;3;15.0330343246;18.5;7;26.8162822723;3;18.625;14.5;7;35.3945169449;
33;3;14.5448846817;19.5;7;27.8559447527;3;17.625;13.5;7;35.7692890167;
34;3;15.5567836761;20.5;8;27.9357372522;3;18.625;14.5;7;36.1172132492;
35;3;16.5687217712;21.5;8;28.0168124437;3;19.625;15.5;7;36.4376983643;
