Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;4;20.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.5;10.0;4;20.3999996185;
9;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2971115112;10.4951858521;4;22.0419120789;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;11.6125736237;11.0209560394;4;22.9143505096;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;12.1743059158;11.4571752548;3;24.6214065552;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;14.9125738144;11.8107032776;4;25.3132637739;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;16.9125728607;12.0916318893;4;25.8980411291;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;17.9952030182;12.3113050461;4;26.3994836807;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;19.0438919067;12.4808797836;4;26.6183350086;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;20.0980739594;12.5;3;26.8187118769;1;15.7228336334;12.4808797836;5;25.0;
18;2;21.1581878662;12.5;3;27.0402543545;1;16.7228336334;12.5;5;25.0;
19;2;22.1120758057;12.5;4;27.2842636108;1;17.625;12.5;6;25.0;
20;2;22.1852798462;12.5;4;27.5518820286;1;17.625;12.5;7;25.0;
21;2;22.2655639648;12.5;4;27.8440244198;1;17.625;12.5;7;25.0;
22;2;22.3532066345;12.5;4;28.1613030434;1;17.625;12.5;7;25.0;
23;2;22.4483909607;12.5;4;28.5039470196;1;17.625;12.5;8;25.0;
24;2;22.5511837006;12.5;5;28.871723175;1;17.625;12.5;8;25.0;
25;3;19.5;14.4679307938;5;29.263862133;1;17.625;12.5;8;25.0;
26;3;21.5;12.5;6;29.6789975166;1;17.625;12.5;8;25.0;
27;4;18.5;14.5;5;30.1151270866;1;17.625;12.5;9;25.0;
28;4;17.5;16.5;6;30.5695996284;1;17.625;12.5;9;25.0;
29;4;16.5;17.7278404236;5;31.0391392708;1;17.625;12.5;9;25.0;
30;4;15.5;18.9156551361;5;31.5199065208;1;15.625;13.5;9;25.0;
31;4;14.5;20.107963562;5;32.007601738;1;14.625;14.5;9;25.0;
32;4;14.0;21.3030414581;5;32.4976010323;1;13.625;15.5;9;25.0;
33;4;14.0;22.4990406036;4;32.9851250648;1;12.625;16.5;7;25.0;
34;4;14.0;23.6940498352;4;33.465420723;1;12.0;17.5;7;25.0;
35;5;14.0;24.8861675262;4;42.7597036362;1;12.0;18.5;7;25.0;
36;5;16.0;24.0735778809;3;44.6689682007;1;12.0;19.5;7;25.0;
37;5;17.0;26.6546173096;3;45.5799179077;1;12.0;20.5;7;25.0;
38;5;18.0;28.8438358307;3;46.4475998878;1;12.0;21.5;7;25.0;
