Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;7.0;13.0;5;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;12.0;5;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;3;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;3;20.3999996185;1;9.5;10.0;4;20.0;
8;1;11.1199998856;10.1999998093;3;20.7264003754;1;9.5;10.0;4;20.3999996185;
9;1;11.2179203033;10.3632001877;3;20.9903717041;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2971115112;10.4951858521;3;22.0419120789;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;11.9125738144;11.0209560394;2;23.9143505096;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;12.1743059158;11.4571752548;2;24.661406517;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;14.9125738144;11.8107032776;2;25.2644476891;1;11.7228336334;11.4571752548;3;23.6214065552;
14;2;16.9125728607;12.0916318893;2;25.7461636066;1;12.7228336334;11.8107032776;3;24.1832637787;
15;2;17.949640274;12.3113050461;2;26.1288670301;1;13.7228336334;12.0916318893;3;24.6226100922;
16;2;18.9627056122;12.4808797836;2;26.211841464;1;14.7228336334;12.3113050461;3;24.9617595673;
17;2;19.9761257172;12.5;2;26.2577478886;1;15.7228336334;12.4808797836;3;25.0;
18;2;20.9898986816;12.5;4;26.3048160076;1;16.7228336334;12.5;4;25.0;
19;3;21.8914451599;12.5;2;26.3530313969;1;17.625;12.5;4;25.0;
20;3;21.5;12.5;3;26.4023760557;1;17.625;12.5;4;25.0;
21;3;21.9207134247;12.5;3;26.4528282881;1;17.625;12.5;4;25.0;
22;3;21.9358482361;12.5;3;26.5043625832;1;17.625;12.5;5;25.0;
23;3;21.9513092041;12.5;3;26.5569496155;1;17.625;12.5;5;25.0;
24;3;21.9670848846;12.5;3;26.6105561256;1;17.625;12.5;5;25.0;
25;3;21.5;12.902639389;3;26.6651450396;1;17.625;12.5;5;25.0;
26;3;21.5;12.9162864685;3;26.72067523;1;17.625;12.5;6;25.0;
27;3;21.5;13.1882705688;3;26.7771017551;1;17.625;12.5;7;25.0;
28;3;22.0331306458;12.5;3;26.8343759775;1;17.625;12.5;7;25.0;
29;3;21.5;13.2337503433;4;26.8924454451;1;17.625;12.5;7;25.0;
30;3;22.0677337646;12.5;5;26.9512542486;1;17.625;12.5;7;25.0;
31;3;22.0853767395;12.5;5;27.0107431412;1;15.625;13.5;8;25.0;
32;3;21.5;13.3042974472;5;27.0708494186;1;14.625;14.5;9;25.0;
33;3;22.1212539673;12.5;5;27.1315076351;1;13.625;15.5;9;25.0;
34;3;21.5;13.3526029587;5;27.1926498413;1;12.625;16.5;9;25.0;
35;3;21.5;13.3770599365;5;27.2542052269;1;12.0;17.5;10;25.0;
36;3;21.5;13.4016819;6;27.3161010742;1;12.0;18.5;10;25.0;
37;3;22.1948299408;12.5;7;27.3782629967;1;12.0;19.5;10;25.0;
38;3;22.2134780884;12.5;7;27.4406147003;1;12.0;20.5;10;25.0;
39;3;21.5;13.4762458801;8;27.5030794144;1;12.0;21.5;10;25.0;
40;3;22.2509231567;12.5;8;27.5655794144;1;12.0;22.5;10;25.0;
41;3;21.5;13.5;8;27.628036499;1;12.0;23.5;11;25.0;
42;3;21.5;13.5512142181;8;27.690372467;1;12.0;24.5;11;25.0;
43;3;22.3071117401;15.5512142181;9;27.7525100708;1;12.0;25.5;13;25.0;
44;3;22.3257522583;17.5512142181;9;27.8143725395;1;12.0;26.5;13;25.0;
45;3;22.3443107605;19.5512142181;10;27.8758842945;1;12.0;27.5;13;25.0;
46;3;22.3627662659;21.5;10;27.936971426;1;12.0;28.5;14;25.0;
47;3;22.3810920715;22.5;11;27.9975619316;1;12.0;29.5;15;25.0;
48;4;22.399269104;22.5;8;48.0575861931;1;13.0;27.5;15;25.0;
49;4;23.4172763824;23.5;9;49.3169779778;1;12.0;28.5;17;25.0;
50;4;23.5;25.5;9;50.3932704926;2;12.0;29.5;14;30.0;
51;4;24.5;26.7702674866;10;51.2915639877;2;14.0;27.5;15;30.1500000954;
52;4;25.5;27.7934417725;10;52.0270574093;2;14.0;28.5;16;30.2967748642;
53;4;24.5;29.8162899017;11;52.620616436;3;15.0;29.5;13;50.4399585724;
54;4;24.5;30.8387889862;11;53.0949912071;4;17.6319885254;27.5;13;51.7792243958;
55;4;24.5;31.8609199524;11;53.4566559792;4;19.6737670898;27.5;13;52.931883812;
56;4;24.5;32.8826599121;8;53.5100040436;4;20.7142848969;27.5;13;53.9028549194;
57;4;24.5;33.9039993286;7;53.5623030663;4;21.7534694672;28.5;14;54.7071938515;
58;4;24.5;34.9249191284;6;53.6135182381;4;23.7912578583;29.5;15;55.3656625748;
59;4;25.0;35.9454078674;8;53.6636190414;5;25.4526062012;30.5;13;55.9009456635;
60;4;26.0;36.9654464722;8;53.7125790119;5;26.4874763489;30.5;14;56.3194880486;
61;4;27.0;37.9850311279;8;53.7603754997;5;27.5208473206;30.5;13;56.4256877899;
62;4;28.25;36.0041503906;9;53.8069901466;5;28.5527057648;29.5;13;56.5268483162;
63;6;27.25;37.0227966309;8;68.8524079323;5;29.2080535889;28.5;14;57.6229987144;
64;6;28.25;39.0409622192;9;69.6466178894;5;30.2369003296;28.5;13;57.8741976023;
65;6;30.25;38.0586471558;9;70.3589868546;6;31.2642593384;29.5;11;73.1442729235;
66;6;29.25;40.075843811;9;70.9886775017;7;32.2901611328;31.5;10;74.1862230301;
67;7;29.25;42.0925559998;8;71.5162696838;7;33.3146286011;33.5;10;75.1725803614;
68;7;30.25;39.5;9;74.4216527939;7;34.3377113342;35.5;9;76.0742805004;
69;7;29.7000007629;41.5;10;76.7771692276;7;35.3499984741;36.5;10;76.8919241428;
70;7;30.0510005951;43.1954612732;10;78.6566796303;7;35.0626945496;38.5;11;77.6744048595;
71;8;31.3185329437;42.2422790527;9;109.140433311;8;35.1669235229;39.5;10;78.4309401512;
72;8;31.5187683105;45.2883529663;9;112.329022884;8;35.2835540771;40.5;11;79.1710467339;
73;8;32.5999984741;48.3335800171;9;114.540430069;8;35.4132080078;41.5;11;79.9036750793;
74;8;33.5999984741;51.3778800964;11;116.19310379;8;35.9312705994;42.5;12;80.5427899361;
75;9;34.5999984741;52.5;11;117.196149349;8;36.3628387451;43.5;12;81.1086950302;
76;9;35.5999984741;55.5;11;117.903044701;8;36.5326080322;44.5;11;82.2861852646;
77;9;36.5999984741;58.2000007629;11;118.110780239;8;36.8431053162;45.5;12;85.5210642815;
78;9;37.5999984741;60.2000007629;11;119.207334042;8;36.1779022217;44.5;12;88.2838711739;
79;9;39.5999984741;63.2829360962;12;120.450683951;9;36.5093650818;44.5;12;90.645778656;
80;9;42.5999984741;67.320274353;12;120.831534505;9;36.8372688293;44.5;14;92.6630182266;
81;9;44.5999984741;71.3563079834;13;123.524843574;9;36.1572151184;43.5;14;93.9242839813;
82;10;46.2299995422;75.3910064697;12;125.775131702;9;36.4272842407;43.5;15;94.8249835968;
83;10;47.7062797546;79.4243621826;13;127.661687255;9;37.6974945068;44.5;15;95.7099275589;
84;10;48.854637146;81.4563751221;14;129.271491051;9;33.962978363;47.5;15;96.5635900497;
85;11;49.1030502319;80.4563751221;13;129.915924549;9;33.1190795898;50.5;15;98.3722343445;
86;11;49.2000007629;81.1999969482;13;131.070145369;10;32.1190795898;52.5;14;99.2747920752;
87;11;49.2000007629;82.1999969482;14;131.630667686;10;30.4940776825;57.5;14;100.134180069;
