Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;2;9.19999980927;10.0;5;21.0;1;8.0;12.0;5;20.0;
4;2;9.19999980927;10.0;5;21.0599999428;1;8.0;11.0;5;20.0;
5;2;10.3179998398;10.0;5;21.1229639053;1;8.0;10.0;5;20.0;
6;2;11.336889267;10.0;5;21.1889609098;1;9.0;10.0;5;20.0;
7;2;11.3566884995;10.0;5;21.6699410677;1;9.5;10.0;5;20.0;
8;2;11.5009822845;10.1999998093;5;22.0818096399;1;9.5;10.0;5;20.3999996185;
9;2;11.62454319;10.3632001877;4;22.4358423948;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.7307529449;10.4951858521;3;23.611035943;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;12.0833110809;11.0209560394;3;24.615765214;2;9.72283363342;10.7951860428;3;23.0419120789;
12;2;14.0833110809;11.4571752548;3;25.4640146494;2;10.184431076;11.0209560394;3;23.9543504715;
13;2;16.0833110809;11.8107032776;3;26.1761806011;2;11.9568338394;11.4571752548;3;24.7025904655;
14;2;16.852853775;12.0916318893;3;26.7751014233;2;13.9568338394;11.8107032776;3;25.3068172932;
15;2;17.0325317383;12.3113050461;3;27.2831678391;2;15.9568338394;12.0916318893;3;25.789717555;
16;2;17.1849498749;12.4808797836;3;27.4996597767;2;16.9854335785;12.3113050461;3;26.1736010313;
17;2;19.136680603;12.5;3;27.687142849;2;17.9954986572;12.4808797836;3;26.2577478886;
18;2;20.1929264069;12.5;3;27.883649826;2;19.0058269501;12.5;3;26.3048160076;
19;2;21.2518787384;12.5;4;28.0888605118;2;19.9185829163;12.5;3;26.3530313969;
20;2;22.3134422302;12.5;4;28.3023359776;2;19.9294319153;12.5;4;26.4023760557;
21;2;22.4906997681;12.5;4;28.5235154629;2;19.9405345917;12.5;5;26.4528282881;
22;2;22.5570545197;12.5;4;28.7517154217;2;19.9518871307;12.5;5;26.5043625832;
23;2;22.6255149841;12.5;4;28.986133337;2;19.9634819031;12.5;5;26.5569496155;
24;2;22.6958389282;12.5;4;29.22585392;2;19.9753131866;12.5;5;26.6105561256;
25;3;22.7677555084;12.5;3;29.4698610306;2;19.9873752594;12.5;7;26.6651450396;
26;3;22.8409576416;12.5;4;29.7170505524;2;19.9996566772;12.5;7;26.72067523;
27;3;21.5;13.5;4;29.9662499428;2;20.0121517181;12.5;7;26.7771017551;
28;3;21.5;14.4864997864;4;30.2162384987;2;20.024848938;12.5;8;26.8343759775;
29;3;21.5;14.5864953995;4;30.4657707214;2;18.0377349854;13.5;8;26.8924454451;
30;3;20.5;13.5864953995;4;30.7136011124;2;17.0508003235;14.5;9;26.9512542486;
