Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;2;21.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;11.5179204941;10.3632001877;2;22.030371666;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.6091117859;10.4951858521;2;23.1334960461;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.9400491714;11.0209560394;2;24.0595139265;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;13.9400491714;11.4571752548;1;24.8221657276;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;15.9400482178;11.8107032776;2;25.4416502714;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;16.9900894165;12.0916318893;2;25.9406644106;2;13.7228336334;12.1107034683;4;25.1832637787;
15;2;18.0079898834;12.3113050461;2;26.3415244818;2;15.7228336334;12.3916320801;4;25.7126101255;
16;2;19.0265026093;12.4808797836;2;26.4435132742;2;16.9680843353;12.3113050461;4;26.1488785744;
17;2;19.6125736237;12.5;2;26.5092867613;2;17.9899349213;12.4808797836;4;26.2917383909;
18;2;20.6125736237;12.5;2;26.5770645142;2;18.7228336334;12.5;4;26.4042263031;
19;2;21.9731197357;12.5;3;26.6468170881;2;19.625;12.5;4;26.5249304771;
20;2;21.9940452576;12.5;3;26.7185060978;2;19.625;12.5;4;26.6541694403;
21;2;22.0155525208;12.5;3;26.7920838594;2;19.625;12.5;4;26.7922235727;
22;2;22.0376243591;12.5;3;26.8674932718;2;19.625;12.5;4;26.9393253326;
23;2;22.0602474213;12.5;3;26.9446675777;2;19.625;12.5;5;27.0956480503;
24;2;22.0834007263;12.5;3;27.0235302448;3;19.625;12.5;4;27.261295557;
25;2;21.5;13.0058822632;2;27.1039953232;3;19.625;12.5;5;27.4362905025;
26;2;19.5;14.0259990692;2;27.1859669685;3;19.625;12.5;5;27.6205644608;
27;2;19.155790329;14.5;2;27.2693405151;4;19.625;12.5;4;27.8139474392;
28;2;18.1808013916;15.5;2;27.3540019989;4;19.625;12.5;4;28.016159296;
29;3;17.206199646;16.5;1;27.4398288727;4;19.625;12.5;4;28.2268030643;
30;3;16.2319488525;17.5;1;27.5266909599;4;17.625;13.5;5;28.445360899;
31;3;15.2580070496;18.5;1;27.6144506931;5;16.625;14.5;3;28.6711919308;
