Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;12.0;4;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;11.0;4;20.0;
5;1;10.0;10.0;4;20.0;1;10.0;10.0;4;20.0;
6;1;11.0;10.0;4;20.0;1;11.0;10.0;4;20.0;
7;1;11.0;10.0;4;20.3999996185;1;12.0;10.0;4;20.0;
8;1;11.1199998856;10.1999998093;4;20.7264003754;1;13.0;10.0;4;20.3999996185;
9;2;11.5179204941;10.3632001877;3;21.9903717041;1;14.0;10.1999998093;4;20.7264003754;
10;2;11.597111702;10.4951858521;3;23.1319121122;1;14.3268795013;10.3632001877;4;21.8194274902;
11;2;11.939573288;11.0209560394;3;24.1014695168;1;14.8187427521;10.9097137451;4;22.7316036224;
12;2;13.939573288;11.4571752548;3;24.9131449461;1;15.2292222977;11.3658018112;4;23.4745616913;
13;2;15.939573288;11.8107032776;4;25.5874900818;1;16.8187427521;11.7372808456;4;24.0673980713;
14;2;17.0338420868;12.0916318893;4;26.1475405693;1;17.8187427521;12.0336990356;4;24.5325260162;
15;2;18.0700531006;12.3113050461;4;26.6159290075;1;18.8187427521;12.2662630081;4;24.892534256;
16;2;19.1088237762;12.4808797836;4;26.7922235727;1;19.8187427521;12.446267128;4;25.0;
17;2;20.1502399445;12.5;4;26.9393253326;1;20.8187427521;12.5;4;25.0;
18;2;21.1943702698;12.5;4;27.0956480503;1;21.8187427521;12.5;5;25.0;
19;2;22.1286945343;12.5;4;27.261295557;1;22.8187427521;12.5;5;25.0;
20;2;22.1783885956;12.5;4;27.4362905025;2;23.25;12.5;4;25.0;
21;2;22.2308864594;12.5;6;27.6205644608;2;23.25;12.5;4;25.0;
22;2;22.2861690521;12.5;5;27.8139474392;2;23.25;12.5;5;25.0;
23;2;22.3441848755;12.5;4;28.016159296;2;23.25;12.5;5;25.0;
24;3;22.4048480988;12.5;3;28.2268030643;2;23.25;12.5;5;25.0;
25;3;21.5;13.3067007065;3;28.445360899;2;23.25;12.5;5;25.0;
26;3;21.5;13.3613405228;5;28.6711919308;2;23.25;12.5;5;25.0;
27;3;20.5;13.5;5;28.9035346508;2;23.25;12.5;6;26.0;
28;3;19.6710605621;14.5;5;29.141512394;2;24.25;12.5;6;26.0399999619;
29;3;19.5;13.5;5;29.3841423988;2;25.25;13.2279996872;6;26.0811839104;
30;3;18.5;13.5;5;29.6303496361;2;23.7365322113;13.5;6;26.1235535145;
31;3;18.5;13.5;5;29.8789830208;2;22.7555999756;14.5;6;26.1671074629;
32;3;17.5;13.5;6;31.1288366318;2;21.7751979828;15.5;6;26.211841464;
33;3;18.0386505127;14.5;6;31.4086706638;2;20.7953281403;16.5;6;26.2577478886;
34;3;18.1136016846;15.5;6;31.6878278255;2;19.8159866333;17.5;6;26.3048160076;
35;4;17.6881713867;16.9242362976;3;60.7150685787;2;18.8371677399;18.5;7;26.3530313969;
36;4;18.3275299072;16.5;3;63.001693964;2;17.8588638306;19.5;7;26.4023760557;
37;4;21.3370552063;15.5;3;64.8058432341;2;16.8810691833;20.5;7;26.4528282881;
38;4;22.9059677124;15.9623336792;3;66.1856848001;2;15.9037723541;21.5;8;26.5043625832;
39;4;24.3320884705;16.5;3;67.2251377106;2;14.9269628525;22.5;8;26.5569496155;
