Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;9.0;11.0;6;20.0;
5;1;10.0;10.0;4;20.0;2;11.0;10.3000001907;5;21.0;
6;2;11.3000001907;10.0;3;21.0;2;13.0;10.0;5;21.0599999428;
7;2;11.3000001907;10.0;3;21.3999996185;2;15.0;10.0;5;21.1229639053;
8;2;11.4200000763;10.1999998093;3;21.7264003754;2;16.5053329468;10.0;5;21.6001901627;
9;2;11.5179204941;10.3632001877;3;21.9903717041;2;17.5400848389;10.1999998093;5;22.0082015991;
10;2;11.597111702;10.4951858521;3;23.0819120407;2;17.9036903381;10.3632001877;5;23.2129787207;
11;2;11.9245738983;11.0209560394;3;23.99553442;2;18.4458408356;10.9097137451;5;24.245090127;
12;2;13.9245738983;11.4571752548;3;24.7449600697;2;20.4458408356;11.3658018112;5;25.1164904833;
13;2;15.9245738983;11.8107032776;3;25.3503712416;2;22.4458408356;11.7372808456;5;25.8465604782;
14;2;16.6051120758;12.0916318893;3;25.8344515562;2;23.6193656921;12.0336990356;5;26.4579504728;
15;2;16.7503356934;12.3113050461;3;26.2195074558;2;24.6851844788;12.2662630081;5;26.9734284878;
16;2;16.865852356;12.4808797836;3;26.3048160076;2;25.7551460266;12.446267128;5;27.245682478;
17;2;18.7782287598;12.5;3;26.3530313969;2;26.8292999268;12.5;5;27.4198198318;
18;2;19.7926940918;12.5;3;26.4023760557;2;27.907661438;12.5;6;27.6032464504;
19;2;20.8074970245;12.5;4;26.4528282881;2;28.9902038574;12.5;6;27.7958021164;
20;2;21.8226318359;12.5;4;26.5043625832;2;29.5081100464;12.5;6;27.9972171783;
21;2;21.9513092041;12.5;4;26.5569496155;2;29.5987472534;12.5;6;28.207105875;
22;3;21.9670848846;12.5;3;26.6105561256;2;29.6931972504;12.5;6;28.4249610901;
23;3;21.5;12.5;3;26.6651450396;2;29.7912330627;12.5;7;28.6501536369;
24;3;21.9995441437;12.5;3;26.72067523;3;29.8925685883;12.5;6;28.8819327354;
25;3;22.0162029266;12.5;4;26.7771017551;3;29.9968700409;12.5;6;29.1194319725;
26;3;22.0331306458;12.5;4;26.8343759775;3;30.1037445068;12.5;6;29.3616781235;
27;3;21.5;13.2337503433;3;26.8924454451;3;30.2127552032;12.5;6;29.60760355;
28;3;22.0677337646;12.5;3;26.9512542486;3;28.25;13.5;6;29.8560638428;
29;3;22.0853767395;12.5;3;27.0107431412;3;29.25;12.5;6;30.1058568954;
30;3;20.1032218933;13.5;3;27.0708494186;3;28.25;13.5;5;30.3557448387;
31;3;19.1212539673;14.5;3;28.1315076351;3;28.25;14.5;5;30.6044793129;
32;3;19.1394519806;15.5;3;28.2226498127;3;28.25;15.5;5;30.8508253098;
33;3;19.1577949524;16.5;3;28.3147962093;3;29.25;13.5;5;31.0935864449;
34;3;18.4944381714;17.5;3;28.4078671932;3;30.25;15.5;6;31.3316273689;
35;3;17.522359848;18.5;3;28.5017802715;3;31.09923172;17.5;6;31.5638952255;
36;3;17.0505332947;19.5;3;28.5964497328;3;31.2037525177;19.5;6;31.7894377708;
37;3;17.0789337158;20.5;4;28.6917883158;3;31.3052482605;21.5;6;32.0074167252;
38;3;17.1075363159;21.5;4;28.7877063751;3;31.4033374786;22.5;6;32.2171196938;
