Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;2;11.3000001907;10.0;4;21.0;
7;1;11.0;10.0;5;20.3999996185;2;11.3000001907;10.0;4;21.4399995804;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;11.4320001602;10.1999998093;4;21.8075842857;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;11.5422754288;10.3632001877;4;22.1139252186;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;11.6341772079;10.4951858521;4;23.2202551365;
11;1;11.6125736237;11.0209560394;5;22.9143505096;2;11.9660768509;11.0209560394;3;24.1495091915;
12;1;11.8743057251;11.4571752548;4;23.6214065552;2;13.9660768509;11.4571752548;3;24.9154186249;
13;2;13.8743057251;11.8107032776;3;25.1832637787;2;15.9660768509;11.8107032776;4;25.5381718874;
14;2;15.8743057251;12.0916318893;3;25.662610054;2;17.0190467834;12.0916318893;4;26.0404549837;
15;2;16.6987838745;12.3113050461;3;26.0429434776;2;18.0379276276;12.3113050461;4;26.4445723295;
16;2;16.488527298;12.4808797836;3;26.1235535145;2;19.0574169159;12.4808797836;4;26.5497941971;
17;2;18.3867835999;12.5;3;26.1671074629;2;20.0775108337;12.5;4;26.6187632084;
18;2;19.3867835999;12.5;3;26.211841464;2;21.0982017517;12.5;4;26.6896851063;
19;2;20.3867835999;12.5;3;26.2577478886;2;22.0069046021;12.5;5;26.7625159025;
20;2;21.3867835999;12.5;3;26.3048160076;2;22.028755188;12.5;5;26.8372021914;
21;2;21.5;12.5;3;26.3530313969;2;22.0511608124;12.5;5;26.9136811495;
22;2;21.5;12.5;3;26.4023760557;2;22.0741043091;12.5;5;26.9918802977;
23;2;21.5;12.5;3;26.4528282881;2;22.0975646973;12.5;5;27.0717172623;
24;2;21.5;12.5;4;26.5043625832;2;22.121515274;12.5;5;27.1531002522;
25;3;21.5;12.5;3;26.5569496155;3;22.1459293365;12.5;3;27.2359278202;
26;3;21.5;12.5;3;26.6105561256;3;21.5;12.5;4;27.320089817;
27;3;21.5;12.5;1;26.6651450396;3;22.1960258484;12.5;4;27.4054670334;
28;3;21.5;12.5;1;26.72067523;3;22.2216396332;12.5;4;27.4919323921;
29;3;21.5;12.5;1;26.7771017551;3;22.2475795746;12.5;4;27.5793509483;
30;3;19.5;13.5;1;26.8343759775;3;22.2738056183;12.5;2;27.6675815582;
31;3;18.5;14.5;1;26.8924454451;3;21.5;13.5;2;27.7564766407;
32;3;17.5;15.5;1;26.9512542486;3;21.5;13.878238678;2;27.8458836079;
33;3;16.5;16.5;1;27.0107431412;3;21.5;13.9229421616;2;27.9356460571;
34;3;15.5;17.5;1;27.0708494186;3;22.3806934357;12.5;3;29.0256047249;
35;3;14.5;18.5;1;27.1315076351;4;23.4076805115;13.0;2;29.245598197;
36;3;14.0;19.5;2;27.1926498413;4;22.4346790314;13.5;3;29.4808956385;
37;3;14.0;20.5;3;27.2542052269;4;21.8442687988;14.5;3;29.7327666283;
38;3;14.0;21.5;3;27.3161010742;4;21.9313163757;13.5;3;30.0025069714;
39;3;15.0;19.5;3;27.3782629967;4;20.9855003357;13.5;4;30.2914079428;
40;3;14.0;20.5;3;27.4406147003;4;21.541809082;13.4093561172;4;30.600716114;
41;3;14.0;21.5;3;27.5030794144;4;22.5681381226;13.5201272964;4;30.9315841198;
42;3;15.0;19.5;3;27.5655794144;4;24.2794761658;16.5201263428;4;31.2850122452;
43;3;14.7696743011;20.5;4;27.628036499;4;25.3855037689;19.5201263428;5;31.6617798805;
44;3;14.7884111404;21.5;4;27.690372467;4;25.4985351562;22.5201263428;5;32.062371254;
45;3;15.8071117401;19.5;4;27.7525100708;4;25.6187114716;25.5;6;32.4868960381;
46;3;14.825753212;20.5;5;27.8143725395;4;25.7460689545;27.5;7;32.9350104332;
47;3;14.8443117142;21.5;5;27.8758842945;4;25.8805027008;27.5;9;33.4058437347;
48;3;15.8627653122;20.5;5;27.936971426;4;26.0217533112;27.5;9;33.8979377747;
49;3;16.8810920715;20.5;5;27.9975619316;4;26.1693820953;27.5;11;34.4092092514;
50;3;17.899269104;20.5;6;28.0575861931;4;26.322763443;27.5;12;34.9369354248;
51;3;18.9172763824;21.5;6;28.1169772148;4;26.4810810089;27.5;12;35.4777789116;
52;3;19.935092926;22.5;6;28.1756706238;4;26.6433334351;27.5;13;36.0278491974;
53;3;20.0;23.5;6;28.2336053848;5;26.8083534241;27.5;12;36.5828056335;
54;3;21.0;23.7934417725;6;28.2907235622;5;26.9748420715;27.5;11;37.137992382;
55;3;21.5;23.8162899017;6;28.346971035;6;27.1413974762;27.5;8;47.6886076927;
56;3;21.5;23.8387889862;7;28.4022974968;6;28.3065834045;28.5;8;48.629884243;
57;3;22.5;22.5;7;28.4566559792;6;29.4689655304;29.5;8;49.5316767693;
58;3;22.5369968414;22.5;7;28.5100040436;6;28.4866256714;31.5;9;50.3885688782;
59;3;21.5;23.5;8;28.5623030663;6;28.5036506653;31.5;9;51.1963620186;
60;4;22.5;22.5;7;28.6135182381;6;29.0396270752;33.5;9;52.9521131516;
61;4;21.5;23.5;7;28.6636190414;6;32.569026947;33.5;9;53.65629673;
62;4;22.5;22.5;8;28.7125790119;6;33.6847267151;35.5;9;54.2966895103;
63;4;22.6137733459;22.5;8;28.7603754997;6;34.4646530151;37.5;10;54.8864243031;
64;4;22.628112793;22.5;8;28.8069901466;6;34.6288604736;39.0;11;55.4268110991;
65;4;21.5;23.5;8;28.8524079323;6;35.7779121399;38.0;13;57.3019179106;
66;4;22.5;22.5;9;28.8966178894;6;36.8200187683;38.6175918579;12;58.8892401457;
67;4;22.6689853668;22.5;9;29.9396123886;7;35.7748565674;40.0431938171;11;60.223618269;
68;4;23.6818847656;23.5;9;30.0113875866;7;36.1528549194;40.6872596741;10;61.3428519964;
69;4;24.6944160461;24.5;10;30.0605909824;7;37.46534729;39.638923645;11;62.1351386309;
70;4;24.7000007629;25.5;10;30.091766119;8;38.1787872314;39.7695884705;11;62.6878163815;
71;4;24.7000007629;26.5;10;30.1235172749;8;36.271396637;40.8116149902;11;63.0473009348;
72;4;24.7000007629;27.5;10;30.1558350325;8;35.3530578613;41.855255127;11;63.3762280941;
73;4;24.7000007629;28.077917099;11;30.1887089014;8;34.4245948792;42.9004898071;12;64.6775231361;
74;4;24.7000007629;28.0943546295;11;30.2221269608;8;35.3348693848;44.9473075867;11;65.1041725874;
75;4;24.7000007629;28.1110630035;12;30.2560760975;8;34.8888473511;47.9956703186;11;65.411857605;
76;4;24.7000007629;28.1280384064;13;31.4231024981;8;35.2962341309;51.045539856;12;66.7083865404;
77;4;25.0359992981;28.651550293;13;32.3699337244;9;35.3543968201;53.0968666077;10;67.093225956;
78;4;25.3055973053;29.0656375885;13;33.1307988167;9;35.9000015259;56.1495857239;9;67.5116497278;
79;4;24.2123565674;30.387550354;13;33.741356492;9;37.8313217163;59.2036247253;9;67.9659746885;
80;4;25.3458442688;29.6352386475;13;34.0864415169;9;36.5777626038;60.2589035034;10;68.4583516121;
81;4;25.7751846313;29.7512454987;14;34.2497419119;9;35.9000015259;63.3153305054;10;68.9906426668;
82;4;24.3999996185;30.7775192261;14;34.411539197;9;37.7744255066;64.8728027344;10;69.5642775297;
83;4;25.3999996185;29.8043060303;14;34.5716170073;9;37.8888473511;66.9312057495;11;70.1800904274;
84;4;25.8725357056;29.8315811157;14;34.7297766209;9;38.0144691467;68.9904251099;10;70.8381456137;
85;4;25.9033336639;29.859331131;14;34.8858368397;9;38.1513824463;71.0503234863;11;71.5375640392;
86;4;25.9332332611;29.8875274658;14;35.0396351814;9;38.2994041443;73.1107788086;12;72.2763689756;
87;4;25.9622001648;29.9161510468;15;35.191026926;10;38.4580307007;75.1716461182;12;73.0513671637;
88;5;22.3999996185;31.9451713562;14;35.3398855925;10;36.9000015259;76.5;14;73.8580899239;
89;5;23.3999996185;32.9451713562;13;35.4861013889;10;37.7073059082;79.5;14;74.6908168793;
90;5;24.3999996185;34.9451713562;13;35.6295809746;10;37.7348480225;82.5;17;75.5426924229;
91;5;24.3999996185;36.9451713562;13;35.770247221;10;38.7623138428;82.5;18;76.4059450626;
92;5;24.3999996185;38.9451713562;14;35.9080371857;10;39.7896270752;83.5;20;77.2721967697;
93;6;24.3999996185;40.9451713562;12;36.0429017544;10;41.4758491516;81.6670608521;21;78.1328449249;
94;6;24.3999996185;42.1259918213;10;36.1748034954;10;40.6924285889;84.2101211548;20;78.9794750214;
95;6;24.3999996185;42.5013084412;9;36.3037171364;10;38.7189102173;86.2880477905;22;79.8042666912;
96;6;24.3999996185;42.5590896606;9;36.4296262264;10;37.8961105347;88.3675384521;22;80.600348711;
97;6;24.3999996185;42.615688324;9;37.5008306503;10;37.9217376709;90.4484405518;24;81.3620676994;
98;6;25.3999996185;43.6504135132;9;37.5833306313;11;36.9000015259;93.5306015015;24;82.0851435661;
99;6;24.3999996185;45.6816635132;10;37.6659865379;11;35.9000015259;94.6138381958;25;82.7667162418;
100;6;23.3999996185;47.7128982544;10;37.7487140894;11;35.9000015259;96.6979751587;26;83.4052824974;
