Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
3;1;9.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;3;20.0;
6;1;11.0;10.0;5;20.0;1;11.0;10.0;3;20.0;
7;1;11.0;10.0;5;20.3999996185;1;11.0;10.0;3;20.3999996185;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;11.1199998856;10.1999998093;3;20.7264003754;
9;2;11.5179204941;10.3632001877;4;22.0603717566;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;11.6181116104;10.4951858521;3;23.2074631453;1;11.2971115112;10.4951858521;3;22.0419120789;
11;2;11.9622392654;11.0209560394;3;24.1828715801;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;13.9622392654;11.4571752548;3;25.0006883144;1;11.8743057251;11.4571752548;3;23.6214065552;
13;2;15.9622383118;11.8107032776;4;25.6814495325;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;17.0620288849;12.0916318893;4;26.2481688261;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;18.1002407074;12.3113050461;4;26.723449707;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;19.1410808563;12.4808797836;4;26.9068236351;1;16.6125736237;12.4808797836;4;25.0;
17;2;20.1846199036;12.5;4;27.0611462593;1;17.6125736237;12.5;4;25.0;
18;2;21.2309169769;12.5;4;27.2247776985;1;18.6125736237;12.5;4;25.0;
19;2;22.167432785;12.5;5;27.3977591991;1;19.5;12.5;5;25.0;
20;2;22.2193279266;12.5;5;27.5800426006;1;19.5;12.5;6;25.0;
21;2;22.2740135193;12.5;5;27.7714805603;1;19.5;12.5;6;25.0;
22;2;22.3314437866;12.5;5;27.9718174934;1;19.5;12.5;6;25.0;
23;2;22.391544342;12.5;4;28.1806821823;1;19.5;12.5;7;25.0;
24;2;22.4542045593;12.5;4;28.3975830078;1;19.5;12.5;7;25.0;
25;2;21.5;13.349395752;4;28.6219055653;1;19.5;12.5;8;25.0;
26;3;21.5;13.4054765701;3;28.8529140949;1;19.5;12.5;8;25.0;
27;3;21.5;14.0411653519;4;29.089756012;1;19.5;12.5;8;25.0;
28;3;20.5;13.5;6;29.3314704895;1;19.5;12.5;8;25.0;
29;3;20.5;13.5;6;29.5770010948;1;19.5;12.5;8;25.0;
30;3;21.5;14.3308000565;6;29.8252120018;1;19.5;12.5;8;25.0;
31;3;20.5;13.5;6;30.0749063492;1;19.5;12.5;8;25.0;
32;3;20.0224723816;14.5;7;30.3248500824;1;19.5;12.5;8;25.0;
33;3;19.097454071;15.5;7;30.5737948418;1;19.5;12.5;8;25.0;
34;3;18.1721382141;16.5;6;30.8205022812;1;19.5;12.5;8;25.0;
35;3;17.5;15.5;6;31.0637698174;1;19.5;12.5;9;25.0;
36;3;18.5;15.5;6;31.3024535179;1;19.5;12.5;9;25.0;
37;3;17.5;14.5;4;31.5354895592;1;19.5;12.5;9;25.0;
38;3;17.460647583;15.5;4;31.7619123459;1;19.5;12.5;9;25.0;
39;3;16.5285739899;16.5;5;31.9808688164;1;19.5;12.5;10;25.0;
40;3;15.5285739899;15.5;5;32.1916303635;1;19.5;12.5;10;25.0;
41;3;16.5;15.5;2;32.3935980797;1;19.5;12.5;10;25.0;
42;3;15.5;14.5;4;32.5863051414;1;19.5;12.5;11;25.0;
43;3;15.5;13.5;3;32.7694153786;1;19.5;12.5;10;25.0;
44;3;15.0;13.5;3;32.9427189827;1;19.5;12.5;10;25.0;
45;3;14.0;15.5;4;33.1061229706;1;19.5;12.5;10;25.0;
46;3;14.0;17.5;4;33.259642601;1;19.5;13.5;11;25.0;
47;3;14.0;19.5;5;33.4033899307;1;19.5;14.5;11;25.0;
48;3;14.0;21.5;6;33.5375595093;1;19.5;15.5;11;25.0;
49;3;14.0;22.5;7;33.6624164581;1;19.5;16.5;12;25.0;
50;3;14.0;22.5;7;33.7782831192;1;19.5;17.5;12;25.0;
51;3;15.0;23.5;8;33.8855285645;1;19.5;17.5;12;25.0;
52;3;16.0;24.5;6;33.9845552444;1;19.5;17.5;14;25.0;
53;4;18.0;22.5;4;49.0;1;19.5;17.5;14;25.0;
54;4;19.0;24.5;6;49.75;1;19.5;17.5;14;25.0;
55;4;22.0;24.5;7;50.4193744659;1;19.5;17.5;15;25.0;
56;4;24.0;25.5;9;51.0072898865;1;19.5;17.5;15;25.0;
57;4;25.7000007629;26.5;9;51.5162696838;1;19.5;17.5;15;25.0;
58;4;26.2000007629;27.5;9;51.9513263702;1;19.5;17.5;14;25.0;
59;3;24.2000007629;28.5;10;52.3190898895;2;19.5;17.5;13;25.0;
60;4;23.5;29.5;8;64.1270179749;2;19.5;17.5;14;25.0;
61;5;25.5;28.5;6;64.8427629471;2;19.5;17.5;14;25.0;
62;5;26.5;30.5;7;65.3833837509;2;19.5;17.5;14;25.0;
63;5;27.5;32.5;4;65.76932621;2;19.5;17.5;16;25.0;
64;5;29.5;31.5;2;66.1180152893;2;19.5;17.5;16;25.0;
65;5;31.5;32.5;4;66.4304847717;2;19.5;17.5;16;25.0;
66;6;33.2000007629;33.5;3;66.7084302902;2;19.5;17.5;16;25.0;
67;6;33.9000015259;34.5;3;66.9540262222;2;19.5;17.5;16;25.0;
68;6;31.9000015259;36.5;2;67.169752121;2;19.5;17.5;18;25.0;
69;6;31.2000007629;38.5;2;67.3582448959;2;19.5;17.5;19;25.0;
70;6;31.2000007629;40.5;2;67.5;2;19.5;17.5;19;25.0;
71;6;31.2000007629;42.0999984741;3;67.5;2;19.5;17.5;15;25.0;
72;6;31.2000007629;43.0999984741;4;68.5;2;17.5;18.5;16;25.0;
73;7;32.2000007629;45.0999984741;2;70.7625001669;2;16.5;19.5;15;25.0;
74;7;34.6709976196;45.5999984741;4;72.6735897064;3;15.5;20.5;13;35.0;
75;7;36.443901062;46.9899978638;6;74.2845176458;3;15.5;22.5;13;35.3999996185;
76;7;36.5308914185;46.6872596741;6;75.6492099762;3;15.5;24.5;12;36.8783998489;
77;7;36.2526931763;47.9097442627;7;76.6559985876;3;15.5;26.5;11;38.1067647934;
78;7;35.9012832642;50.0;8;77.1537001133;3;16.0;28.5;12;39.1173400879;
79;8;35.2709465027;51.0;7;78.5696389675;3;17.0;30.5;12;39.9447917938;
80;8;34.5931854248;53.0;7;79.1647508144;3;17.6375923157;31.5;12;40.4738721848;
81;8;33.4676094055;54.0;9;79.8555283546;3;16.6375923157;30.5;12;40.7889785767;
82;8;32.6888465881;57.0;10;80.6553877592;3;16.6375923157;30.5;11;41.0717458725;
83;8;32.2821502686;56.0;11;81.5786402225;3;17.6375923157;31.5;11;41.3238019943;
84;8;31.4222106934;59.0;11;82.6400103569;3;17.9971408844;32.5;11;41.5471353531;
85;8;31.5925979614;61.0;11;83.8538267612;3;18.0641403198;33.5;12;41.7439565659;
86;8;32.7981185913;61.0;12;85.232776165;3;17.0641403198;32.5;13;41.9165868759;
87;8;32.0434341431;64.0;13;86.7861347198;4;17.0641403198;32.5;11;42.0;
88;8;32.0325622559;67.0;11;88.5174684525;4;16.0641403198;31.5;11;42.0;
89;8;31.3999996185;67.0;11;90.4219317436;4;17.0641403198;32.5;11;42.0;
