Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;11.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;11.0;10.0;4;20.3999996185;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;11.597111702;10.4951858521;4;23.251912117;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;11.9755735397;11.0209560394;3;24.3759095669;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;13.9755735397;11.4571752548;3;25.3831470013;1;11.8743057251;11.4571752548;4;23.6214065552;
13;2;15.9755735397;11.8107032776;3;26.3015499115;1;13.6125736237;11.8107032776;5;24.1832637787;
14;2;17.2480602264;12.0916318893;3;27.162047863;1;14.6125736237;12.0916318893;5;24.6226100922;
15;2;18.3744049072;12.3113050461;3;27.9953861237;2;16.6125736237;12.3113050461;4;25.9617595673;
16;2;18.6125736237;12.4808797836;2;28.6089954376;2;18.6125736237;12.4808797836;4;26.0499999523;
17;2;19.6125736237;12.5;2;29.272726059;2;19.9275741577;12.5;4;26.1019749641;
18;2;20.6125736237;12.5;2;30.030163765;2;20.9431667328;12.5;4;26.1559499502;
19;2;21.5;12.5;3;30.8837742805;2;21.8467845917;12.5;4;26.2119446993;
20;2;21.5;12.5;3;31.832016468;2;21.5;12.8635835648;4;26.269973278;
21;2;21.5;12.5;3;32.8682956696;2;21.5;12.8809919357;6;26.3300433159;
22;2;21.5;12.5;3;33.980219841;2;21.8990135193;12.5;6;26.3921557665;
23;2;21.5;12.5;3;35.1494245529;2;21.5;12.9176464081;7;26.4563041925;
24;3;21.5;12.5;3;36.3521900177;2;21.9368915558;12.5;7;26.5224741697;
25;4;19.5;13.5;3;37.5609493256;2;21.956741333;12.5;7;26.5906432867;
26;4;20.5;12.5;4;38.7465839386;2;21.5;12.9771928787;7;26.6607804298;
27;4;18.5;13.5;4;39.881146431;3;21.5;13.3303899765;8;26.7328453064;
28;4;17.5;14.5;4;40.9405136108;3;21.5;12.5;8;26.8067884445;
29;4;16.5;15.5;4;41.9064273834;3;22.0420360565;12.5;8;26.8825509548;
30;4;15.5;16.5;4;42.7675685883;3;20.0647659302;13.5;8;26.9600640535;
31;4;14.5;17.5;4;43.519569397;3;19.0880184174;14.5;8;27.0392494202;
32;4;14.0;18.5;4;44.1641292572;3;18.1117744446;15.5;8;27.120018959;
33;4;14.0;19.5;4;45.7075996399;4;17.1360054016;16.5;6;47.2022752762;
34;4;15.0;20.8999996185;4;46.2093760967;4;19.1606826782;15.5;7;48.485912323;
35;4;16.0;21.9200000763;4;46.6324086189;4;20.5;16.5;7;49.5884122849;
36;4;17.0;19.9407901764;4;46.9880918264;4;21.5;16.6854057312;7;50.5148122311;
37;4;16.0;20.9623794556;4;48.2119446993;4;22.5;17.7284259796;7;51.2802374363;
38;4;17.0;22.3847770691;4;48.3999732733;4;24.2631721497;17.5;7;51.9054687023;
39;4;19.0;20.4599895477;5;48.6054743528;4;23.5;19.5;7;53.4131615162;
40;4;18.0;21.5421886444;5;48.82987988;4;25.3161411285;20.0;8;53.9396864176;
41;4;18.0;22.6319522858;5;49.0746392012;4;26.3429069519;21.0650005341;9;54.1747552156;
42;4;19.0;20.7298545837;5;49.3411860466;4;25.8826293945;22.5;9;54.4269468784;
43;4;18.0;21.8364753723;6;49.6308976412;4;26.8280830383;26.5;10;54.6975564957;
44;4;18.0;22.9523582458;6;49.9450440407;5;26.9092674255;30.5;10;74.987870574;
45;4;19.0;21.0780181885;7;50.284727335;5;27.9963626862;35.5;10;76.4991276264;
46;4;18.0;22.2138900757;8;50.6508128643;5;29.0897369385;40.5;11;77.8500659466;
47;4;20.395242691;23.2138900757;8;51.0438539982;5;29.1897411346;44.5;11;79.0468306541;
48;4;21.5131568909;25.2138900757;9;51.4640110731;5;30.296661377;46.5;12;80.1054387093;
49;4;21.0;28.2138900757;10;51.9109725952;5;28.3532066345;48.5;11;81.0472717285;
50;4;22.6117744446;31.2138900757;10;52.3838810921;5;28.4483909607;49.5;12;81.8952145576;
51;4;23.0;34.2138900757;11;52.8812727928;5;27.5;50.5;13;82.6554169655;
52;4;24.6606826782;34.37159729;12;53.4010386467;5;27.5;51.5;13;83.131414175;
53;4;25.0;35.4604148865;12;53.9404120445;5;27.5;52.5;14;83.6290230751;
54;5;25.5;35.6761665344;10;58.4460184574;4;25.5;48.5;14;80.1151270866;
55;5;28.2370567322;33.7278404236;11;59.0948102474;5;25.5;49.5;13;80.5695996284;
56;6;28.2631721497;35.7278404236;10;59.7497956753;5;25.5;50.0;14;81.0391392708;
57;6;28.5;35.5;10;60.4061100483;5;25.5;50.0;14;81.5199065208;
58;6;28.3161392212;37.5;10;61.0587384701;5;25.5;50.0;15;82.007601738;
59;6;28.3429069519;39.5;10;61.7026965618;6;25.5;50.0;14;82.4976010323;
60;6;27.5;41.5;10;62.3332197666;6;25.5;50.0;15;82.9851250648;
61;6;28.3967666626;41.0735778809;11;62.9459345341;6;25.5;50.0;15;83.465420723;
62;6;29.4237670898;39.0735778809;11;64.5370070934;6;25.5;50.0;15;83.9339466095;
63;6;30.5;40.0735778809;12;65.1432495117;6;25.5;50.0;15;84.3865451813;
64;6;33.4776611328;39.5;12;65.7233688831;6;25.5;50.0;15;84.8195896149;
65;6;31.5044612885;41.5;13;66.275624752;6;25.5;50.0;15;85.2300891876;
66;6;30.5310974121;43.5;13;66.7989832163;6;25.5;50.0;15;88.820356369;
67;6;30.5575237274;46.5;12;67.2930644751;6;25.7999992371;51.1999969482;16;91.7208147049;
68;6;30.5836963654;49.1059188843;13;67.7580623627;6;26.0340003967;52.1360015869;16;94.0300664902;
69;6;30.5;49.1288757324;13;68.1946504116;6;26.2123565674;52.8494224548;16;95.8523597717;
70;6;32.5;48.1524085999;13;71.0186454058;6;26.3458442688;53.3833847046;16;96.8408412933;
71;6;30.7999992371;48.6895637512;13;73.3745687008;6;26.3999996185;53.5999984741;17;97.24650383;
72;6;31.7999992371;45.7283248901;17;75.3434350491;6;26.3999996185;53.5999984741;17;97.611246109;
73;6;30.7999992371;47.4559555054;16;76.981443882;6;26.3999996185;53.5999984741;17;97.9363851547;
74;6;33.7999992371;44.7204322815;16;78.1972597837;6;26.3999996185;53.5999984741;18;98.2239780426;
75;6;34.2361412048;45.7640342712;16;79.0985991955;6;26.3999996185;53.5999984741;18;98.4765987396;
76;6;33.1039619446;47.8092384338;18;79.6652388573;6;26.3999996185;53.5999984741;19;98.6971349716;
77;6;31.1751251221;48.8560218811;18;80.1661961079;6;26.3999996185;53.5999984741;19;98.8886184692;
78;6;30.8530921936;50.9043540955;19;80.6394281387;6;26.3999996185;53.5999984741;20;99.0;
79;7;28.290763855;53.9541931152;18;80.9636077881;6;26.3999996185;53.5999984741;20;99.0;
80;7;26.290763855;56.0054855347;18;81.2553026676;6;26.3999996185;53.5999984741;21;99.0;
81;7;25.2782974243;59.0581741333;19;81.5445568562;6;26.3999996185;53.5999984741;20;99.0;
82;7;24.4907646179;60.1121864319;20;81.8306789398;6;26.3999996185;53.5999984741;21;99.0;
83;8;23.4907646179;63.0581741333;19;82.1130313873;5;25.3999996185;54.5999984741;22;99.0;
84;8;24.0;65.6521072388;20;82.3910355568;5;25.3999996185;55.5999984741;23;99.0;
85;8;26.0;65.6521072388;21;82.6641700268;6;24.3999996185;53.5999984741;22;99.0;
86;8;29.0;64.0581741333;20;82.9319739342;6;25.3999996185;53.5999984741;24;99.0;
87;8;27.0;67.0581741333;21;83.1940453053;6;26.3999996185;53.5999984741;24;99.0;
88;8;29.0;69.0581741333;20;83.4500377178;6;26.3999996185;53.5999984741;24;99.0;
89;8;30.0;70.0581741333;20;83.6996583939;6;26.3999996185;53.5999984741;24;99.0;
90;8;30.5;72.0581741333;21;83.9426648617;6;26.3999996185;53.5999984741;25;99.0;
91;8;29.5;76.0581741333;22;84.1788604259;6;25.3999996185;54.5999984741;25;99.0;
92;8;30.5;76.7024307251;21;85.4080910683;6;25.3999996185;55.5999984741;25;99.0;
93;8;31.5;77.7636413574;22;85.7102407217;6;24.3999996185;53.5999984741;26;99.0;
94;8;31.5;81.8246765137;22;86.0107640028;6;25.3999996185;54.5999984741;26;99.0;
95;8;33.5;80.885383606;22;86.3098523617;6;26.3999996185;53.5999984741;26;99.0;
96;8;33.5;83.9456176758;21;86.5451453924;6;26.3999996185;53.5999984741;26;99.0;
97;8;33.9000015259;87.0052337646;20;86.766408205;6;26.3999996185;54.5999984741;28;99.0;
98;8;33.9000015259;84.0640945435;22;86.992312789;6;26.3999996185;53.5999984741;28;99.0;
99;8;32.9000015259;85.1220703125;22;87.2227758169;6;25.3999996185;54.5999984741;28;99.0;
100;8;33.9000015259;87.1790466309;23;87.4576994181;6;25.3999996185;55.5999984741;28;99.0;
101;8;33.9000015259;84.2349090576;24;87.69696486;6;25.3999996185;56.5999984741;29;99.0;
102;8;32.9000015259;85.2895355225;23;87.9404284954;6;27.3999996185;55.5999984741;27;99.0;
103;8;33.9000015259;87.3428573608;23;88.1879177094;6;28.8999996185;55.5999984741;27;99.0;
104;8;33.9000015259;84.3947753906;26;88.4392251968;6;26.8999996185;54.5999984741;27;99.0;
105;8;32.9000015259;85.4452209473;27;88.6941039562;6;25.8999996185;55.5999984741;28;99.0;
106;8;33.9000015259;87.4941253662;28;88.9522631168;6;24.8999996185;56.5999984741;29;99.0;
107;8;33.9000015259;90.5941390991;28;89.2133636475;6;23.8999996185;57.5999984741;29;99.0;
108;8;33.9000015259;92.6581268311;28;89.4770157337;6;22.8999996185;58.5999984741;28;99.0;
109;8;33.9000015259;94.7197875977;28;89.742777586;6;21.8999996185;59.5999984741;28;99.0;
110;8;34.9000015259;93.7791137695;29;90.010153532;6;20.8999996185;58.5999984741;30;99.0;
111;8;34.9000015259;92.8360900879;30;90.2785961628;6;21.3999996185;58.5999984741;30;99.0;
112;9;33.9000015259;94.8907012939;30;90.5475096703;6;22.3999996185;58.5999984741;32;99.0;
113;9;34.9000015259;93.9429626465;31;90.8162536621;6;23.3999996185;59.5999984741;32;99.0;
114;10;34.9000015259;92.9929046631;30;91.0841493607;6;24.3999996185;60.5999984741;33;99.0;
