Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;4;20.0;
5;1;10.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;11.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;1;11.0;10.0;5;20.3999996185;1;11.0;10.0;4;20.3999996185;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;11.4200000763;10.1999998093;3;21.7264003754;
9;2;11.5179204941;10.3632001877;4;21.9903717041;2;11.5179204941;10.3632001877;3;22.0903717279;
10;2;11.597111702;10.4951858521;4;23.1419121027;2;11.6271114349;10.4951858521;3;23.2838120461;
11;2;11.9425735474;11.0209560394;4;24.1232504845;2;11.9851436615;11.0209560394;3;24.3146933317;
12;2;13.9425735474;11.4571752548;4;24.9486711025;2;13.9851436615;11.4571752548;3;25.1981878281;
13;2;15.6125736237;12.2752456665;5;25.638911128;2;15.9851436615;11.8107032776;3;25.9559320211;
14;2;16.6125736237;12.601108551;5;26.2171895504;2;17.1443748474;12.0916318893;3;26.6120283604;
15;2;18.0909481049;12.3113050461;5;26.7063158751;2;18.209400177;12.3113050461;3;27.1901185513;
16;2;19.1359405518;12.4808797836;5;26.9060227871;2;19.2810821533;12.4808797836;3;27.4906733036;
17;2;20.1843795776;12.5;5;27.0793559551;2;20.3597755432;12.5;3;27.7773330212;
18;2;21.2363796234;12.5;5;27.2648479939;2;21.4457740784;12.5;3;28.0890238285;
19;2;22.1794548035;12.5;6;27.4626858234;2;22.4267082214;12.5;4;28.4260663986;
20;2;22.2388057709;12.5;6;27.6729331017;2;22.5278205872;12.5;4;28.788336277;
21;2;22.3018798828;12.5;6;27.8955099583;2;22.6365013123;12.5;4;29.1751885414;
22;2;22.3686523438;12.5;6;28.1301763058;2;22.7525558472;12.5;4;29.585392952;
23;3;22.4390525818;12.5;5;28.3765156269;2;22.875617981;12.5;4;30.0170898438;
24;3;22.5129547119;12.5;5;28.633923769;2;23.0051269531;12.5;5;30.4677705765;
25;3;21.5;13.5;6;28.9016013145;3;23.1403312683;12.5;5;30.9342932701;
26;3;21.5;14.2557201385;6;29.1785526276;3;23.2802886963;12.5;5;31.4129357338;
27;3;21.5;15.0071315765;6;29.4635906219;3;21.5;13.5;5;31.8994894028;
28;3;21.5;15.1781539917;6;29.7553491592;3;22.5;12.5;5;32.3893885612;
29;3;21.5;15.3532094955;6;30.0523042679;3;23.5;12.5;5;32.877872467;
30;3;21.5;15.5313825607;6;30.3527998924;3;21.8633613586;13.5;5;33.360165596;
31;3;21.5;15.7116794586;7;30.6550831795;3;21.0080490112;14.5;5;33.8316650391;
32;3;21.5;15.8930501938;7;30.9573426247;3;20.0080490112;13.5;5;34.2881155014;
33;3;21.5;16.0744056702;7;32.257750988;3;20.5;14.5;4;34.7257604599;
34;3;22.5;16.6546497345;7;32.5945091248;3;19.5;13.5;4;35.141462326;
35;3;22.5;15.254650116;8;32.9270730019;3;19.5;14.5;5;35.5327749252;
36;3;22.8243560791;15.254650116;8;33.2538282871;3;19.5;15.5;5;35.8979701996;
37;3;21.9761486053;15.5;8;33.5733040571;3;18.7693901062;16.5;6;36.2360286713;
38;3;21.0719909668;16.5;8;33.8842023611;3;17.8708076477;17.5;6;36.5465888977;
39;3;20.1652603149;17.5;8;34.1854174137;3;17.4639778137;18.5;7;36.8298740387;
40;3;18.8017082214;17.0030994415;8;34.4760501385;3;17.5489616394;19.5;8;37.0865974426;
41;3;19.5;17.0219268799;9;34.7554104328;3;17.6259803772;20.5;8;37.3178625107;
42;3;21.9059104919;20.0219268799;9;35.0230168104;3;16.6259803772;19.5;9;37.5250654221;
43;3;23.9207134247;23.0219268799;9;35.2785853148;3;16.6259803772;19.5;9;37.7098016739;
44;3;25.5835762024;26.0219268799;11;35.5220131874;3;18.6259803772;18.5;10;37.8737831116;
45;3;26.6566047668;27.0219268799;11;35.753361702;3;17.6259803772;19.5;10;38.0;
46;3;26.7260093689;27.5;12;35.9728331566;3;17.6259803772;20.5;11;38.0;
47;3;26.7918510437;27.5;12;36.1807500124;3;18.0;21.5;11;38.0;
48;3;24.3086833954;29.1660575867;13;36.3775289059;3;19.0;22.5;11;38.0;
49;3;23.5;30.1882705688;13;36.5636608601;3;20.0;23.5;11;38.0;
50;3;24.0331306458;30.5;14;36.7396894693;3;21.0;24.5;12;38.0;
51;4;24.0503120422;31.5;13;36.8924454451;3;21.5;25.5;12;38.0;
52;5;23.5;32.5;10;51.9512542486;3;21.5;26.5;12;38.0;
53;5;26.0853767395;31.5;10;52.7607431412;3;21.5;27.5;14;38.0;
54;5;26.1032218933;33.5;11;53.4902238846;5;21.5;28.5;12;38.0;
55;5;27.1212539673;35.5;11;54.1387975216;5;22.5;26.5;12;38.0;
56;5;29.1394519806;34.5;11;54.7089195251;5;21.5;27.5;12;38.0;
57;5;29.1577949524;36.5;11;56.2055315971;5;21.5;28.5;13;38.0;
58;5;28.1762619019;39.5;12;56.6751909256;5;22.5;26.5;13;38.0;
59;5;29.1948299408;39.5;12;57.0864648819;5;21.5;27.5;13;38.0;
60;5;28.2134780884;42.5;13;57.4469311237;5;21.5;28.5;13;38.0;
61;5;28.2321853638;45.5;13;57.6701868773;5;22.5;26.5;13;39.0;
62;5;29.2509231567;45.5;14;57.7774208784;5;22.5;28.5;13;39.0499999523;
63;6;28.2696743011;48.1059188843;13;57.8857843876;5;23.5;30.5;13;39.1019749641;
64;7;27.5;50.1288757324;12;57.9951884747;5;24.5;29.5;14;40.1559499502;
65;7;28.5;49.1524085999;13;58.1055414677;6;24.5;32.5;13;40.2119446993;
66;7;28.3257522583;51.1765136719;12;60.1688592434;6;25.5;35.5;12;40.3099732399;
67;7;29.6608257294;50.714717865;12;61.9006630182;6;26.5;34.5;12;40.4112272263;
68;7;28.9303836823;53.14453125;13;63.3458917141;6;25.5;36.5;13;40.515709281;
69;7;29.2123565674;53.4832229614;13;64.55192101;6;25.5;38.5;13;40.6234116554;
70;7;29.3144798279;54.748752594;14;66.4005529881;6;26.5;37.3169746399;13;40.7343156338;
71;7;30.3999996185;54.0;15;66.90906775;6;25.5;38.3482894897;14;40.8483911753;
72;7;31.3999996185;54.0;16;67.4109082222;6;25.5;39.3804244995;13;42.3966581821;
73;8;31.7626686096;54.0;15;67.9074656963;6;26.7999992371;37.9309806824;12;44.6908026934;
74;8;30.3999996185;54.0;17;68.4001716375;6;27.0340003967;40.3737640381;13;45.886959672;
75;8;30.3999996185;57.0;17;68.8157396317;7;28.2123565674;42.7260627747;12;46.916359067;
76;8;30.8783740997;59.0;18;69.1932159662;7;29.3458442688;42.0058479309;10;47.6678243876;
77;8;30.9233665466;61.0;19;69.5834684372;7;30.3999996185;42.155670166;8;49.2292348146;
78;9;31.9718055725;64.0;18;69.9864251614;7;32.4000015259;43.2174873352;8;49.8150804043;
79;9;33.3192634583;63.2944412231;18;70.4019215107;7;34.4000015259;44.1522407532;9;50.2889932394;
80;9;32.40965271;65.3515396118;21;70.8296852112;7;30.3999996185;47.3165130615;10;50.7418372631;
81;9;31.7643299103;68.3946914673;22;71.2693197727;7;28.3999996185;50.4920730591;9;51.2197048664;
82;9;32.7977867126;67.5377197266;22;71.7202882767;8;26.3999996185;53.6792678833;8;51.7229369879;
83;9;31.2686519623;69.528213501;23;72.1819000244;8;28.3999996185;53.4920730591;8;52.2516173124;
84;10;30.3390522003;71.5884857178;22;73.6532962322;8;30.3999996185;53.4920730591;9;52.8055210114;
85;10;31.3999996185;72.6492080688;23;74.2134426832;8;32.4000015259;54.4920730591;9;53.3840649128;
86;10;33.4000015259;75.7102508545;24;74.786660552;8;34.4000015259;56.4920730591;9;53.9862623215;
87;10;34.9529724121;76.7714691162;22;75.3717978001;8;34.9000015259;58.4920730591;9;54.6106851101;
88;11;34.9812889099;77.8327178955;22;75.9675186872;8;34.9000015259;60.4920730591;10;56.2554389238;
89;11;34.0086288452;81.8938293457;23;76.5723130703;8;33.9000015259;64.4920730591;10;56.9481554031;
90;12;35.0349807739;82.9546661377;22;77.1845148802;8;33.9000015259;68.4920730591;9;57.6565933228;
91;12;35.0603218079;84.0150756836;23;77.8023251295;8;32.9000015259;72.4920730591;11;58.3774869442;
92;12;34.0846557617;87.2160415649;22;78.4238420725;8;31.8999996185;76.3583450317;10;59.1071995497;
93;12;35.1079788208;87.3960952759;21;79.047095418;8;30.8999996185;79.4436950684;10;59.8418068886;
94;12;35.1302986145;87.5752944946;21;80.6700832844;8;29.8999996185;80.7574157715;10;60.5772001743;
95;12;35.1516189575;91.7527923584;22;81.3208115101;8;30.8999996185;79.054359436;12;61.3092027903;
96;12;35.4000015259;93.0366821289;22;84.3832798004;8;31.8999996185;78.3498382568;12;62.0336937904;
97;12;35.8199996948;95.1494903564;23;87.0780341625;8;32.9000015259;77.6418914795;13;62.7467321157;
98;12;36.1375198364;97.1011962891;24;89.4563808441;8;33.9000015259;76.9286270142;12;63.444671154;
99;13;38.3545455933;97.9186401367;22;91.5755473375;8;34.9000015259;76.2083053589;13;64.124253273;
100;13;37.5873184204;103.644271851;22;93.3171044588;8;35.9000015259;76.4793777466;12;64.7826857567;
