Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;11.0;10.0;5;20.0;
7;1;11.0;10.0;6;20.3999996185;1;11.0;10.0;5;20.3999996185;
8;1;11.1199998856;10.1999998093;6;20.7264003754;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;11.2179203033;10.3632001877;6;20.9903717041;1;11.2179203033;10.3632001877;5;20.9903717041;
10;1;11.2971115112;10.4951858521;6;22.0419120789;2;11.597111702;10.4951858521;4;23.0419120789;
11;1;11.6125736237;11.0209560394;6;22.9143505096;2;11.9125738144;11.0209560394;3;23.9343504906;
12;2;12.1743059158;11.4571752548;5;24.6214065552;2;12.180305481;11.4571752548;3;24.6616024971;
13;2;14.1743059158;11.8107032776;4;25.3132637739;2;14.9185733795;11.8107032776;4;25.243845582;
14;2;16.1743049622;12.0916318893;4;25.8980411291;2;16.9185733795;12.0916318893;3;25.7037609816;
15;2;16.7694129944;12.3113050461;4;26.3994836807;2;17.9369182587;12.3113050461;3;26.0636560917;
16;2;16.488527298;12.4808797836;4;26.6183350086;2;18.9431419373;12.4808797836;3;26.1228116751;
17;2;18.3867835999;12.5;4;26.8187118769;2;19.9494171143;12.5;2;26.1438889503;
18;2;19.3867835999;12.5;4;27.0402543545;2;20.955739975;12.5;2;26.1651208401;
19;2;20.3867835999;12.5;5;27.2842636108;2;21.8495368958;12.5;2;26.1864993572;
20;2;21.3867835999;12.5;5;27.5518820286;2;21.8559494019;12.5;6;26.2080165148;
21;2;22.2655639648;12.5;5;27.8440244198;3;21.8624038696;12.5;2;35.5340720415;
22;2;22.3532066345;12.5;5;28.1613030434;3;22.8688983917;12.5;2;35.9927384853;
23;2;22.4483909607;12.5;5;28.5039470196;3;23.8754291534;12.5;2;36.4294728041;
24;2;22.5511837006;12.5;5;28.871723175;3;24.8819942474;12.5;3;36.8418455124;
25;3;22.6615161896;12.5;5;29.263862133;3;25.888589859;12.5;3;37.2281471491;
26;3;22.7791595459;12.5;6;29.6789975166;3;26.3501358032;12.5;4;37.5873726606;
27;3;22.9036998749;12.5;7;30.1151270866;3;24.3567867279;13.5;5;37.9191750288;
28;3;23.034538269;12.5;7;30.5695996284;4;23.908536911;14.5;4;38.2237868309;
29;3;21.5;13.5;7;31.0391392708;4;23.9152297974;15.5;4;38.5019270182;
30;3;20.5;13.5;7;31.5199065208;4;23.9219398499;16.5;4;38.7547024488;
31;4;20.4559726715;14.5;6;32.007601738;4;23.5;18.2144393921;4;38.9835078716;
32;4;19.6022796631;15.5;6;32.4976010323;4;23.5;19.2256641388;4;39.1899336576;
33;4;18.6022796631;14.5;6;33.9851250648;4;23.5;20.2369022369;4;39.3756853342;
34;4;20.5;14.8999996185;6;34.4854207039;4;23.9488887787;20.5;4;39.5187973976;
35;4;22.5;15.5;6;34.9741425514;4;23.5;22.2593994141;4;39.5412938595;
36;4;23.5;16.4896564484;6;35.4471269846;4;23.5;22.3706474304;4;39.5637768507;
37;4;22.8181743622;15.0735788345;6;35.9007405043;4;23.9691333771;21.5999984741;3;39.5862361193;
38;4;22.824344635;15.0735788345;6;36.3319857121;4;23.9758701324;21.5999984741;2;39.6086617708;
39;4;22.8305702209;15.5;6;37.7385658026;4;23.9825992584;21.5999984741;2;39.6310436726;
40;4;22.6847267151;17.3491249084;6;38.1689064503;4;23.9893131256;21.5999984741;2;40.6533719301;
41;4;22.7925052643;17.9575557709;6;38.5741055012;4;25.996011734;22.5999984741;3;40.715636611;
42;4;21.8921031952;19.4068374634;7;38.9539557695;4;28.0026912689;24.5999984741;3;40.779012084;
43;4;23.6861877441;21.4068374634;7;39.3088076115;4;29.2587051392;26.5999984741;5;40.8434903622;
44;4;24.0666542053;24.4068374634;7;39.6394754648;4;29.278049469;29.5;5;40.9090605974;
45;4;25.1419525146;27.4068374634;7;39.94713521;4;29.2977180481;32.5;5;40.9757091999;
46;4;26.9841403961;30.4068374634;8;40.2332267761;4;29.3177108765;32.5;7;41.0434193611;
47;4;27.6523208618;32.940788269;8;40.4993625879;5;29.3380260468;32.5;6;41.1121714115;
48;4;28.7612190247;33.018119812;8;40.7472462654;5;29.3586502075;32.5;7;41.1819421053;
49;4;30.2241744995;32.5;9;40.9301922321;5;29.3795852661;32.5;7;41.252704978;
50;4;30.2790565491;32.5;9;41.0225719213;5;29.400812149;32.5;8;41.3244298697;
51;4;29.3999996185;33.7090301514;9;41.1169457436;5;29.422328949;32.5;8;41.3970832825;
52;4;29.9198532104;33.0536422729;10;41.213254571;5;29.4441261292;32.5;9;41.4706280231;
53;4;30.3639755249;32.5;11;41.3114296198;5;29.4661884308;32.5;9;42.5450232029;
54;4;30.3934288025;32.5;11;41.4113920927;5;30.4885082245;33.5;9;42.6702244282;
55;4;29.8353977203;33.2840270996;11;41.5130537748;5;31.5110683441;34.5;9;42.7981586456;
56;5;30.0117740631;33.0895233154;11;41.6163164377;5;31.8644504547;35.5;9;42.9287990332;
57;5;29.8488883972;33.3480072021;11;41.7210726738;5;31.9036388397;36.5;10;43.0463206768;
58;5;30.0606822968;33.1075210571;11;41.8272054195;5;31.9388961792;37.5;10;43.1624187231;
59;5;29.3999996185;34.0308837891;11;41.9345892668;5;31.9737281799;37.5;11;43.2812975645;
60;5;29.8691329956;33.4483261108;12;42.0430897474;5;32.0093917847;37.5;12;43.4028989077;
61;5;30.6129264832;32.5;12;42.1525653601;5;32.0458717346;37.5;12;43.7871538401;
62;5;30.6457691193;32.5;14;42.2628669739;5;32.1416435242;37.5;13;45.2298126221;
63;5;29.3999996185;34.1524200439;14;42.373839736;5;32.5571403503;38.0;13;46.4347403049;
64;5;30.2161407471;33.1613464355;14;43.4853230715;5;32.9033470154;38.3899993896;14;47.4387431145;
65;5;31.7455978394;33.5;13;45.1014434099;5;33.1911392212;38.6872596741;14;48.2505562305;
66;5;31.8169994354;36.6791305542;14;48.0411500931;5;33.4251670837;38.9097442627;13;48.6802198887;
67;5;32.5883560181;38.9177513123;15;50.5587787628;5;32.1500015259;39.0;13;48.9383263588;
68;5;33.7596740723;40.0711135864;15;52.6811573505;5;31.0314979553;41.0;14;49.2051098347;
69;5;33.7405967712;42.4798202515;15;54.4617973566;5;30.0016555786;42.0;15;49.4802098274;
70;5;35.7027206421;40.5789909363;16;55.9629179239;6;30.0440616608;43.0;15;49.7631847858;
71;5;33.6915283203;42.337059021;17;57.1091669798;6;29.3229598999;45.0;15;50.0535092354;
72;5;31.8707942963;43.0;17;57.9409041405;7;29.2568798065;46.0;15;50.3505740166;
73;5;31.2902755737;45.7900085449;17;58.7292423248;7;29.3095245361;47.659412384;16;50.6536879539;
74;5;31.1473865509;46.3493461609;17;59.4772033691;7;30.0;47.0;16;50.9620814323;
75;5;30.6000003815;46.1713523865;17;60.1699498892;7;31.0;48.0;16;51.2749106884;
76;5;29.6000003815;48.1873397827;17;60.667817831;7;32.0;49.0;17;51.59126544;
77;5;29.6000003815;50.2033042908;17;61.1624524593;7;29.3999996185;53.0;17;51.9101779461;
78;5;29.6000003815;51.8916854858;16;61.6503152847;7;28.3999996185;56.0;17;53.2306342125;
79;5;28.6000003815;51.0721168518;15;62.1280583143;7;29.3999996185;60.0;18;53.6015846729;
80;5;27.6000003815;51.0879325867;16;62.5926316977;7;30.3999996185;64.0;18;53.9739341736;
81;5;27.6000003815;51.1036758423;17;62.5413700342;7;30.7305927277;68.0;19;54.3466328382;
82;5;26.6000003815;51.1193313599;19;63.23455441;7;30.7467842102;72.0;20;54.7186323404;
83;5;24.6000003815;53.7404327393;18;63.3652610779;8;30.3999996185;76.0;20;55.0889053345;
84;5;23.6000003815;55.689365387;19;63.8034547567;9;31.3999996185;75.9502487183;12;55.4564557076;
85;5;23.6000003815;54.8420295715;20;64.2033820152;9;30.3999996185;78.0351409912;14;55.8203331232;
86;5;21.6000003815;56.986366272;23;64.5817486048;10;30.3999996185;79.9101638794;13;56.1796461344;
87;5;21.6000003815;57.0014190674;23;64.9380409718;10;31.3999996185;78.0898208618;13;56.5335711241;
88;5;21.0;57.0163192749;24;65.2721694708;10;30.8567428589;78.5055541992;14;56.8813618422;
89;6;20.0;60.0310630798;22;65.584415555;10;30.8771934509;79.6453552246;17;58.2223539352;
90;6;21.0;60.0456314087;23;65.8753706217;11;32.898235321;78.7807922363;16;59.7059715986;
91;6;21.0;60.0600204468;23;66.1458687782;11;33.9198532104;81.9115600586;16;60.2625021935;
92;6;20.0;63.0742225647;23;66.3969297409;11;34.942035675;85.0374755859;17;61.8368402719;
93;6;21.0;63.0882301331;23;66.6296987534;11;36.4000015259;87.0996170044;17;62.5311614275;
94;6;22.0;60.1020355225;25;66.8453948498;11;36.4000015259;91.2540740967;17;63.256649375;
95;6;20.0;63.1156311035;25;66.9783315659;11;37.0117759705;94.3845062256;18;64.0161801577;
96;6;21.0;63.1290092468;25;68.0510437489;11;36.4000015259;102.485580444;18;65.8125414848;
97;6;23.0;61.1421661377;26;68.1530668736;11;38.0606842041;105.890625;18;66.7082891464;
98;6;22.0;65.1550979614;25;68.2549493313;11;38.4000015259;110.591705322;21;67.6485483646;
99;6;23.5302963257;66.1678009033;25;68.3566434383;11;38.7368888855;114.652587891;23;68.6180804968;
100;6;24.5458831787;64.180267334;25;68.4565098286;12;39.7566871643;114.559906006;22;69.5923560858;
101;7;22.5617580414;68.1918563843;24;68.5277186632;12;39.5405883789;115.710655212;23;70.6165165901;
102;7;23.577917099;69.991859436;23;68.5992096663;12;38.4000015259;119.567314148;23;71.6891554594;
103;7;24.0943546295;72.991859436;24;68.6709425449;12;40.6378517151;116.614768982;25;72.7451715469;
104;7;23.6110630035;73.991859436;24;68.7428772449;12;38.8453063965;119.599716187;26;73.8295429945;
105;7;23.6280384064;74.6418609619;24;68.8149733543;12;39.2697982788;121.620422363;27;74.9553706646;
106;7;23.6452713013;75.991859436;25;68.8871898651;12;40.7921638489;119.683410645;27;76.1154659986;
107;7;23.6627540588;76.991859436;25;69.9594856501;12;38.9218978882;122.78037262;28;77.3015159369;
108;7;25.6804790497;75.6418609619;25;70.0618195534;12;38.4000015259;126.901733398;30;79.911973238;
109;7;26.6984367371;77.6418609619;25;70.1647415161;12;40.9956588745;123.947944641;30;82.5604031086;
110;7;28.7166194916;76.6418609619;26;70.2682032585;12;39.404460907;128.140548706;30;85.2239971161;
111;7;29.7350120544;75.6418609619;28;70.3721555471;12;39.1504516602;131.117263794;31;87.8802580833;
112;7;29.7536087036;77.6418609619;29;70.4765479565;12;40.4000015259;131.165374756;33;91.5080077648;
113;7;31.7723941803;76.6418609619;29;70.5813291073;12;41.0914840698;133.088821411;34;94.1482319832;
114;7;32.7913589478;75.6418609619;30;70.6864465475;12;42.1101226807;136.546661377;35;97.6089553833;
115;7;32.8104858398;77.6418609619;30;70.7918467522;12;42.128818512;140.472640991;37;100.949268937;
116;7;34.8297691345;76.6418609619;31;70.8974756002;12;43.1475524902;141.402038574;38;104.150564909;
117;7;35.8491897583;75.6418609619;31;71.0032777786;12;43.1663017273;143.328918457;40;107.1996907;
118;7;35.8687362671;77.6418609619;31;71.1091976166;13;44.0356483459;145.247375488;41;110.088660836;
119;7;36.8883895874;78.474861145;31;72.6328716278;14;44.9808235168;145.937362671;40;112.814023972;
120;7;38.9614448547;76.2241821289;31;74.1299959421;15;45.1440315247;147.622955322;40;115.334813476;
121;7;39.039100647;76.9567871094;32;75.580532074;15;45.3094215393;150.027053833;41;117.582623482;
122;7;41.1214179993;75.1273498535;33;76.9689098597;15;45.6165313721;150.418548584;41;119.698415637;
