Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;9.0;10.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;2;10.3000001907;10.0;4;21.0;1;10.0;10.0;4;20.0;
6;2;11.3000001907;10.0;4;21.0900000334;1;11.0;10.0;2;20.0;
7;2;11.3269996643;10.0;4;21.5980186462;1;11.0;10.0;2;20.3999996185;
8;2;11.4794054031;10.1999998093;4;22.0418490171;1;11.1199998856;10.1999998093;2;20.7264003754;
9;2;11.6125545502;10.3632001877;4;22.4332156181;1;11.2179203033;10.3632001877;2;20.9903717041;
10;2;11.7299642563;10.4951858521;4;23.6659361124;1;11.2971115112;10.4951858521;2;22.0419120789;
11;2;12.0997810364;11.0209560394;4;24.7393633127;1;11.6125736237;11.0209560394;2;22.9143505096;
12;2;14.0997810364;11.4571752548;3;25.6686143875;1;11.8743057251;11.4571752548;2;23.6214065552;
13;2;16.0997810364;11.8107032776;4;26.4751701355;1;13.6125736237;11.8107032776;3;24.1832637787;
14;2;17.3001461029;12.0916318893;4;27.1828548908;1;14.6125736237;12.0916318893;3;24.6226100922;
15;2;18.3806476593;12.3113050461;4;27.8148901463;1;15.6125736237;12.3113050461;3;24.9617595673;
16;2;19.4685134888;12.4808797836;3;28.1711652279;1;16.6125736237;12.4808797836;2;25.0;
17;2;20.5639228821;12.5;3;28.5145654678;1;17.6125736237;12.5;2;25.0;
18;2;21.6669425964;12.5;3;28.8830828667;1;18.6125736237;12.5;2;25.0;
19;2;22.6649246216;12.5;4;29.2759313583;1;19.5;12.5;3;25.0;
20;2;22.7827796936;12.5;5;29.6917257309;1;19.5;12.5;4;25.0;
21;2;22.9075183868;12.5;5;30.1284441948;1;19.5;12.5;5;25.0;
22;3;23.0385322571;12.5;4;30.5834169388;1;19.5;12.5;5;25.0;
23;3;23.1750259399;12.5;4;31.0533499718;1;19.5;12.5;5;25.0;
24;3;23.3160057068;12.5;4;31.5343885422;1;19.5;12.5;6;25.0;
25;3;23.4603157043;12.5;4;32.0222206116;1;19.5;12.5;6;25.0;
26;3;21.5;13.5;5;32.5122156143;1;19.5;12.5;6;25.0;
27;3;22.5;12.5;5;32.9995918274;1;19.5;12.5;7;25.0;
28;3;23.5;12.5;5;33.4795999527;1;19.5;12.5;7;25.0;
29;4;22.0438804626;13.5;4;33.9477081299;1;19.5;12.5;8;25.0;
30;4;21.0438804626;13.5;4;34.399772644;1;19.5;12.5;8;25.0;
31;4;20.0438804626;13.5;4;34.8321838379;1;19.5;12.5;8;25.0;
32;4;19.5;13.5;4;36.2419710159;1;19.5;12.5;8;25.0;
33;4;19.5;13.5;4;36.6668672562;1;19.5;12.5;9;25.0;
34;4;18.5;15.9160003662;4;37.0665097237;1;17.5;13.5;9;25.0;
35;4;18.5;17.9324741364;4;37.4400513172;1;16.5;14.5;10;25.0;
36;4;18.5;19.949420929;4;37.7872837782;1;15.5;15.5;10;25.0;
37;4;19.0;21.9668426514;4;38.1085575819;1;14.5;16.5;11;25.0;
38;4;20.0;20.9847373962;5;39.4046852589;1;13.5;17.5;11;25.0;
39;4;20.0;23.4030990601;5;39.7168433666;1;12.5;18.5;11;25.0;
40;4;21.0;25.4379272461;5;40.007655859;1;12.0;19.5;12;25.0;
41;4;21.0;27.4736862183;6;40.2787381411;1;12.0;20.5;12;25.0;
42;4;23.0;23.5103721619;6;40.531796217;2;12.0;21.5;10;40.0;
43;4;23.0;25.5103721619;7;40.7162040472;2;13.0;22.5;9;40.75;
44;5;24.3635520935;27.5103721619;6;40.814697504;2;14.0;23.5;10;41.4193744659;
45;5;25.0;30.5103721619;6;40.9153721333;2;15.0;24.5;10;42.0072898865;
46;5;26.483165741;33.5103721619;7;41.0181764364;2;17.0;22.5;11;42.5162696838;
47;5;27.4059104919;36.0609512329;7;41.1230512857;2;17.0;23.5;11;42.9513263702;
48;5;28.4207134247;37.1882705688;8;41.2299300432;2;18.0;24.5;12;43.3190898895;
49;5;29.0331306458;38.0811309814;8;41.3387385607;2;20.0;22.5;12;43.6270179749;
50;5;30.0503120422;36.1017456055;8;41.4493950605;2;22.0;22.5;12;43.8827629089;
51;6;29.5348186493;36.5;8;41.5618103743;2;24.0;22.5;13;44.0;
52;6;28.9831676483;38.2805023193;8;42.6758881807;2;26.0;22.5;14;44.0;
53;6;31.6027679443;36.5;8;42.8315246105;2;28.0;22.5;14;44.0;
54;6;33.1212539673;37.1882705688;8;42.9897933006;2;26.5;24.5;15;44.0;
55;6;34.0331306458;37.3526039124;8;43.1505793333;2;25.5;25.5;15;44.0;
56;6;35.9451751709;36.5;8;43.3137581348;3;24.5;26.5;15;44.0;
57;6;33.6439971924;38.5;9;43.4791967869;3;23.5;27.5;15;44.0;
58;6;32.4583816528;40.2805023193;9;43.6467540264;3;23.5;28.5;16;44.0;
59;6;31.5908031464;41.3042984009;9;43.8162801266;3;23.5;29.5;17;44.0;
60;6;31.8534393311;42.0219268799;10;43.9876184464;3;24.5;27.5;17;44.0;
61;6;32.2962875366;42.5;11;44.1606053114;3;25.5;26.5;17;44.0;
62;6;33.3481826782;40.5;11;44.335070014;3;26.5;25.5;17;44.0;
63;6;31.9646720886;42.0811309814;11;44.5108361244;3;27.5;24.5;18;44.0;
64;6;32.0019416809;43.1017456055;12;46.2079396248;3;28.5;23.5;18;45.0;
65;6;32.5273742676;42.6348152161;12;47.6519473791;3;30.5;23.5;18;45.0399999619;
66;6;30.7999992371;43.8387794495;13;48.8785469532;3;29.5;25.5;18;45.0811839104;
67;6;29.7999992371;44.6688461304;16;49.9254441261;3;28.5;27.5;19;45.1235535145;
68;6;31.1345767975;40.6872596741;17;50.6798955202;3;27.5;29.5;19;45.1671074629;
69;7;33.8578987122;41.6872596741;16;52.2281966209;3;26.5;31.5;19;45.211841464;
70;7;31.5035018921;43.8192977905;17;52.8132658005;3;25.5;33.1059188843;21;45.2577478886;
71;7;33.094707489;46.1077537537;17;53.2695827484;3;25.5;34.1288757324;21;45.3048160076;
72;7;34.1874389648;48.197883606;17;53.686650157;3;25.5;35.1524085999;21;45.3530313969;
73;7;35.2815704346;50.2894020081;17;54.1093251705;3;25.5;36.1765136719;21;45.4023760557;
74;7;36.376991272;51.3821411133;16;54.536891818;3;25.5;37.2011871338;21;47.0508755445;
75;7;37.473575592;52.475894928;15;54.9686073065;3;25.7849998474;38.2404403687;18;48.3881591558;
76;7;38.5712013245;52.5704803467;14;55.4037075043;3;26.02277565;39.2813034058;18;49.4594218731;
77;6;34.0765419006;47.665687561;14;54.2751886845;4;26.2186660767;40.3237838745;16;51.7962942123;
78;6;34.111579895;45.172088623;14;54.6296019554;4;27.3783493042;42.3678779602;16;52.3933551311;
79;6;31.7999992371;47.2197914124;16;54.9818136692;4;28.5;44.4135665894;16;52.5729752779;
80;6;31.7999992371;48.7927246094;16;55.3310599327;4;28.5;46.4608230591;16;52.7588874102;
81;6;33.7874069214;45.8840026855;16;55.6765995026;4;29.5;45.5096168518;18;52.9509724379;
82;6;31.2999992371;47.9271430969;17;56.0177211761;5;28.5;47.5599060059;18;53.1490731239;
83;6;32.2999992371;46.823551178;17;56.353746891;5;28.5;48.6116294861;18;53.3529918194;
84;6;29.8075733185;48.0;17;56.6840398312;5;30.5;47.664730072;18;54.5624904633;
85;6;29.2710361481;49.0;17;57.0080053806;6;30.5;49.719127655;17;54.7772901058;
86;6;26.6706886292;50.0;18;57.325097084;6;30.5;50.5;18;57.2370700836;
87;6;26.5;53.9953727722;17;57.6348180771;6;30.9200000763;53.5;18;59.210013628;
88;6;29.5;52.0355110168;17;57.9367246628;6;31.2650718689;55.8892211914;19;60.7692284584;
89;6;29.7783927917;51.0744132996;17;58.230424881;6;31.543302536;56.9478683472;19;61.9953975677;
90;6;28.5;52.1120414734;16;58.5155835152;6;31.7641716003;58.0072937012;18;62.7928183079;
91;6;29.195558548;51.1120414734;16;58.7919182777;6;32.9373016357;56.067363739;19;63.156750679;
92;6;28.5191574097;51.0;16;59.0592021942;6;32.0;57.1279449463;21;63.3975651264;
93;6;29.5774879456;49.0;17;59.3172597885;6;32.0;58.1888999939;21;63.640109539;
94;6;28.2611427307;52.0;17;59.565967083;6;32.0;58.7500762939;24;63.8838131428;
95;6;28.5;54.0;17;59.8052501678;6;32.0;58.8113250732;24;64.128092289;
96;6;30.2324466705;54.7667922974;18;59.9751753807;6;32.0;58.8724975586;24;64.3723554611;
97;6;30.0536727905;54.7667922974;18;60.1386022568;6;32.0;58.9334487915;25;64.616008997;
98;6;29.8676624298;55.0;19;60.2955985069;6;32.0;58.9940261841;25;64.8584632874;
99;6;31.8954811096;54.0;20;60.4077100754;6;32.0;59.0540847778;26;65.0991380215;
100;6;29.9223117828;54.0;21;60.4938163757;6;32.0;59.1134872437;26;65.3374681473;
101;6;30.0999984741;55.0;22;60.5765633583;6;32.0;59.1720924377;27;65.5729084015;
102;6;32.0999984741;54.0;23;60.65594244;6;32.0;59.2297821045;27;65.80493927;
103;6;31.0999984741;56.0;25;60.7319617271;6;32.0;59.2864265442;27;66.0330696106;
104;6;31.0999984741;57.1525802612;26;60.8046450615;6;32.0;59.3419189453;25;66.2568430901;
105;6;31.0999984741;54.1525802612;26;60.8740310669;6;32.0;59.3961639404;22;66.475839138;
106;6;29.8622074127;55.1525802612;27;62.1326127052;6;32.0;59.4490623474;22;65.989677906;
107;7;29.2397842407;57.0;26;64.3995552063;5;29.8500003815;54.1005401611;23;64.5680165291;
108;8;28.5144042969;56.0;25;65.6942493916;5;29.7150001526;53.7905197144;21;64.2035622597;
109;8;29.1410160065;57.0;23;66.976619482;5;29.5935001373;53.514957428;16;63.8897590637;
110;8;30.1410160065;58.0;23;69.236291647;5;29.4841499329;53.2701950073;16;63.6207261086;
111;8;30.1410160065;59.0;22;70.5035374165;5;29.3857345581;56.683391571;16;63.3911938667;
112;8;31.1410160065;61.0;23;71.7307590246;5;29.2971611023;58.7443466187;17;63.1964449883;
113;8;30.6265449524;64.8090820312;22;72.9103745222;5;29.2174453735;60.8029556274;17;63.0322561264;
114;8;33.0751037598;65.8320922852;22;75.0361698866;5;30.1457004547;59.0135383606;17;62.8948602676;
115;8;28.7380371094;72.8554840088;23;76.2233946323;5;29.0811309814;60.1022148132;17;62.7809000015;
116;8;29.0;79.5457687378;22;77.3618345261;5;29.0230178833;61.1871986389;17;62.6873831749;
117;8;30.0;82.5951385498;23;78.4507291317;5;29.9707145691;59.2685241699;15;62.6116466522;
118;9;31.0;83.6196136475;22;79.4906401634;5;28.9236450195;60.3462257385;15;62.5513305664;
