Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;5;20.0;2;8.0;12.3000001907;5;21.0;
4;1;9.0;10.0;5;20.0;2;8.14999961853;11.0;5;21.0900000334;
5;1;10.0;10.0;5;20.0;2;8.16349983215;10.0;5;21.1871190071;
6;1;11.0;10.0;5;20.0;2;9.26710128784;10.0;5;21.2917383909;
7;1;11.0;10.0;5;20.3999996185;2;9.79064083099;10.0;5;21.4042263031;
8;1;11.1199998856;10.1999998093;5;20.7264003754;2;9.81595134735;10.0;5;21.9389723539;
9;1;11.2179203033;10.3632001877;5;20.9903717041;2;9.93626880646;10.1999998093;5;22.4109756947;
10;1;11.2971115112;10.4951858521;5;22.0419120789;2;10.0424690247;10.3632001877;5;22.831872344;
11;2;11.9125738144;11.0209560394;4;23.9143505096;2;10.1371707916;10.4951858521;5;24.1073114872;
12;2;12.1743059158;11.4571752548;4;24.7514065504;2;10.4241456985;11.0209560394;5;25.2262470722;
13;2;14.9125738144;11.8107032776;5;25.4586948156;2;12.2430105209;11.4571752548;5;26.2035200596;
14;2;16.9125728607;12.0916318893;5;26.0603342056;2;14.2430105209;11.8107032776;5;27.060199976;
15;2;18.0438919067;12.3113050461;5;26.5800945759;2;16.2430095673;12.0916318893;5;27.819549799;
16;2;19.0980739594;12.4808797836;5;26.8187118769;2;17.4421443939;12.3113050461;5;28.5040667057;
17;2;20.1581878662;12.5;5;27.0402543545;2;17.7228336334;13.4808797836;5;28.912750721;
18;2;21.2246494293;12.5;5;27.2842636108;2;19.6032028198;12.5;6;29.3074398041;
19;2;22.1852798462;12.5;6;27.5518820286;2;19.625;13.5;6;29.7249407768;
20;2;22.2655639648;12.5;6;27.8440244198;2;20.625;12.5;6;30.1631817818;
21;2;22.3532066345;12.5;6;28.1613030434;2;20.7867164612;12.5;6;30.6194429398;
22;2;22.4483909607;12.5;6;28.5039470196;2;20.8893737793;12.5;7;31.0903835297;
23;2;22.5511837006;12.5;6;28.871723175;2;20.9953365326;12.5;7;31.5721096992;
24;2;22.6615161896;12.5;7;29.263862133;2;21.1037254333;12.5;7;32.0602788925;
25;3;21.5;13.5;6;29.6789975166;2;21.2135620117;12.5;7;32.550242424;
26;3;19.5;14.6697492599;6;30.1151270866;2;21.3238048553;12.5;8;33.0372152328;
27;4;19.5;14.5;5;30.5695996284;2;19.625;13.5;8;33.516456604;
28;4;19.170879364;15.5;5;31.0391392708;2;19.625;14.5;8;33.9834604263;
29;4;18.3117408752;16.5;5;31.5199065208;2;17.625;16.5;8;34.4341192245;
30;4;17.4559726715;17.5;5;32.007601738;2;16.625;18.5;8;34.8648700714;
