Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;12.0;5;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;5;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;5;20.0;
8;2;11.4200000763;10.1999998093;4;21.7264003754;1;9.5;10.0;5;20.3999996185;
9;2;11.5179204941;10.3632001877;4;22.0603717566;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.6181116104;10.4951858521;3;23.2074631453;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.9622392654;11.0209560394;3;24.1828715801;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;13.9622392654;11.4571752548;3;25.0006883144;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;15.9622383118;11.8107032776;4;25.6814495325;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;17.0620288849;12.0916318893;4;26.2481688261;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;18.1002407074;12.3113050461;3;26.723449707;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;19.1410808563;12.4808797836;3;26.9068236351;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;20.1846199036;12.5;3;27.0611462593;1;15.7228336334;12.4808797836;5;25.0;
18;2;21.2309169769;12.5;3;27.2247776985;1;16.7228336334;12.5;6;25.0;
19;2;22.167432785;12.5;4;27.3977591991;1;17.625;12.5;6;25.0;
20;2;22.2193279266;12.5;5;27.5800426006;1;17.625;12.5;7;25.0;
21;2;22.2740135193;12.5;5;27.7714805603;1;17.625;12.5;7;25.0;
22;2;22.3314437866;12.5;5;27.9718174934;1;17.625;12.5;7;25.0;
23;2;22.391544342;12.5;5;28.1806821823;1;17.625;12.5;8;25.0;
24;2;22.4542045593;12.5;5;28.3975830078;1;17.625;12.5;8;25.0;
25;2;22.5192756653;12.5;5;28.6219055653;1;17.625;12.5;8;25.0;
26;3;22.5865707397;12.5;4;28.8529140949;1;17.625;12.5;8;25.0;
27;3;21.5;13.5;5;29.089756012;1;17.625;12.5;8;25.0;
28;3;20.5;13.5;5;29.3314704895;1;17.625;12.5;8;25.0;
29;3;20.5;13.5;5;29.5770010948;1;17.625;12.5;6;25.0;
30;3;21.5;14.3308000565;5;29.8252120018;1;17.625;12.5;7;25.0;
31;3;20.5;13.5;5;30.0749063492;1;15.625;13.5;7;25.0;
32;3;20.0224723816;14.5;5;30.3248500824;1;14.625;14.5;7;25.0;
