Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;9.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;9.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;10.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.0;
8;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.5;10.0;6;20.3999996185;
9;2;11.5179204941;10.3632001877;4;21.9903717041;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;11.597111702;10.4951858521;4;23.0819120407;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;11.9245738983;11.0209560394;4;23.99553442;2;9.72283363342;10.7951860428;5;23.0419120789;
12;2;13.9245738983;11.4571752548;4;24.7449600697;2;10.184431076;11.0209560394;5;23.9543504715;
13;2;15.9245738983;11.8107032776;5;25.3503712416;2;11.9568338394;11.4571752548;5;24.7025904655;
14;2;16.9627056122;12.0916318893;5;25.8344515562;2;13.9568338394;11.8107032776;4;25.3068172932;
15;2;17.9761257172;12.3113050461;5;26.2195074558;2;15.9568338394;12.0916318893;4;25.789717555;
16;2;18.9898986816;12.4808797836;5;26.3048160076;2;16.9854335785;12.3113050461;3;26.1736010313;
17;2;20.0040187836;12.5;5;26.3530313969;2;17.9954986572;12.4808797836;3;26.2577478886;
18;2;21.0184822083;12.5;5;26.4023760557;2;19.0058269501;12.5;4;26.3048160076;
19;2;21.9207134247;12.5;6;26.4528282881;2;19.9185829163;12.5;4;26.3530313969;
20;2;21.9358482361;12.5;6;26.5043625832;2;19.9294319153;12.5;4;26.4023760557;
21;2;21.9513092041;12.5;6;26.5569496155;2;19.9405345917;12.5;4;26.4528282881;
22;2;21.9670848846;12.5;6;26.6105561256;2;19.9518871307;12.5;4;26.5043625832;
23;2;21.9831676483;12.5;6;26.6651450396;2;19.9634819031;12.5;5;26.5569496155;
24;2;21.9995441437;12.5;6;26.72067523;3;19.9753131866;12.5;4;26.6105561256;
25;2;21.5;12.9301691055;7;26.7771017551;3;19.9873752594;12.5;5;26.6651450396;
26;2;21.5;12.944275856;7;26.8343759775;3;19.9996566772;12.5;5;26.72067523;
27;2;20.0503120422;13.5;7;26.8924454451;3;20.0121517181;12.5;5;26.7771017551;
28;2;19.0677337646;14.5;7;26.9512542486;3;20.024848938;12.5;5;26.8343759775;
29;2;18.0853767395;15.5;7;27.0107431412;3;18.0377349854;13.5;5;26.8924454451;
30;2;17.1032218933;16.5;7;27.0708494186;3;17.0508003235;14.5;5;26.9512542486;
