Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;9.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;10.0;4;20.0;1;11.8999996185;8.625;5;17.25;
5;1;10.0;10.0;4;20.0;1;12.8999996185;8.625;5;17.25;
6;1;11.0;10.0;4;20.0;1;13.8999996185;8.625;5;17.25;
7;2;11.3000001907;10.0;3;21.3999996185;1;14.8999996185;8.625;5;17.5949993134;
8;2;11.4200000763;10.1999998093;3;21.7664003372;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;11.529920578;10.3632001877;3;22.0715556145;1;15.7317180634;8.94309806824;5;18.6667137146;
10;2;11.6214666367;10.4951858521;3;23.1762773991;1;16.2000274658;9.3333568573;5;19.3355960846;
11;2;11.9528827667;11.0209560394;3;24.1039098501;2;18.2000274658;9.6677980423;4;20.8991127014;
12;2;13.9528827667;11.4571752548;3;24.8681889772;2;20.2000274658;9.94955635071;4;21.3969185352;
13;2;15.9528827667;11.8107032776;4;25.4893084764;2;21.8180274963;10.1834592819;3;21.8110353947;
14;2;17.0043869019;12.0916318893;4;25.9899599552;2;22.8363819122;10.3752222061;3;22.1533753872;
15;2;18.0227775574;12.3113050461;4;26.3924539089;2;23.8550872803;10.5308046341;4;22.3735172749;
16;2;18.6125736237;12.4808797836;4;26.4960671663;2;24.8741378784;10.625;4;22.4058350325;
17;2;19.6125736237;12.5;4;26.5634490252;2;25.8935279846;10.625;4;22.4387089014;
18;2;20.6125736237;12.5;4;26.6328122616;2;26.9132537842;10.625;3;22.4721269608;
19;2;21.5;12.5;4;26.7041202784;2;27.4832763672;10.625;3;22.5060760975;
20;2;21.5;12.5;4;26.7773271799;2;27.5036449432;10.625;3;22.5405418873;
21;2;21.5;12.5;4;26.8523778915;2;27.5243244171;10.625;4;22.5755085945;
22;2;21.5;12.5;4;26.9292075634;2;27.5453052521;10.625;4;22.6109591722;
23;2;21.5;12.5;3;27.0077416897;2;27.566576004;10.625;4;22.6468753815;
24;2;21.5;12.5;4;27.0878958702;2;27.5881252289;10.625;4;22.6832377911;
25;3;21.5;12.5;2;27.1695766449;2;27.6099433899;10.625;4;22.7200255394;
26;3;19.5;13.5;1;27.2526805401;2;27.6320152283;10.625;3;22.7572168112;
27;3;19.1758041382;14.5;1;27.3370957375;2;27.6543292999;10.625;3;22.7947884798;
28;3;18.201128006;15.5;1;27.4227013588;2;27.6768722534;10.625;2;22.8327163458;
29;3;17.2268104553;16.5;1;27.5093686581;2;27.6996307373;10.625;2;22.8709751368;
30;3;16.2528114319;17.5;1;27.5969614983;2;27.7225856781;10.625;2;22.9095385075;
31;3;15.279088974;18.5;1;27.6853370667;2;27.7457237244;10.625;1;22.9483793974;
